Configuration,Term,J,Level (eV),Uncertainty (eV),Lande,Leading percentages
"=""2s2.2p2""","=""3P""","=""0""","="" 0.0000000000""","=""0.00000016""","=""""","=""  98                                                """,
"=""2s2.2p2""","=""3P""","=""1""","="" 0.0020354130""","=""0.00000016""","=""1.5010623(50)""","=""  98                                                """,
"=""2s2.2p2""","=""3P""","=""2""","="" 0.0053825826""","=""0.00000016""","=""1.5010469(50)""","=""  98                                                """,
"=""2s2.2p2""","=""1D""","=""2""","="" 1.2637284""","=""0.0000004""","=""""","=""  98                                                """,
"=""2s2.2p2""","=""1S""","=""0""","="" 2.6840136""","=""0.0000004""","=""""","=""  94         :     4  2p4                   1S      """,
"=""2s.2p3""","=""5S*""","=""2""","="" 4.1826219""","=""0.0000022""","=""""","="" 100                                                """,
"=""2s2.2p.3s""","=""3P*""","=""0""","="" 7.48039414""","=""0.00000006""","=""""","=""  96                                                """,
"=""2s2.2p.3s""","=""3P*""","=""1""","="" 7.48277598""","=""0.00000004""","=""""","=""  96                                                """,
"=""2s2.2p.3s""","=""3P*""","=""2""","="" 7.48779869""","=""0.00000005""","=""""","=""  96                                                """,
"=""2s2.2p.3s""","=""1P*""","=""1""","="" 7.68476777""","=""0.00000005""","=""0.97""","=""  97                                                """,
"=""2s.2p3""","=""3D*""","=""3""","="" 7.945771557""","=""0.000000012""","=""""","=""  96                                                """,
"=""2s.2p3""","=""3D*""","=""1""","="" 7.94613476""","=""0.00000007""","=""""","=""  96                                                """,
"=""2s.2p3""","=""3D*""","=""2""","="" 7.94627046""","=""0.00000004""","=""""","=""  96                                                """,
"=""2s2.2p.3p""","=""1P""","=""1""","="" 8.53709962""","=""0.00000005""","=""""","=""  97                                                """,
"=""2s2.2p.3p""","=""3D""","=""1""","="" 8.64039604""","=""0.00000003""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3D""","=""2""","="" 8.643023685""","=""0.000000022""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3D""","=""3""","="" 8.647160399""","=""0.000000017""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3S""","=""1""","="" 8.771134696""","=""0.000000016""","=""""","=""  99                                                """,
"=""2s2.2p.3p""","=""3P""","=""0""","="" 8.84658790""","=""0.00000003""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3P""","=""1""","="" 8.848124381""","=""0.000000024""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""3P""","=""2""","="" 8.850662829""","=""0.00000""","=""""","=""  98                                                """,
"=""2s2.2p.3p""","=""1D""","=""2""","="" 9.00258381""","=""0.00000003""","=""""","=""  96                                                """,
"=""2s2.2p.3p""","=""1S""","=""0""","="" 9.17184612""","=""0.00000004""","=""""","=""  88         :     9  2s2.2p.4p             1S      """,
"=""2s.2p3""","=""3P*""","=""1""","="" 9.33030708""","=""0.00000004""","=""""","=""  79         :    15  2s2.2p.3d             3P*     """,
"=""2s.2p3""","=""3P*""","=""2""","="" 9.330467271""","=""0.000000016""","=""""","=""  79         :    15  2s2.2p.3d             3P*     """,
"=""2s.2p3""","=""3P*""","=""0""","="" 9.33057587""","=""0.00000004""","=""""","=""  79         :    15  2s2.2p.3d             3P*     """,
"=""2s2.2p.3d""","=""1D*""","=""2""","="" 9.631071843""","=""0.000000024""","=""""","=""  98                                                """,
"=""2s2.2p.4s""","=""3P*""","=""0""","="" 9.68378589""","=""0.00000004""","=""""","=""  93         :     7  2s2.2p.3d             3P*     """,
"=""2s2.2p.4s""","=""3P*""","=""1""","="" 9.685245529""","=""0.000000017""","=""""","=""  92         :     7  2s2.2p.3d             3P*     """,
"=""2s2.2p.4s""","=""3P*""","=""2""","="" 9.689130559""","=""0.000000015""","=""""","=""  92         :     8  2s2.2p.3d             3P*     """,
"=""2s2.2p.3d""","=""3F*""","=""2""","="" 9.69545167""","=""0.00000003""","=""""","=""  86         :    13  2s2.2p.3d             3D*     """,
"=""2s2.2p.3d""","=""3F*""","=""3""","="" 9.697491047""","=""0.000000021""","=""""","=""  76         :    22  2s2.2p.3d             3D*     """,
"=""2s2.2p.3d""","=""3F*""","=""4""","="" 9.701759406""","=""0.000000017""","=""""","="" 100                                                """,
