 3s2.3p6                  1S            1    0.0000000    066
 3s2.3p5.(2Po<3/2>).4s    3/2[3/2]o     5   11.54835324   066
 3s2.3p5.(2Po<3/2>).4s    3/2[3/2]o     3   11.62359153   066
 3s2.3p5.(2Po<1/2>).4s    1/2[1/2]o     1   11.72315918   066
 3s2.3p5.(2Po<1/2>).4s    1/2[1/2]o     3   11.82806994   066
 3s2.3p5.(2Po<3/2>).4p    3/2[1/2]      3   12.90701397   066
 3s2.3p5.(2Po<3/2>).4p    3/2[5/2]      7   13.07571437   066
 3s2.3p5.(2Po<3/2>).4p    3/2[5/2]      5   13.09487122   066
 3s2.3p5.(2Po<3/2>).4p    3/2[3/2]      3   13.15314252   066
 3s2.3p5.(2Po<3/2>).4p    3/2[3/2]      5   13.17177635   066
 3s2.3p5.(2Po<3/2>).4p    3/2[1/2]      1   13.27303674   066
 3s2.3p5.(2Po<1/2>).4p    1/2[3/2]      3   13.28263765   066
 3s2.3p5.(2Po<1/2>).4p    1/2[3/2]      5   13.30222610   066
 3s2.3p5.(2Po<1/2>).4p    1/2[1/2]      3   13.32785568   066
 3s2.3p5.(2Po<1/2>).4p    1/2[1/2]      1   13.47988543   066
 3s2.3p5.(2Po<3/2>).3d    3/2[1/2]o     1   13.8450370    066
 3s2.3p5.(2Po<3/2>).3d    3/2[1/2]o     3   13.8636671    066
 3s2.3p5.(2Po<3/2>).3d    3/2[3/2]o     5   13.9034532    066
 3s2.3p5.(2Po<3/2>).3d    3/2[7/2]o     9   13.9792359    066
 3s2.3p5.(2Po<3/2>).3d    3/2[7/2]o     7   14.0127367    066
 3s2.3p5.(2Po<3/2>).3d    3/2[5/2]o     5   14.0630258    066
 3s2.3p5.(2Po<3/2>).5s    3/2[3/2]o     5   14.0682962    066
 3s2.3p5.(2Po<3/2>).5s    3/2[3/2]o     3   14.0899671    066
 3s2.3p5.(2Po<3/2>).3d    3/2[5/2]o     7   14.0990545    066
 3s2.3p5.(2Po<3/2>).3d    3/2[3/2]o     3   14.1525136    066
 3s2.3p5.(2Po<1/2>).3d    1/2[5/2]o     5   14.2136700    066
 3s2.3p5.(2Po<1/2>).3d    1/2[3/2]o     5   14.2340212    066
 3s2.3p5.(2Po<1/2>).3d    1/2[5/2]o     7   14.2361046    066
 3s2.3p5.(2Po<1/2>).5s    1/2[1/2]o     1   14.2410263    066
 3s2.3p5.(2Po<1/2>).5s    1/2[1/2]o     3   14.2550841    066
 3s2.3p5.(2Po<1/2>).3d    1/2[3/2]o     3   14.3036669    066
 3s2.3p5.(2Po<3/2>).5p    3/2[1/2]      3   14.46399429   066
 3s2.3p5.(2Po<3/2>).5p    3/2[5/2]      7   14.49905215   066
 3s2.3p5.(2Po<3/2>).5p    3/2[5/2]      5   14.50606615   066
