 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 18 18  100   1 3s2 3p6         -1.10469E+00  0.00000E+00  1.0
      2 18 18  311   1 3s2 3p5 4s      -2.85670E-01  8.19020E-01  9.0
      3 18 18  111   1 3s2 3p5 4s      -2.72550E-01  8.32140E-01  3.0
      4 18 18  300   1 3s2 3p5 4p      -2.02614E-01  9.02076E-01  3.0
      5 18 18  320   1 3s2 3p5 4p      -1.88128E-01  9.16562E-01 15.0
      6 18 18  120   1 3s2 3p5 4p      -1.84438E-01  9.20252E-01  5.0
      7 18 18  310   1 3s2 3p5 4p      -1.79962E-01  9.24728E-01  9.0
      8 18 18  110   1 3s2 3p5 4p      -1.79962E-01  9.24728E-01  3.0
      9 18 18  100   2 3s2 3p5 4p      -1.66058E-01  9.38632E-01  1.0
     10 18 18  311   2 3s2 3p5 3d      -1.28545E-01  9.76145E-01  9.0
     11 18 18  331   1 3s2 3p5 3d      -1.21154E-01  9.83536E-01 21.0
     12 18 18  311   3 3s2 3p5 5s      -1.17987E-01  9.86703E-01  9.0
     13 18 18  131   1 3s2 3p5 3d      -1.16720E-01  9.87970E-01  7.0
     14 18 18  111   2 3s2 3p5 5s      -1.16335E-01  9.88355E-01  3.0
     15 18 18  321   1 3s2 3p5 3d      -1.13931E-01  9.90759E-01 15.0
     16 18 18  121   1 3s2 3p5 3d      -1.13931E-01  9.90759E-01  5.0
     17 18 18  111   3 3s2 3p5 3d      -1.12014E-01  9.92676E-01  3.0
     18 18 18  300   2 3s2 3p5 5p      -9.38063E-02  1.01088E+00  3.0
     19 18 18  320   2 3s2 3p5 5p      -9.00018E-02  1.01469E+00 15.0
     20 18 18  120   2 3s2 3p5 5p      -8.87445E-02  1.01595E+00  5.0
     21 18 18  110   2 3s2 3p5 5p      -8.76008E-02  1.01709E+00  3.0
     22 18 18  310   2 3s2 3p5 5p      -8.76008E-02  1.01709E+00  9.0
     23 18 18  100   3 3s2 3p5 5p      -8.20808E-02  1.02261E+00  1.0
     24 18 18  311   4 3s2 3p5 4d      -7.22733E-02  1.03242E+00  9.0
     25 18 18  331   2 3s2 3p5 4d      -6.86996E-02  1.03599E+00 21.0
     26 18 18  131   2 3s2 3p5 4d      -6.58307E-02  1.03886E+00  7.0
     27 18 18  311   5 3s2 3p5 6s      -6.53759E-02  1.03931E+00  9.0
     28 18 18  121   2 3s2 3p5 4d      -6.45741E-02  1.04012E+00  5.0
     29 18 18  321   2 3s2 3p5 4d      -6.45741E-02  1.04012E+00 15.0
     30 18 18  111   4 3s2 3p5 6s      -6.44618E-02  1.04023E+00  3.0
     31 18 18  111   5 3s2 3p5 4d      -6.29022E-02  1.04179E+00  3.0
     32 18 18  320   3 3s2 3p5 4f      -6.25731E-02  1.04212E+00 15.0
     33 18 18  120   3 3s2 3p5 4f      -6.25597E-02  1.04213E+00  5.0
     34 18 18  340   1 3s2 3p5 4f      -6.25365E-02  1.04215E+00 27.0
     35 18 18  140   1 3s2 3p5 4f      -6.25333E-02  1.04216E+00  9.0
     36 18 18  130   1 3s2 3p5 4f      -6.24350E-02  1.04225E+00  7.0
     37 18 18  330   1 3s2 3p5 4f      -6.24350E-02  1.04225E+00 21.0
     38 18 18  300   3 3s2 3p5 6p      -5.46417E-02  1.05005E+00  3.0
     39 18 18  320   4 3s2 3p5 6p      -5.30139E-02  1.05168E+00 15.0
     40 18 18  120   4 3s2 3p5 6p      -5.24389E-02  1.05225E+00  5.0
     41 18 18  110   3 3s2 3p5 6p      -5.19676E-02  1.05272E+00  3.0
     42 18 18  310   3 3s2 3p5 6p      -5.19676E-02  1.05272E+00  9.0
     43 18 18  100   4 3s2 3p5 6p      -4.93082E-02  1.05538E+00  1.0
     44 18 18  311   6 3s2 3p5 5d      -4.54903E-02  1.05920E+00  9.0
     45 18 18  331   3 3s2 3p5 5d      -4.36196E-02  1.06107E+00 21.0
     46 18 18  131   3 3s2 3p5 5d      -4.19341E-02  1.06276E+00  7.0
     47 18 18  311   7 3s2 3p5 7s      -4.14404E-02  1.06325E+00  9.0
     48 18 18  121   3 3s2 3p5 5d      -4.13029E-02  1.06339E+00  5.0
     49 18 18  321   3 3s2 3p5 5d      -4.13029E-02  1.06339E+00 15.0
     50 18 18  111   6 3s2 3p5 7s      -4.09500E-02  1.06374E+00  3.0
     51 18 18  111   7 3s2 3p5 5d      -4.02055E-02  1.06448E+00  3.0
     52 18 18  320   5 3s2 3p5 5f      -4.00566E-02  1.06463E+00 15.0
     53 18 18  120   5 3s2 3p5 5f      -4.00454E-02  1.06464E+00  5.0
     54 18 18  340   2 3s2 3p5 5f      -4.00288E-02  1.06466E+00 27.0
