 1s2            1S       1      0.0000     078
 1s.2s          3S       3    118.591568   078
 1s.2s          1S       1    121.65023    078
 1s.2p          3Po      3    121.92093    078
 1s.2p          3Po      1    121.92235    078
 1s.2p          3Po      5    121.92276    078
 1s.2p          1Po      3    123.66830    078
 1s.3s          3S       3    139.00936    078
 1s.3s          1S       1    139.8173     078
 1s.3p          3Po      1    139.89163    078
 1s.3p          3Po      3    139.89163    078
 1s.3p          3Po      5    139.89163    078
 1s.3d          3D       3    140.27335    078
 1s.3d          3D       5    140.27335    078
 1s.3d          3D       7    140.27335    078
 1s.3d          1D       5    140.28301    078
 1s.3p          1Po      3    140.39879    078
 1s.4s          3S       3    145.71838    078
 1s.4s          1S       1    146.0443     078
 1s.4p          3Po      1    146.07517    078
 1s.4p          3Po      3    146.07517    078
 1s.4p          3Po      5    146.07517    078
 1s.4d          3D       3    146.23367    078
 1s.4d          3D       5    146.23367    078
 1s.4d          3D       7    146.23367    078
 1s.4d          1D       5    146.23914    078
 1s.4f          3Fo      5    146.24096    078
 1s.4f          3Fo      7    146.24096    078
 1s.4f          3Fo      9    146.24096    078
 1s.4f          1Fo      7    146.24096    078
 1s.4p          1Po      3    146.2867     078
 1s.5s          3S       3    148.73305    078
 1s.5s          1S       1    148.89593    078
 1s.5p          3Po      1    148.91176    078
 1s.5p          3Po      3    148.91176    078
 1s.5p          3Po      5    148.91176    078
 1s.5d          3D       3    148.99227    078
 1s.5d          3D       5    148.99227    078
 1s.5d          3D       7    148.99227    078
 1s.5d          1D       5    148.9957     078
 1s.5f          3Fo      5    148.99638    078
 1s.5f          3Fo      7    148.99638    078
 1s.5f          3Fo      9    148.99638    078
 1s.5f          1Fo      7    148.99638    078
 1s.5g          3G       7    148.99669    078
 1s.5g          3G       9    148.99669    078
 1s.5g          3G      11    148.99669    078
 1s.5g          1G       9    148.99669    078
 1s.5p          1Po      3    149.01935    078
 1s.6s          3S       3    150.3423     078
 1s.6s          1S       1    150.4351     078
 1s.6p          3Po      1    150.4441     078
 1s.6p          3Po      3    150.4441     078
 1s.6p          3Po      5    150.4441     078
 1s.6d          3D       3    150.4907     078
 1s.6d          3D       5    150.4907     078
 1s.6d          3D       7    150.4907     078
 1s.6d          1D       5    150.4926     078
 1s.6g          3G       7    150.49326    078
 1s.6g          3G       9    150.49326    078
 1s.6g          3G      11    150.49326    078
 1s.6g          1G       9    150.49326    078
 1s.6h          3Ho      9   [150.49332]   079
 1s.6h          3Ho     11   [150.49332]   079
 1s.6h          3Ho     13   [150.49332]   079
 1s.6h          1Ho     11   [150.49332]   079
 1s.6f          3Fo      5    150.49334    078
 1s.6f          3Fo      7    150.49334    078
 1s.6f          3Fo      9    150.49334    078
 1s.6f          1Fo      7    150.49334    078
 1s.6p          1Po      3    150.508      078
 1s.7s          3S       3    151.30135    078
 1s.7s          1S       1    151.35937    078
 1s.7p          3Po      1    151.36480    078
