 4s2            1S       1     0.0000   ASD
 4s.4p          3Po      1    12.9335   ASD
 4s.4p          3Po      3    13.1958   ASD
 4s.4p          3Po      5    13.8039   ASD
 4s.4p          1Po      3    18.7556   ASD
 4p2            3P       1    30.2690   ASD
 4p2            3P       3    30.6744   ASD
 4p2            3P       5    31.4786   ASD
 4s.4d          3D       3    37.7715   ASD
 4s.4d          3D       5    37.8111   ASD
 4s.4d          3D       7    37.8711   ASD
 4s.(2S<1/2>)   Limit        [88.62]    002
