Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""2s2.2p2""","=""3P""","=""0""",1,"=""""","=""0.0000000000""","=""""",
"=""2s2.2p2""","=""3P""","=""1""",3,"=""""","=""0.0020354130""","=""""",
"=""2s2.2p2""","=""3P""","=""2""",5,"=""""","=""0.0053825826""","=""""",
"=""2s2.2p2""","=""1D""","=""2""",5,"=""""","=""1.2637284""","=""""",
"=""2s2.2p2""","=""1S""","=""0""",1,"=""""","=""2.6840136""","=""""",
"=""2s.2p3""","=""5S*""","=""2""",5,"=""""","=""4.1826219""","=""""",
"=""2s2.2p.3s""","=""3P*""","=""0""",1,"=""""","=""7.48039414""","=""""",
"=""2s2.2p.3s""","=""3P*""","=""1""",3,"=""""","=""7.48277598""","=""""",
"=""2s2.2p.3s""","=""3P*""","=""2""",5,"=""""","=""7.48779869""","=""""",
"=""2s2.2p.3s""","=""1P*""","=""1""",3,"=""""","=""7.68476777""","=""""",
"=""2s.2p3""","=""3D*""","=""3""",7,"=""""","=""7.945771557""","=""""",
"=""2s.2p3""","=""3D*""","=""1""",3,"=""""","=""7.94613476""","=""""",
"=""2s.2p3""","=""3D*""","=""2""",5,"=""""","=""7.94627046""","=""""",
"=""2s2.2p.3p""","=""1P""","=""1""",3,"=""""","=""8.53709962""","=""""",
"=""2s2.2p.3p""","=""3D""","=""1""",3,"=""""","=""8.64039604""","=""""",
"=""2s2.2p.3p""","=""3D""","=""2""",5,"=""""","=""8.643023685""","=""""",
"=""2s2.2p.3p""","=""3D""","=""3""",7,"=""""","=""8.647160399""","=""""",
"=""2s2.2p.3p""","=""3S""","=""1""",3,"=""""","=""8.771134696""","=""""",
"=""2s2.2p.3p""","=""3P""","=""0""",1,"=""""","=""8.84658790""","=""""",
"=""2s2.2p.3p""","=""3P""","=""1""",3,"=""""","=""8.848124381""","=""""",
"=""2s2.2p.3p""","=""3P""","=""2""",5,"=""""","=""8.850662829""","=""""",
"=""2s2.2p.3p""","=""1D""","=""2""",5,"=""""","=""9.00258381""","=""""",
"=""2s2.2p.3p""","=""1S""","=""0""",1,"=""""","=""9.17184612""","=""""",
"=""2s.2p3""","=""3P*""","=""1""",3,"=""""","=""9.33030708""","=""""",
"=""2s.2p3""","=""3P*""","=""2""",5,"=""""","=""9.330467271""","=""""",
"=""2s.2p3""","=""3P*""","=""0""",1,"=""""","=""9.33057587""","=""""",
"=""2s2.2p.3d""","=""1D*""","=""2""",5,"=""""","=""9.631071843""","=""""",
"=""2s2.2p.4s""","=""3P*""","=""0""",1,"=""""","=""9.68378589""","=""""",
"=""2s2.2p.4s""","=""3P*""","=""1""",3,"=""""","=""9.685245529""","=""""",
"=""2s2.2p.4s""","=""3P*""","=""2""",5,"=""""","=""9.689130559""","=""""",
"=""2s2.2p.3d""","=""3F*""","=""2""",5,"=""""","=""9.69545167""","=""""",
"=""2s2.2p.3d""","=""3F*""","=""3""",7,"=""""","=""9.697491047""","=""""",
"=""2s2.2p.3d""","=""3F*""","=""4""",9,"=""""","=""9.701759406""","=""""",
"=""2s2.2p.3d""","=""3D*""","=""1""",3,"=""""","=""9.70715841""","=""""",
"=""2s2.2p.3d""","=""3D*""","=""2""",5,"=""""","=""9.708910751""","=""""",
"=""2s2.2p.3d""","=""3D*""","=""3""",7,"=""""","=""9.710227435""","=""""",
"=""2s2.2p.4s""","=""1P*""","=""1""",3,"=""""","=""9.71295903""","=""""",
"=""2s2.2p.3d""","=""1F*""","=""3""",7,"=""""","=""9.73643528""","=""""",
"=""2s2.2p.3d""","=""1P*""","=""1""",3,"=""""","=""9.76143658""","=""""",
"=""2s2.2p.3d""","=""3P*""","=""2""",5,"=""""","=""9.833294423""","=""""",
"=""2s2.2p.3d""","=""3P*""","=""1""",3,"=""""","=""9.83427899""","=""""",
"=""2s2.2p.3d""","=""3P*""","=""0""",1,"=""""","=""9.83482192""","=""""",
"=""2s2.2p.4p""","=""1P""","=""1""",3,"=""""","=""9.98852478""","=""""",
"=""2s2.2p.4p""","=""3D""","=""1""",3,"=""""","=""10.01574721""","=""""",
"=""2s2.2p.4p""","=""3D""","=""2""",5,"=""""","=""10.018083033""","=""""",
"=""2s2.2p.4p""","=""3D""","=""3""",7,"=""""","=""10.022216175""","=""""",
"=""2s2.2p.4p""","=""3S""","=""1""",3,"=""""","=""10.055746371""","=""""",
"=""2s2.2p.4p""","=""3P""","=""0""",1,"=""""","=""10.08128590""","=""""",
"=""2s2.2p.4p""","=""3P""","=""1""",3,"=""""","=""10.083115460""","=""""",
"=""2s2.2p.4p""","=""3P""","=""2""",5,"=""""","=""10.085377438""","=""""",
"=""2s2.2p.4p""","=""1D""","=""2""",5,"=""""","=""10.13817190""","=""""",
