 1s2            1S       1      0.0000    031
 1s.2s          3S       3    298.95950   031
 1s.2s          1S       1    304.3843    031
 1s.2p          3Po      3    304.40068   031
 1s.2p          3Po      1    304.40224   031
 1s.2p          3Po      5    304.41753   031
 1s.2p          1Po      3    307.8990    031
 1s.3s          3S       3    352.0622    031
 1s.3s          1S       1    353.5012    ASD
 1s.3p          3Po      3    353.5293    ASD
 1s.3p          3Po      1    353.5294    ASD
 1s.3p          3Po      5    353.5342    ASD
 1s.3d          3D       3    354.2607    ASD
 1s.3d          3D       5    354.2608    ASD
 1s.3d          3D       7    354.2622    ASD
 1s.3d          1D       5    354.2886    031
 1s.3p          1Po      3    354.5165    031
 1s.4s          3S       3    369.91238   031
 1s.4s          1S       1    370.4953    031
 1s.4p          3Po      1   [370.5101]   031
 1s.4p          3Po      3   [370.5101]   031
 1s.4p          3Po      5   [370.5120]   031
 1s.4d          3D       3    370.81229   031
 1s.4d          3D       5    370.81229   031
 1s.4d          3D       7    370.81229   031
 1s.4d          1D       5    370.8280    031
 1s.4f          1Fo      7    370.82839   031
 1s.4f          3Fo      5    370.82839   031
 1s.4f          3Fo      7    370.82839   031
 1s.4f          3Fo      9    370.82839   031
 1s.4p          1Po      3    370.9188    031
 1s.5s          3S       3    378.01944   031
 1s.5s          1S       1    378.3105    031
 1s.5p          3Po      1    378.3207    031
 1s.5p          3Po      3    378.3207    031
 1s.5p          3Po      5    378.3207    031
 1s.5d          3D       3    378.47326   031
 1s.5d          3D       5    378.47326   031
 1s.5d          3D       7    378.47326   031
 1s.5f          1Fo      7    378.48235   031
 1s.5f          3Fo      5    378.48235   031
 1s.5f          3Fo      7    378.48235   031
 1s.5f          3Fo      9    378.48235   031
 1s.5g          1G       9    378.48251   031
 1s.5g          3G       7    378.48251   031
 1s.5g          3G       9    378.48251   031
 1s.5g          3G      11    378.48251   031
 1s.5d          1D       5    378.4827    031
 1s.5p          1Po      3    378.529     031
 1s.6s          3S       3    382.3746    031
 1s.6p          3Po      1    382.54694   031
 1s.6p          3Po      3    382.54694   031
 1s.6p          3Po      5    382.54694   031
 1s.6d          3D       3    382.63448   031
 1s.6d          3D       5    382.63448   031
 1s.6d          3D       7    382.63448   031
 1s.6f          1Fo      7    382.63976   031
 1s.6f          3Fo      5    382.63976   031
 1s.6f          3Fo      7    382.63976   031
 1s.6f          3Fo      9    382.63976   031
 1s.6d          1D       5    382.6400    031
 1s.6g          1G       9    382.64002   031
 1s.6g          3G       7    382.64002   031
 1s.6g          3G       9    382.64002   031
 1s.6g          3G      11    382.64002   031
 1s.6h          3Ho      9    382.6401    031
 1s.6h          3Ho     11    382.6401    031
 1s.6h          3Ho     13    382.6401    031
 1s.6h          1Ho     11    382.6401    031
 1s.6p          1Po      3   [382.6658]   031
 1s.7s          3S       3   [384.9803]   031
 1s.7p          3Po      1    385.0888    031
 1s.7p          3Po      3    385.0888    031
 1s.7p          3Po      5    385.0888    031
 1s.7d          3D       3    385.14333   031
 1s.7d          3D       5    385.14333   031
 1s.7d          3D       7    385.14333   031
 1s.7g          1G       9    385.14659   031
 1s.7g          3G       7    385.14659   031
 1s.7g          3G       9    385.14659   031
 1s.7g          3G      11    385.14659   031
 1s.7f          1Fo      7    385.14669   031
 1s.7f          3Fo      5    385.14669   031
 1s.7f          3Fo      7    385.14669   031
 1s.7f          3Fo      9    385.14669   031
 1s.7h          1Ho     11    385.14683   031
 1s.7h          3Ho      9    385.14683   031
 1s.7h          3Ho     11    385.14683   031
 1s.7h          3Ho     13    385.14683   031
 1s.7i          1I      13    385.1470    031
 1s.7i          3I      11    385.1470    031
 1s.7i          3I      13    385.1470    031
 1s.7i          3I      15    385.1470    031
 1s.7d          1D       5   [385.1470]   031
 1s.7p          1Po      3   [385.1629]   031
 1s.8s          3S       3   [386.6626]   031
 1s.8p          3Po      1    386.735     031
 1s.8p          3Po      3    386.735     031
 1s.8p          3Po      5    386.735     031
 1s.8d          3D       3    386.7712    031
 1s.8d          3D       5    386.7712    031
 1s.8d          3D       7    386.7712    031
 1s.8g          1G       9    386.77361   031
 1s.8g          3G       7    386.77361   031
 1s.8g          3G       9    386.77361   031
 1s.8g          3G      11    386.77361   031
 1s.8f          1Fo      7    386.77375   031
 1s.8f          3Fo      5    386.77375   031
 1s.8f          3Fo      7    386.77375   031
 1s.8f          3Fo      9    386.77375   031
 1s.8h          1Ho     11    386.77383   031
 1s.8h          3Ho      9    386.77383   031
 1s.8h          3Ho     11    386.77383   031
 1s.8h          3Ho     13    386.77383   031
 1s.8d          1D       5   [386.7739]   031
 1s.8i          3I      11    386.7739    031
 1s.8i          3I      13    386.7739    031
 1s.8i          3I      15    386.7739    031
 1s.8i          1I      13    386.7739    031
 1s.8p          1Po      3   [386.7845]   031
 1s.9p          3Po      1   [387.8617]   031
 1s.9p          3Po      3   [387.8617]   031
 1s.9p          3Po      5   [387.8617]   031
 1s.9p          1Po      3   [387.8968]   031
 1s.10p         3Po      1   [388.6671]   031
 1s.10p         3Po      3   [388.6671]   031
 1s.10p         3Po      5   [388.6671]   031
 1s.10p         1Po      3   [388.6927]   031
 1s.(2S<1/2>)   Limit         392.08856   031
