 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1  6  6  310   1 2s2 2p2         -8.46461E-01  0.00000E+00  9.0
      2  6  6  120   1 2s2 2p2         -7.48402E-01  9.80590E-02  5.0
      3  6  6  100   1 2s2 2p2         -6.35936E-01  2.10525E-01  1.0
      4  6  6  501   1 2s 2p3          -5.50551E-01  2.95910E-01  5.0
      5  6  6  311   1 2s2 2p 3s       -2.96421E-01  5.50040E-01  9.0
      6  6  6  111   1 2s2 2p 3s       -2.80533E-01  5.65928E-01  3.0
      7  6  6  321   1 2s 2p3          -2.62496E-01  5.83965E-01 15.0
      8  6  6  110   1 2s2 2p 3p       -2.16248E-01  6.30213E-01  3.0
      9  6  6  320   1 2s2 2p 3p       -2.07689E-01  6.38772E-01 15.0
     10  6  6  300   1 2s2 2p 3p       -1.96709E-01  6.49752E-01  3.0
     11  6  6  310   2 2s2 2p 3p       -1.89330E-01  6.57131E-01  9.0
     12  6  6  120   2 2s2 2p 3p       -1.75374E-01  6.71087E-01  5.0
     13  6  6  100   2 2s2 2p 3p       -1.59115E-01  6.87346E-01  1.0
     14  6  6  311   2 2s 2p3          -1.52982E-01  6.93479E-01  9.0
     15  6  6  121   1 2s2 2p 3d       -1.22613E-01  7.23848E-01  5.0
     16  6  6  311   3 2s2 2p 4s       -1.17444E-01  7.29017E-01  9.0
     17  6  6  331   1 2s2 2p 3d       -1.16793E-01  7.29668E-01 21.0
     18  6  6  111   2 2s2 2p 4s       -1.15623E-01  7.30838E-01  3.0
     19  6  6  321   2 2s2 2p 3d       -1.15589E-01  7.30872E-01 15.0
     20  6  6  131   1 2s2 2p 3d       -1.13385E-01  7.33076E-01  7.0
     21  6  6  111   3 2s2 2p 3d       -1.10991E-01  7.35470E-01  3.0
     22  6  6  311   4 2s2 2p 3d       -1.07168E-01  7.39293E-01  9.0
     23  6  6  110   2 2s2 2p 4p       -9.57750E-02  7.50686E-01  3.0
     24  6  6  320   2 2s2 2p 4p       -9.36608E-02  7.52800E-01 15.0
     25  6  6  300   2 2s2 2p 4p       -9.11288E-02  7.55332E-01  3.0
     26  6  6  310   3 2s2 2p 4p       -8.90611E-02  7.57400E-01  9.0
     27  6  6  120   3 2s2 2p 4p       -8.48612E-02  7.61600E-01  5.0
     28  6  6  100   3 2s2 2p 4p       -8.00323E-02  7.66429E-01  1.0
     29  6  6  121   2 2s2 2p 4d       -6.82600E-02  7.78201E-01  5.0
     30  6  6  331   2 2s2 2p 4d       -6.54102E-02  7.81051E-01 21.0
     31  6  6  311   5 2s2 2p 5s       -6.50440E-02  7.81417E-01  9.0
     32  6  6  321   3 2s2 2p 4d       -6.44899E-02  7.81971E-01 15.0
     33  6  6  111   4 2s2 2p 5s       -6.42691E-02  7.82192E-01  3.0
     34  6  6  131   2 2s2 2p 4d       -6.35609E-02  7.82900E-01  7.0
     35  6  6  130   1 2s2 2p 4f       -6.29373E-02  7.83524E-01  7.0
     36  6  6  330   1 2s2 2p 4f       -6.29346E-02  7.83526E-01 21.0
