 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 20 18  100   1 3s2 3p6         -3.68369E+00  0.00000E+00  1.0
      2 20 18  311   1 3s2 3p5 3d      -1.80687E+00  1.87682E+00  9.0
      3 20 18  331   1 3s2 3p5 3d      -1.72544E+00  1.95825E+00 21.0
      4 20 18  321   1 3s2 3p5 3d      -1.57129E+00  2.11240E+00 15.0
      5 20 18  121   1 3s2 3p5 3d      -1.57129E+00  2.11240E+00  5.0
      6 20 18  131   1 3s2 3p5 3d      -1.56450E+00  2.11919E+00  7.0
      7 20 18  311   2 3s2 3p5 4s      -1.47983E+00  2.20386E+00  9.0
      8 20 18  111   1 3s2 3p5 4s      -1.44581E+00  2.23788E+00  3.0
      9 20 18  300   1 3s2 3p5 4p      -1.23984E+00  2.44385E+00  3.0
     10 20 18  320   1 3s2 3p5 4p      -1.18601E+00  2.49768E+00 15.0
     11 20 18  120   1 3s2 3p5 4p      -1.16647E+00  2.51722E+00  5.0
     12 20 18  110   1 3s2 3p5 4p      -1.15187E+00  2.53182E+00  3.0
     13 20 18  310   1 3s2 3p5 4p      -1.15187E+00  2.53182E+00  9.0
     14 20 18  111   2 3s2 3p5 3d      -1.08803E+00  2.59566E+00  3.0
     15 20 18  100   2 3s2 3p5 4p      -1.06854E+00  2.61515E+00  1.0
     16 20 18  311   3 3s2 3p5 4d      -7.82358E-01  2.90133E+00  9.0
     17 20 18  331   2 3s2 3p5 4d      -7.67629E-01  2.91606E+00 21.0
     18 20 18  131   2 3s2 3p5 4d      -7.48369E-01  2.93532E+00  7.0
     19 20 18  321   2 3s2 3p5 4d      -7.42726E-01  2.94096E+00 15.0
     20 20 18  121   2 3s2 3p5 4d      -7.42726E-01  2.94096E+00  5.0
     21 20 18  311   4 3s2 3p5 5s      -7.36687E-01  2.94700E+00  9.0
     22 20 18  111   3 3s2 3p5 5s      -7.26833E-01  2.95686E+00  3.0
     23 20 18  300   2 3s2 3p5 5p      -6.43928E-01  3.03976E+00  3.0
     24 20 18  111   4 3s2 3p5 4d      -6.28524E-01  3.05517E+00  3.0
     25 20 18  320   2 3s2 3p5 5p      -6.27038E-01  3.05665E+00 15.0
     26 20 18  120   2 3s2 3p5 5p      -6.19907E-01  3.06378E+00  5.0
     27 20 18  310   2 3s2 3p5 5p      -6.16225E-01  3.06747E+00  9.0
     28 20 18  110   2 3s2 3p5 5p      -6.16225E-01  3.06747E+00  3.0
     29 20 18  100   3 3s2 3p5 5p      -5.82007E-01  3.10168E+00  1.0
     30 20 18  320   3 3s2 3p5 4f      -5.73531E-01  3.11016E+00 15.0
