Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d5.(6S).4s""","=""a 7S""","=""3""",7,"=""""","=""0.00000000""","=""""",
"=""3d5.(6S).4s""","=""a 5S""","=""2""",5,"=""""","=""0.94143042""","=""""",
"=""3d4.4s2""","=""a 5D""","=""0""",1,"=""""","=""0.96097009""","=""""",
"=""3d4.4s2""","=""a 5D""","=""1""",3,"=""""","=""0.96841324""","=""""",
"=""3d4.4s2""","=""a 5D""","=""2""",5,"=""""","=""0.98287742""","=""""",
"=""3d4.4s2""","=""a 5D""","=""3""",7,"=""""","=""1.00367492""","=""""",
"=""3d4.4s2""","=""a 5D""","=""4""",9,"=""""","=""1.03000806""","=""""",
"=""3d5.(4G).4s""","=""a 5G""","=""2""",5,"=""""","=""2.54383615""","=""""",
"=""3d5.(4G).4s""","=""a 5G""","=""6""",13,"=""""","=""2.54410014""","=""""",
"=""3d5.(4G).4s""","=""a 5G""","=""3""",7,"=""""","=""2.54426770""","=""""",
"=""3d5.(4G).4s""","=""a 5G""","=""4""",9,"=""""","=""2.54460569""","=""""",
"=""3d5.(4G).4s""","=""a 5G""","=""5""",11,"=""""","=""2.54463928""","=""""",
"=""3d5.(4P).4s""","=""a 5P""","=""3""",7,"=""""","=""2.70791527""","=""""",
"=""3d5.(4P).4s""","=""a 5P""","=""2""",5,"=""""","=""2.70878630""","=""""",
"=""3d5.(4P).4s""","=""a 5P""","=""1""",3,"=""""","=""2.70991379""","=""""",
"=""3d4.4s2""","=""a 3P""","=""0""",1,"=""""","=""2.87187333""","=""""",
"=""3d5.(6S).4p""","=""z 7P*""","=""2""",5,"=""""","=""2.88945207""","=""""",
"=""3d5.(6S).4p""","=""z 7P*""","=""3""",7,"=""""","=""2.89953685""","=""""",
"=""3d5.(6S).4p""","=""z 7P*""","=""4""",9,"=""""","=""2.91348182""","=""""",
"=""3d4.4s2""","=""a 3P""","=""1""",3,"=""""","=""2.91511324""","=""""",
"=""3d4.4s2""","=""a 3H""","=""4""",9,"=""""","=""2.96741996""","=""""",
"=""3d4.4s2""","=""a 3H""","=""5""",11,"=""""","=""2.98256889""","=""""",
"=""3d4.4s2""","=""a 3P""","=""2""",5,"=""""","=""2.98716595""","=""""",
"=""3d4.4s2""","=""a 3H""","=""6""",13,"=""""","=""3.00044215""","=""""",
"=""3d5.(4D).4s""","=""b 5D""","=""0""",1,"=""""","=""3.00997115""","=""""",
"=""3d5.(4D).4s""","=""b 5D""","=""4""",9,"=""""","=""3.01062753""","=""""",
"=""3d5.(4D).4s""","=""b 5D""","=""1""",3,"=""""","=""3.01114742""","=""""",
"=""3d5.(4D).4s""","=""b 5D""","=""2""",5,"=""""","=""3.01279642""","=""""",
"=""3d5.(4D).4s""","=""b 5D""","=""3""",7,"=""""","=""3.01329987""","=""""",
"=""3d5.(4G).4s""","=""a 3G""","=""3""",7,"=""""","=""3.07899825""","=""""",
"=""3d5.(4G).4s""","=""a 3G""","=""4""",9,"=""""","=""3.08689206""","=""""",
"=""3d4.4s2""","=""a 3F""","=""2""",5,"=""""","=""3.0922396""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""0""",1,"=""""","=""3.0960208""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""1""",3,"=""""","=""3.10092412""","=""""",
"=""3d5.(4G).4s""","=""a 3G""","=""5""",11,"=""""","=""3.10437812""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""",5,"=""""","=""3.11067051""","=""""",
"=""3d4.4s2""","=""a 3F""","=""3""",7,"=""""","=""3.11278390""","=""""",
"=""3d4.4s2""","=""a 3F""","=""4""",9,"=""""","=""3.12159404""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""3""",7,"=""""","=""3.12514546""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""",9,"=""""","=""3.14419143""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""5""",11,"=""""","=""3.16762385""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""6""",13,"=""""","=""3.1952485""","=""""",
"=""3d5.(6S).4p""","=""z 5P*""","=""3""",7,"=""""","=""3.32122225""","=""""",
"=""3d5.(6S).4p""","=""z 5P*""","=""2""",5,"=""""","=""3.32231395""","=""""",
"=""3d5.(6S).4p""","=""z 5P*""","=""1""",3,"=""""","=""3.32301220""","=""""",
"=""3d5.(4P).4s""","=""b 3P""","=""0""",1,"=""""","=""3.36779583""","=""""",
"=""3d5.(4P).4s""","=""b 3P""","=""1""",3,"=""""","=""3.36940787""","=""""",
"=""3d5.(4P).4s""","=""b 3P""","=""2""",5,"=""""","=""3.37521461""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""1""",3,"=""""","=""3.38478638""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""2""",5,"=""""","=""3.39495688""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""",7,"=""""","=""3.40961132""","=""""",
"=""3d4.4s2""","=""b 3G""","=""3""",7,"=""""","=""3.42162179""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""4""",9,"=""""","=""3.42812540""","=""""",
"=""3d4.4s2""","=""b 3G""","=""4""",9,"=""""","=""3.43483025""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""2""",5,"=""""","=""3.43793441""","=""""",
"=""3d4.4s2""","=""b 3G""","=""5""",11,"=""""","=""3.44884096""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""3""",7,"=""""","=""3.44926489""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""5""",11,"=""""","=""3.44990008""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""y 7P*""","=""4""",9,"=""""","=""3.46352849""","=""""",
"=""3d5.(4D).4s""","=""a 3D""","=""3""",7,"=""""","=""3.55053095""","=""""",
"=""3d5.(4D).4s""","=""a 3D""","=""1""",3,"=""""","=""3.55579538""","=""""",
"=""3d5.(4D).4s""","=""a 3D""","=""2""",5,"=""""","=""3.55614020""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""1""",3,"=""""","=""3.64772230""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",5,"=""""","=""3.66801930""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""",7,"=""""","=""3.69779039""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""1""",3,"=""""","=""3.81713644""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""",5,"=""""","=""3.82599758""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""",7,"=""""","=""3.83921781""","=""""",
"=""3d5.(2D3).4s""","=""b 3D""","=""3""",7,"=""""","=""3.84462239""","=""""",
"=""3d5.(2D3).4s""","=""b 3D""","=""2""",5,"=""""","=""3.84701382""","=""""",
"=""3d5.(2I).4s""","=""a 3I""","=""7""",15,"=""""","=""3.84945609""","=""""",
"=""3d5.(2D3).4s""","=""b 3D""","=""1""",3,"=""""","=""3.84955423""","=""""",
"=""3d5.(2I).4s""","=""a 3I""","=""6""",13,"=""""","=""3.84961210""","=""""",
"=""3d5.(2I).4s""","=""a 3I""","=""5""",11,"=""""","=""3.85036371""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""",9,"=""""","=""3.85669178""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""5""",11,"=""""","=""3.87826474""","=""""",
"=""3d5.(4F).4s""","=""a 5F""","=""1""",3,"=""""","=""3.8872001""","=""""",
"=""3d5.(4F).4s""","=""a 5F""","=""2""",5,"=""""","=""3.88753932""","=""""",
"=""3d5.(4F).4s""","=""a 5F""","=""3""",7,"=""""","=""3.88866925""","=""""",
"=""3d5.(4F).4s""","=""a 5F""","=""4""",9,"=""""","=""3.89035912""","=""""",
"=""3d5.(4F).4s""","=""a 5F""","=""5""",11,"=""""","=""3.89227274""","=""""",
"=""3d4.4s2""","=""a 1G""","=""4""",9,"=""""","=""3.965856""","=""""",
"=""3d4.4s2""","=""a 1I""","=""6""",13,"=""""","=""3.9795577""","=""""",
"=""3d5.(2F1).4s""","=""b 3F""","=""2""",5,"=""""","=""4.0964341""","=""""",
"=""3d5.(2F1).4s""","=""b 3F""","=""3""",7,"=""""","=""4.0989996""","=""""",
"=""3d5.(2F1).4s""","=""b 3F""","=""4""",9,"=""""","=""4.1055150""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""0""",1,"=""""","=""4.13341698""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""",3,"=""""","=""4.14402113""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""",5,"=""""","=""4.15869020""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""",7,"=""""","=""4.17473732""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""",1,"=""""","=""4.18602054""","=""""",
"=""3d5.(2I).4s""","=""b 1I""","=""6""",13,"=""""","=""4.1860366""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""4""",9,"=""""","=""4.19265380""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""",3,"=""""","=""4.20272344""","=""""",
"=""3d4.4s2""","=""c 3D""","=""1""",3,"=""""","=""4.2038751""","=""""",
"=""3d4.4s2""","=""c 3D""","=""3""",7,"=""""","=""4.2073736""","=""""",
"=""3d4.4s2""","=""c 3D""","=""2""",5,"=""""","=""4.2074798""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3P*""","=""2""",5,"=""""","=""4.23907331""","=""""",
"=""3d6""","=""c 5D""","=""4""",9,"=""""","=""4.38878728""","=""""",
"=""3d6""","=""c 5D""","=""3""",7,"=""""","=""4.40158502""","=""""",
"=""3d6""","=""c 5D""","=""2""",5,"=""""","=""4.41047990""","=""""",
"=""3d6""","=""c 5D""","=""1""",3,"=""""","=""4.41612877""","=""""",
"=""3d6""","=""c 5D""","=""0""",1,"=""""","=""4.41887660""","=""""",
"=""3d5.(4F).4s""","=""c 3F""","=""2""",5,"=""""","=""4.439590""","=""""",
"=""3d5.(4F).4s""","=""c 3F""","=""3""",7,"=""""","=""4.4403310""","=""""",
"=""3d5.(4F).4s""","=""c 3F""","=""4""",9,"=""""","=""4.44641605""","=""""",
"=""3d5.(2H).4s""","=""b 3H""","=""4""",9,"=""""","=""4.4473700""","=""""",
"=""3d5.(2H).4s""","=""b 3H""","=""5""",11,"=""""","=""4.4490806""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",5,"=""""","=""4.45075789""","=""""",
"=""3d5.(2H).4s""","=""b 3H""","=""6""",13,"=""""","=""4.4552365""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""3""",7,"=""""","=""4.46766550""","=""""",
"=""3d4.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""",9,"=""""","=""4.48973240""","=""""",
