 3s2.3p6                 1S           1     0.00000   ASD
 3s2.3p5.3d              3Po          1    42.30084   ASD
 3s2.3p5.3d              3Po          3    42.49849   ASD
 3s2.3p5.3d              3Po          5    42.91553   ASD
 3s2.3p5.3d              3Fo          9    44.32976   ASD
 3s2.3p5.3d              3Fo          7    44.65562   ASD
 3s2.3p5.3d              3Fo          5    45.01381   ASD
 3s2.3p5.3d              1Do          5    47.44655   ASD
 3s2.3p5.3d              3Do          7    47.45338   ASD
 3s2.3p5.3d              3Do          3    47.83661   ASD
 3s2.3p5.3d              3Do          5    47.93434   ASD
 3s2.3p5.3d              1Fo          7    48.25789   ASD
 3s2.3p5.3d              1Po          3    61.12859   ASD
 3s.3p6.3d               3D           3    75.46664   ASD
 3s.3p6.3d               3D           5    75.52406   ASD
 3s.3p6.3d               3D           7    75.61644   ASD
 3s.3p6.3d               1D           5    77.84058   ASD
 3s2.3p5.(2Po<3/2>).4s   3/2[3/2]o    5    82.92789   ASD
 3s2.3p5.(2Po<3/2>).4s   3/2[3/2]o    3    83.37040   ASD
 3s2.3p5.(2Po<1/2>).4s   1/2[1/2]o    1    84.12757   ASD
 3s2.3p5.(2Po<1/2>).4s   1/2[1/2]o    3    84.63287   ASD
 3s2.3p5.4p              3S           3    91.07944   ASD
 3s2.3p5.4p              3D           5    92.40900   ASD
 3s2.3p5.4p              3D           7    92.44646   ASD
 3s2.3p5.4p              3D           3    92.81819   ASD
 3s2.3p5.4p              3P           5    93.19263   ASD
 3s2.3p5.4p              1P           3    93.53105   ASD
 3s2.3p5.4p              3P           1    93.86047   ASD
 3s2.3p5.4p              1D           5    94.02643   ASD
 3s2.3p5.4p              3P           3    94.05094   ASD
 3s2.3p5.(2Po<3/2>).4d   3/2[1/2]o    1   106.16669   ASD
 3s2.3p5.(2Po<3/2>).4d   3/2[1/2]o    3   106.28352   ASD
 3s2.3p5.(2Po<3/2>).4d   3/2[3/2]o    5   106.55289   ASD
 3s2.3p5.(2Po<3/2>).4d   3/2[7/2]o    9   106.68149   ASD
 3s2.3p5.(2Po<3/2>).4d   3/2[7/2]o    7   106.77498   ASD
 3s2.3p5.(2Po<3/2>).4d   3/2[5/2]o    5   107.13839   ASD
 3s2.3p5.(2Po<3/2>).4d   3/2[5/2]o    7   107.26564   ASD
 3s2.3p5.(2Po<3/2>).4d   3/2[3/2]o    3   107.43264   ASD
 3s2.3p5.(2Po<1/2>).4d   1/2[5/2]o    5   108.14292   ASD
 3s2.3p5.(2Po<1/2>).4d   1/2[5/2]o    7   108.25631   ASD
 3s2.3p5.(2Po<1/2>).4d   1/2[3/2]o    5   108.30831   ASD
 3s2.3p5.(2Po<1/2>).4d   1/2[3/2]o    3   108.53334   ASD
 3s2.3p5.(2Po<3/2>).4f   3/2[3/2]     3   116.7697    ASD
 3s2.3p5.(2Po<3/2>).4f   3/2[3/2]     5   116.93557   ASD
 3s2.3p5.(2Po<3/2>).4f   3/2[9/2]    11   117.09275   ASD
 3s2.3p5.(2Po<3/2>).4f   3/2[5/2]     7   117.14853   ASD
 3s2.3p5.(2Po<3/2>).4f   3/2[9/2]     9   117.22403   ASD
 3s2.3p5.(2Po<3/2>).4f   3/2[7/2]     7   117.52677   ASD
 3s2.3p5.(2Po<3/2>).4f   3/2[7/2]     9   117.65404   ASD
 3s2.3p5.(2Po<3/2>).5s   3/2[3/2]o    3   117.9241    ASD
 3s2.3p5.(2Po<3/2>).4f   3/2[5/2]     5   118.3582    ASD
 3s2.3p5.(2Po<1/2>).4f   1/2[7/2]     7   118.5852    ASD
 3s2.3p5.(2Po<1/2>).4f   1/2[5/2]     7   118.65344   ASD
 3s2.3p5.(2Po<1/2>).4f   1/2[7/2]     9   118.67829   ASD
 3s2.3p5.(2Po<1/2>).5s   1/2[1/2]o    3   119.0702    ASD
 3s.3p6.4p               3Po          3   122.0736    ASD
 3s.3p6.4p               1Po          3   123.2533    ASD
 3s2.3p5.(2Po<3/2>).5d   3/2[3/2]o    3   128.1358    ASD
 3s2.3p5.(2Po<1/2>).5d   1/2[3/2]o    3   129.2619    ASD
 3s2.3p5.(2Po<3/2>).6s   3/2[3/2]o    3   133.3607    ASD
 3s2.3p5.(2Po<1/2>).6s   1/2[1/2]o    3   134.5781    ASD
 3s.3p6.5p               3Po          3   151.237     ASD
 3s.3p6.5p               1Po          3   152.145     ASD
 3s2.3p5.(2Po<3/2>)      Limit            160.18      ASD
