Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d10.4s""","=""2S""","=""1/2""",2,"=""""","=""0.0000000""","=""""",
"=""3d9.4s2""","=""2D""","=""5/2""",6,"=""""","=""1.388948""","=""""",
"=""3d9.4s2""","=""2D""","=""3/2""",4,"=""""","=""1.6422256""","=""""",
"=""3d10.4p""","=""2P*""","=""1/2""",2,"=""""","=""3.7858977""","=""""",
"=""3d10.4p""","=""2P*""","=""3/2""",4,"=""""","=""3.8166920""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""",6,"=""""","=""4.837701""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""",4,"=""""","=""4.973503""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""9/2""",10,"=""""","=""5.072089""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""",2,"=""""","=""5.076382""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""7/2""",8,"=""""","=""5.102380""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""5/2""",6,"=""""","=""5.153147""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""",4,"=""""","=""5.244851""","=""""",
"=""3d10.5s""","=""2S""","=""1/2""",2,"=""""","=""5.3483348""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""7/2""",8,"=""""","=""5.395050""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""5/2""",6,"=""""","=""5.421363""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""5/2""",6,"=""""","=""5.505682""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""",4,"=""""","=""5.522772""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""1/2""",2,"=""""","=""5.568835""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""2F*""","=""7/2""",8,"=""""","=""5.574734""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""1/2""",2,"=""""","=""5.681073""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""2P*""","=""3/2""",4,"=""""","=""5.688311""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""*""","=""3/2""",4,"=""""","=""5.724709""","=""""",
"=""3d9.(2D).4s.4p.(3P*)""","=""2D*""","=""5/2""",6,"=""""","=""5.777459""","=""""",
"=""3d10.5p""","=""2P*""","=""3/2""",4,"=""""","=""6.1227049""","=""""",
"=""3d10.5p""","=""2P*""","=""1/2""",2,"=""""","=""6.1227444""","=""""",
"=""3d10.4d""","=""2D""","=""3/2""",4,"=""""","=""6.1911751""","=""""",
"=""3d10.4d""","=""2D""","=""5/2""",6,"=""""","=""6.1920252""","=""""",
"=""3d10.6s""","=""2S""","=""1/2""",2,"=""""","=""6.5524100""","=""""",
"=""3d10.6p""","=""2P*""","=""3/2""",4,"=""""","=""6.7923584""","=""""",
"=""3d10.6p""","=""2P*""","=""1/2""",2,"=""""","=""6.8225730""","=""""",
"=""3d10.5d""","=""2D""","=""3/2""",4,"=""""","=""6.8671955""","=""""",
"=""3d10.5d""","=""2D""","=""5/2""",6,"=""""","=""6.8676456""","=""""",
"=""3d10.4f""","=""2F*""","=""7/2""",8,"=""""","=""6.8719921""","=""""",
"=""3d10.4f""","=""2F*""","=""5/2""",6,"=""""","=""6.8723598""","=""""",
"=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""7/2""",8,"=""""","=""6.946821""","=""""",
"=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""3/2""",4,"=""""","=""6.985719""","=""""",
"=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""5/2""",6,"=""""","=""7.023880""","=""""",
"=""3d10.7s""","=""2S""","=""1/2""",2,"=""""","=""7.0263553""","=""""",
"=""3d10.7p""","=""2P*""","=""1/2""",2,"=""""","=""7.119078""","=""""",
"=""3d10.6d""","=""2D""","=""3/2""",4,"=""""","=""7.1778166""","=""""",
"=""3d10.6d""","=""2D""","=""5/2""",6,"=""""","=""7.1780681""","=""""",
"=""3d10.5f""","=""2F*""","=""5/2""",6,"=""""","=""7.1793195""","=""""",
"=""3d10.5f""","=""2F*""","=""7/2""",8,"=""""","=""7.1802167""","=""""",
"=""3d10.5g""","=""2G""","=""9/2""",10,"=""""","=""7.1816767""","=""""",
"=""3d10.5g""","=""2G""","=""7/2""",8,"=""""","=""7.1816767""","=""""",
"=""3d10.7p""","=""2P*""","=""3/2""",4,"=""""","=""7.1847068""","=""""",
"=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""5/2""",6,"=""""","=""7.205884""","=""""",
"=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""1/2""",2,"=""""","=""7.236296""","=""""",
"=""3d10.8s""","=""2S""","=""1/2""",2,"=""""","=""7.261618""","=""""",
"=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""3/2""",4,"=""""","=""7.276745""","=""""",
"=""3d10.7d""","=""2D""","=""3/2""",4,"=""""","=""7.345981""","=""""",
"=""3d10.7d""","=""2D""","=""5/2""",6,"=""""","=""7.3461333""","=""""",
"=""3d10.6f""","=""2F*""","=""7/2""",8,"=""""","=""7.347225""","=""""",
"=""3d10.6f""","=""2F*""","=""5/2""",6,"=""""","=""7.3472875""","=""""",
"=""3d10.6g""","=""2G""","=""9/2""",10,"=""""","=""7.3481359""","=""""",
"=""3d10.6g""","=""2G""","=""7/2""",8,"=""""","=""7.3481359""","=""""",
"=""3d10.6h""","=""2H*""","=""9/2,11/2""",22,"=""""","=""7.3483475""","=""""",
"=""3d10.8p""","=""2P*""","=""3/2""",4,"=""""","=""7.349162""","=""""",
"=""3d10.8p""","=""2P*""","=""1/2""",2,"=""""","=""7.355080""","=""""",
"=""3d10.9s""","=""2S""","=""1/2""",2,"=""""","=""7.395393""","=""""",
"=""3d10.8d""","=""2D""","=""3/2""",4,"=""""","=""7.447174""","=""""",
"=""3d10.8d""","=""2D""","=""5/2""",6,"=""""","=""7.447282""","=""""",
"=""3d10.9p""","=""2P*""","=""3/2""",4,"=""""","=""7.447752""","=""""",
"=""3d10.7f""","=""2F*""","=""7/2""",8,"=""""","=""7.4479138""","=""""",
"=""3d10.7f""","=""2F*""","=""5/2""",6,"=""""","=""7.4479334""","=""""",
"=""3d10.7g""","=""2G""","=""9/2""",10,"=""""","=""7.4485062""","=""""",
"=""3d10.7g""","=""2G""","=""7/2""",8,"=""""","=""7.4485062""","=""""",
"=""3d10.7h""","=""2H*""","=""9/2,11/2""",22,"=""""","=""7.448643""","=""""",
"=""3d10.9p""","=""2P*""","=""1/2""",2,"=""""","=""7.449569""","=""""",
"=""3d10.8f""","=""2F*""","=""5/2""",6,"=""""","=""7.512670""","=""""",
"=""3d10.9d""","=""2D""","=""3/2""",4,"=""""","=""7.512763""","=""""",
"=""3d10.9d""","=""2D""","=""5/2""",6,"=""""","=""7.512825""","=""""",
"=""3d10.10p""","=""2P*""","=""3/2""",4,"=""""","=""7.512835""","=""""",
"=""3d10.10p""","=""2P*""","=""1/2""",2,"=""""","=""7.513590""","=""""",
"=""3d10.11p""","=""2P*""","=""3/2""",4,"=""""","=""7.557620""","=""""",
"=""3d10.10d""","=""2D""","=""3/2""",4,"=""""","=""7.557694""","=""""",
"=""3d10.10d""","=""2D""","=""5/2""",6,"=""""","=""7.557744""","=""""",
"=""3d10.11p""","=""2P*""","=""1/2""",2,"=""""","=""7.557999""","=""""",
"=""3d10.12p""","=""2P*""","=""3/2""",4,"=""""","=""7.589709""","=""""",
"=""3d10.11d""","=""2D""","=""5/2""",6,"=""""","=""7.58984""","=""""",
"=""3d10.12p""","=""2P*""","=""1/2""",2,"=""""","=""7.589923""","=""""",
"=""3d10.13p""","=""2P*""","=""3/2""",4,"=""""","=""7.613467""","=""""",
"=""3d10.13p""","=""2P*""","=""1/2""",2,"=""""","=""7.613558""","=""""",
"=""3d10.14p""","=""2P*""","=""3/2""",4,"=""""","=""7.631530""","=""""",
"=""3d10.14p""","=""2P*""","=""1/2""",2,"=""""","=""7.631562""","=""""",
"=""3d10.15p""","=""2P*""","=""3/2""",4,"=""""","=""7.645592""","=""""",
"=""3d10.15p""","=""2P*""","=""1/2""",2,"=""""","=""7.64560""","=""""",
"=""3d10.16p""","=""2P*""","=""3/2""",4,"=""""","=""7.656732""","=""""",
"=""3d10.16p""","=""2P*""","=""1/2""",2,"=""""","=""7.65674""","=""""",
"=""3d10.17p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.665725""","=""""",
"=""3d10.18p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.673078""","=""""",
"=""3d10.19p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.679171""","=""""",
"=""3d10.20s""","=""2S""","=""1/2""",2,"=""""","=""7.68153""","=""""",
"=""3d10.20p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.684278""","=""""",
"=""3d10.21s""","=""2S""","=""1/2""",2,"=""""","=""7.68625""","=""""",
"=""3d10.21p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.688595""","=""""",
"=""3d10.22s""","=""2S""","=""1/2""",2,"=""""","=""7.69026""","=""""",
"=""3d10.22p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.692282""","=""""",
"=""3d10.23s""","=""2S""","=""1/2""",2,"=""""","=""7.69372""","=""""",
"=""3d10.23p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.695452""","=""""",
"=""3d10.24s""","=""2S""","=""1/2""",2,"=""""","=""7.696685""","=""""",
"=""3d10.24p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.698200""","=""""",
"=""3d10.25s""","=""2S""","=""1/2""",2,"=""""","=""7.69928""","=""""",
"=""3d10.25p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.700600""","=""""",
"=""3d10.26s""","=""2S""","=""1/2""",2,"=""""","=""7.701571""","=""""",
"=""3d10.26p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.702704""","=""""",
"=""3d10.27s""","=""2S""","=""1/2""",2,"=""""","=""7.70352""","=""""",
"=""3d10.27p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.704557""","=""""",
"=""3d10.28s""","=""2S""","=""1/2""",2,"=""""","=""7.705299""","=""""",
"=""3d10.28p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.706209""","=""""",
"=""3d10.29s""","=""2S""","=""1/2""",2,"=""""","=""7.706852""","=""""",
"=""3d10.29p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.707680""","=""""",
"=""3d10.30s""","=""2S""","=""1/2""",2,"=""""","=""7.708270""","=""""",
"=""3d10.30p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.708993""","=""""",
"=""3d10.31s""","=""2S""","=""1/2""",2,"=""""","=""7.709521""","=""""",
"=""3d10.31p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.710172""","=""""",
"=""3d10.32s""","=""2S""","=""1/2""",2,"=""""","=""7.710647""","=""""",
"=""3d10.32p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.711242""","=""""",
"=""3d10.33s""","=""2S""","=""1/2""",2,"=""""","=""7.711660""","=""""",
"=""3d10.33p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.712206""","=""""",
"=""3d10.34s""","=""2S""","=""1/2""",2,"=""""","=""7.712595""","=""""",
"=""3d10.34p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.713079""","=""""",
"=""3d10.35s""","=""2S""","=""1/2""",2,"=""""","=""7.71342""","=""""",
"=""3d10.35p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.713867""","=""""",
"=""3d10.36s""","=""2S""","=""1/2""",2,"=""""","=""7.71420""","=""""",
"=""3d10.36p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.714586""","=""""",
"=""3d10.37s""","=""2S""","=""1/2""",2,"=""""","=""7.71485""","=""""",
"=""3d10.37p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.715254""","=""""",
"=""3d10.38s""","=""2S""","=""1/2""",2,"=""""","=""7.71551""","=""""",
"=""3d10.38p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.715868""","=""""",
"=""3d10.39s""","=""2S""","=""1/2""",2,"=""""","=""7.71609""","=""""",
"=""3d10.39p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.716429""","=""""",
"=""3d10.40s""","=""2S""","=""1/2""",2,"=""""","=""7.71662""","=""""",
"=""3d10.40p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.716944""","=""""",
"=""3d10.41s""","=""2S""","=""1/2""",2,"=""""","=""7.71712""","=""""",
"=""3d10.41p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.717424""","=""""",
"=""3d10.42p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.717866""","=""""",
"=""3d10.43p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.718274""","=""""",
"=""3d10.44p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.718654""","=""""",
"=""3d10.45p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.719014""","=""""",
"=""3d10.46p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.719345""","=""""",
"=""3d10.47p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.719654""","=""""",
"=""3d10.48p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.719947""","=""""",
"=""3d10.49p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.720211""","=""""",
"=""3d10.50p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.720471""","=""""",
"=""3d10.51p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.720715""","=""""",
"=""3d10.52p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.72093""","=""""",
"=""3d10.53p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.72114""","=""""",
"=""3d10.54p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.72133""","=""""",
"=""3d10.55p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.72154""","=""""",
"=""3d10.56p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.72171""","=""""",
"=""3d10.57p""","=""2P*""","=""1/2,3/2""",6,"=""""","=""7.72187""","=""""",
"=""Cu II (3d10 1S<0>)""","=""Limit""","=""---""",,"=""""","=""7.726380""","=""""",
"=""3d9.4s.(3D).5s""","=""4D""","=""7/2""",8,"=""""","=""7.737027""","=""""",
"=""3d9.4s.(3D).5s""","=""4D""","=""5/2""",6,"=""""","=""7.804590""","=""""",
"=""3d9.4s.(3D).5s""","=""4D""","=""3/2""",4,"=""""","=""7.883492""","=""""",
"=""3d9.4s.(3D).5s""","=""4D""","=""1/2""",2,"=""""","=""7.993553""","=""""",
"=""3d9.4s.(3D).5s""","=""2D""","=""5/2""",6,"=""""","=""8.016523""","=""""",
"=""3d9.4s.(3D).5s""","=""2D""","=""3/2""",4,"=""""","=""8.091200""","=""""",
"=""3d9.4s.(1D).5s""","=""2D""","=""5/2""",6,"=""""","=""8.324631""","=""""",
"=""3d9.4s.(1D).5s""","=""2D""","=""3/2""",4,"=""""","=""8.427456""","=""""",
"=""3d9.4s.(3D).5p""","=""4P*""","=""3/2""",4,"=""""","=""8.71376""","=""""",
"=""3d9.4s.(3D).5p""","=""4F*""","=""7/2""",8,"=""""","=""8.720675""","=""""",
"=""3d9.4s.(3D).5p""","=""4F*""","=""5/2""",6,"=""""","=""8.730290""","=""""",
"=""3d9.4s.(3D).5p""","=""4D*""","=""7/2""",8,"=""""","=""8.733648""","=""""",
"=""3d9.4s.(3D).5p""","=""4D*""","=""5/2""",6,"=""""","=""8.74849""","=""""",
"=""3d9.4s.(3D).4d""","=""2P""","=""3/2""",4,"=""""","=""8.784698""","=""""",
"=""3d9.4s.(3D).4d""","=""2S""","=""1/2""",2,"=""""","=""8.78474""","=""""",
"=""3d9.4s.(3D).4d""","=""2G""","=""9/2""",10,"=""""","=""8.785458""","=""""",
