 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1  9  4  100   1 2s2             -1.15319E+01  0.00000E+00  1.0
      2  9  4  311   1 2s 2p           -1.06501E+01  8.81801E-01  9.0
      3  9  4  111   1 2s 2p           -9.81151E+00  1.72039E+00  3.0
      4  9  4  310   1 2p2             -9.23009E+00  2.30181E+00  9.0
      5  9  4  120   1 2p2             -9.01994E+00  2.51196E+00  5.0
      6  9  4  100   2 2p2             -8.38070E+00  3.15120E+00  1.0
      7  9  4  300   1 2s 3s           -4.73598E+00  6.79592E+00  3.0
      8  9  4  100   3 2s 3s           -4.57881E+00  6.95309E+00  1.0
      9  9  4  111   2 2s 3p           -4.36667E+00  7.16523E+00  3.0
     10  9  4  311   2 2s 3p           -4.34317E+00  7.18873E+00  9.0
     11  9  4  320   1 2s 3d           -4.14812E+00  7.38378E+00 15.0
     12  9  4  120   2 2s 3d           -4.00922E+00  7.52268E+00  5.0
     13  9  4  311   3 2p 3s           -3.60320E+00  7.92870E+00  9.0
     14  9  4  111   3 2p 3s           -3.46613E+00  8.06577E+00  3.0
     15  9  4  110   1 2p 3p           -3.38970E+00  8.14220E+00  3.0
     16  9  4  320   2 2p 3p           -3.33689E+00  8.19501E+00 15.0
     17  9  4  300   2 2p 3p           -3.26041E+00  8.27149E+00  3.0
     18  9  4  310   2 2p 3p           -3.19980E+00  8.33210E+00  9.0
     19  9  4  331   1 2p 3d           -3.16465E+00  8.36725E+00 21.0
     20  9  4  121   1 2p 3d           -3.15069E+00  8.38121E+00  5.0
     21  9  4  120   3 2p 3p           -3.11004E+00  8.42186E+00  5.0
     22  9  4  321   1 2p 3d           -3.03968E+00  8.49222E+00 15.0
     23  9  4  311   4 2p 3d           -2.99270E+00  8.53920E+00  9.0
     24  9  4  100   4 2p 3p           -2.94717E+00  8.58473E+00  1.0
     25  9  4  131   1 2p 3d           -2.91572E+00  8.61618E+00  7.0
     26  9  4  111   4 2p 3d           -2.85226E+00  8.67964E+00  3.0
     27  9  4  300   3 2s 4s           -2.52753E+00  9.00437E+00  3.0
     28  9  4  100   5 2s 4s           -2.45334E+00  9.07856E+00  1.0
     29  9  4  311   5 2s 4p           -2.37910E+00  9.15280E+00  9.0
     30  9  4  111   5 2s 4p           -2.36383E+00  9.16807E+00  3.0
     31  9  4  320   3 2s 4d           -2.30586E+00  9.22604E+00 15.0
     32  9  4  120   4 2s 4d           -2.25894E+00  9.27296E+00  5.0
     33  9  4  331   2 2s 4f           -2.25048E+00  9.28142E+00 21.0
     34  9  4  131   2 2s 4f           -2.23341E+00  9.29849E+00  7.0
     35  9  4  300   4 2s 5s           -1.58599E+00  9.94591E+00  3.0
     36  9  4  100   6 2s 5s           -1.56537E+00  9.96653E+00  1.0
     37  9  4  111   6 2s 5p           -1.53275E+00  9.99915E+00  3.0
     38  9  4  311   6 2s 5p           -1.51031E+00  1.00216E+01  9.0
     39  9  4  311   7 2p 4s           -1.47114E+00  1.00608E+01  9.0
     40  9  4  320   4 2s 5d           -1.46833E+00  1.00636E+01 15.0
     41  9  4  340   1 2s 5g           -1.44962E+00  1.00823E+01 27.0
     42  9  4  140   1 2s 5g           -1.44955E+00  1.00824E+01  9.0
     43  9  4  120   5 2s 5d           -1.44567E+00  1.00862E+01  5.0
     44  9  4  331   3 2s 5f           -1.44511E+00  1.00868E+01 21.0
     45  9  4  131   3 2s 5f           -1.44335E+00  1.00886E+01  7.0
     46  9  4  111   7 2p 4s           -1.41110E+00  1.01208E+01  3.0
     47  9  4  110   2 2p 4p           -1.38058E+00  1.01513E+01  3.0
     48  9  4  320   5 2p 4p           -1.36274E+00  1.01692E+01 15.0
     49  9  4  300   5 2p 4p           -1.32975E+00  1.02022E+01  3.0
     50  9  4  310   3 2p 4p           -1.31991E+00  1.02120E+01  9.0
     51  9  4  331   4 2p 4d           -1.29118E+00  1.02407E+01 21.0
     52  9  4  121   2 2p 4d           -1.29074E+00  1.02412E+01  5.0
     53  9  4  120   6 2p 4p           -1.28632E+00  1.02456E+01  5.0
     54  9  4  321   2 2p 4d           -1.25195E+00  1.02800E+01 15.0
     55  9  4  130   1 2p 4f           -1.24382E+00  1.02881E+01  7.0
     56  9  4  330   1 2p 4f           -1.24220E+00  1.02897E+01 21.0
     57  9  4  311   8 2p 4d           -1.23738E+00  1.02945E+01  9.0
     58  9  4  340   2 2p 4f           -1.22543E+00  1.03065E+01 27.0
     59  9  4  140   2 2p 4f           -1.21951E+00  1.03124E+01  9.0
