 <pre>
 ===============================================
  iCONF                 E(RYD)      TE(RYD)   gi
 ===============================================
  3d4(4)          -5.18345E+00  2.56380E-01  9.0
  3d4(4)          -5.07432E+00  3.65510E-01  9.0
  3d4(4)          -5.00937E+00  4.30460E-01  1.0
  3d4(4)          -4.98812E+00  4.51710E-01  5.0
  3d4(4)          -4.91507E+00  5.24760E-01  7.0
  3d4(2)          -4.81350E+00  6.26330E-01  9.0
  3d4(2)          -4.74082E+00  6.99010E-01  9.0
  3d4(2)          -4.49353E+00  9.46300E-01  5.0
  3d4(0)          -4.21480E+00  1.22503E+00  1.0
  3d3(2G3) 4s     -3.49458E+00  1.94525E+00  9.0
  3d3(4P3) 4s     -3.48258E+00  1.95725E+00  9.0
  3d3(2P3) 4s     -3.47165E+00  1.96818E+00  9.0
  3d3(2P3) 4s     -3.43402E+00  2.00581E+00  3.0
  3d3(2H3) 4s     -3.43272E+00  2.00711E+00 11.0
  3d3(2D3) 4s     -3.40595E+00  2.03388E+00  5.0
  3d3(2F3) 4s     -3.24315E+00  2.19668E+00  7.0
  3d3(2D1) 4s     -2.98470E+00  2.45513E+00  5.0
  3d3(4P3) 4p     -2.95817E+00  2.48166E+00  9.0
  3d3(2P3) 4p     -2.92262E+00  2.51721E+00  1.0
  3d3(2G3) 4p     -2.90897E+00  2.53086E+00  9.0
  3d3(2G3) 4p     -2.90280E+00  2.53703E+00 11.0
  3d3(2G3) 4p     -2.90030E+00  2.53953E+00  7.0
  3d3(2P3) 4p     -2.89875E+00  2.54108E+00  9.0
  3d3(2P3) 4p     -2.89565E+00  2.54418E+00  5.0
  3d3(4P3) 4p     -2.86975E+00  2.57008E+00  3.0
  3d3(2P3) 4p     -2.86777E+00  2.57206E+00  3.0
  3d3(2H3) 4p     -2.84265E+00  2.59718E+00 11.0
  3d3(2H3) 4p     -2.83155E+00  2.60828E+00  9.0
  3d3(2D3) 4p     -2.82402E+00  2.61581E+00  9.0
  3d3(2D3) 4p     -2.82395E+00  2.61588E+00  7.0
  3d3(2P3) 4p     -2.79855E+00  2.64128E+00  3.0
  3d3(2D3) 4p     -2.78728E+00  2.65255E+00  3.0
  3d3(2D3) 4p     -2.78547E+00  2.65436E+00  5.0
  3d3(2F3) 4p     -2.67092E+00  2.76891E+00  5.0
  3d3(2F3) 4p     -2.64720E+00  2.79263E+00  9.0
  3d3(2F3) 4p     -2.64435E+00  2.79548E+00  7.0
  3d3(2D1) 4p     -2.46861E+00  2.97122E+00  5.0
  3d3(2D1) 4p     -2.42157E+00  3.01826E+00  7.0
  3d3(2D1) 4p     -2.41964E+00  3.02019E+00  9.0
  3d3(2D1) 4p     -2.35885E+00  3.08098E+00  3.0
  3d3(4F3) 4d     -2.19520E+00  3.24463E+00  9.0
  3d3(2G3) 4d     -2.06196E+00  3.37787E+00  7.0
  3d3(2G3) 4d     -2.05524E+00  3.38459E+00 11.0
  3d3(2G3) 4d     -2.01683E+00  3.42300E+00  5.0
  3d3(2P3) 4d     -2.01517E+00  3.42466E+00  3.0
  3d3(2H3) 4d     -2.00169E+00  3.43814E+00 11.0
  3d3(2D3) 4d     -1.99673E+00  3.44310E+00  3.0
  3d3(2G3) 4d     -1.99486E+00  3.44497E+00  9.0
  3d3(4P3) 4d     -1.99161E+00  3.44822E+00  9.0
  3d3(2P3) 4d     -1.98967E+00  3.45016E+00  7.0
  3d3(2D3) 4d     -1.96884E+00  3.47099E+00  3.0
  3d3(2P3) 4d     -1.95358E+00  3.48625E+00  9.0
  3d3(2H3) 4d     -1.95015E+00  3.48968E+00  9.0
  3d3(2H3) 4d     -1.94760E+00  3.49223E+00  7.0
  3d3(2D3) 4d     -1.94570E+00  3.49413E+00  5.0
  3d3(2D3) 4d     -1.87279E+00  3.56704E+00  9.0
  3d3(2D3) 4d     -1.85787E+00  3.58196E+00  7.0
  3d3(2P3) 4d     -1.84904E+00  3.59079E+00  5.0
  3d3(2D3) 4d     -1.83792E+00  3.60191E+00  9.0
  3d3(2D3) 4d     -1.79407E+00  3.64576E+00  1.0
  3d3(2F3) 4d     -1.79086E+00  3.64897E+00  3.0
