 <pre>
 ===============================================
  iCONF                 E(RYD)      TE(RYD)   gi
 ===============================================
  3d3(3)          -7.17051E+00  0.00000E+00 28.0
  3d3(3)          -6.99802E+00  1.72490E-01 12.0
  3d3(3)          -6.97631E+00  1.94200E-01 18.0
  3d3(3)          -6.93873E+00  2.31780E-01  6.0
  3d3(3)          -6.92499E+00  2.45520E-01 10.0
  3d3(3)          -6.88971E+00  2.80800E-01 22.0
  3d3(3)          -6.73290E+00  4.37610E-01 14.0
  3d3(1)          -6.50758E+00  6.62930E-01 10.0
  3d2(3FE) 4s     -4.81851E+00  2.35200E+00 28.0
  3d2(3FE) 4s     -4.75569E+00  2.41482E+00 14.0
  3d2(1DE) 4s     -4.64925E+00  2.52126E+00 10.0
  3d2(3PE) 4s     -4.63604E+00  2.53447E+00 12.0
  3d2(3PE) 4s     -4.57782E+00  2.59269E+00  6.0
  3d2(1GE) 4s     -4.52720E+00  2.64331E+00 18.0
  3d2(1SE) 4s     -4.20783E+00  2.96268E+00  2.0
  3d2(3FE) 4p     -4.08533E+00  3.08518E+00 28.0
  3d2(3FE) 4p     -4.06402E+00  3.10649E+00 14.0
  3d2(3FE) 4p     -4.05667E+00  3.11384E+00 20.0
  3d2(3FE) 4p     -4.05047E+00  3.12004E+00 10.0
  3d2(3FE) 4p     -4.02153E+00  3.14898E+00 18.0
  3d2(3PE) 4p     -3.97636E+00  3.19415E+00  2.0
  3d2(3PE) 4p     -3.94625E+00  3.22426E+00  4.0
  3d2(1DE) 4p     -3.92777E+00  3.24274E+00  6.0
  3d2(1DE) 4p     -3.92601E+00  3.24450E+00 14.0
  3d2(3PE) 4p     -3.90516E+00  3.26535E+00 20.0
  3d2(1DE) 4p     -3.89821E+00  3.27230E+00 10.0
  3d2(3PE) 4p     -3.87016E+00  3.30035E+00 12.0
  3d2(1GE) 4p     -3.86448E+00  3.30603E+00 18.0
  3d2(3PE) 4p     -3.82885E+00  3.34166E+00 10.0
  3d2(1GE) 4p     -3.80245E+00  3.36806E+00 22.0
  3d2(3PE) 4p     -3.79391E+00  3.37660E+00  6.0
  3d2(1GE) 4p     -3.74604E+00  3.42447E+00 14.0
  3d2(1SE) 4p     -3.45981E+00  3.71070E+00  6.0
