 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 26 24  520   1 3d6(4)          -2.13710E+00  0.00000E+00 25.0
      2 26 24  350   1 3d6(4)          -1.94266E+00  1.94440E-01 33.0
      3 26 24  310   1 3d6(4)          -1.91534E+00  2.21760E-01  9.0
      4 26 24  330   1 3d6(4)          -1.91331E+00  2.23790E-01 21.0
      5 26 24  340   1 3d6(4)          -1.89529E+00  2.41810E-01 27.0
      6 26 24  700   1 3d5(6S5) 4s     -1.89148E+00  2.45620E-01  7.0
      7 26 24  160   1 3d6(4)          -1.84683E+00  2.90270E-01 13.0
      8 26 24  320   1 3d6(4)          -1.83100E+00  3.06100E-01 15.0
      9 26 24  140   1 3d6(4)          -1.82866E+00  3.08440E-01  9.0
     10 26 24  500   1 3d5(6S5) 4s     -1.79411E+00  3.42990E-01  5.0
     11 26 24  100   1 3d6(4)          -1.78196E+00  3.55140E-01  1.0
     12 26 24  120   1 3d6(4)          -1.75360E+00  3.83500E-01  5.0
     13 26 24  130   1 3d6(4)          -1.70251E+00  4.34590E-01  7.0
     14 26 24  330   2 3d6(2)          -1.63367E+00  5.03430E-01 21.0
     15 26 24  310   2 3d6(2)          -1.63067E+00  5.06430E-01  9.0
     16 26 24  540   1 3d5(4G5) 4s     -1.58167E+00  5.55430E-01 45.0
     17 26 24  140   2 3d6(2)          -1.56177E+00  5.75330E-01  9.0
     18 26 24  510   1 3d5(4P3) 4s     -1.55342E+00  5.83680E-01 15.0
     19 26 24  520   2 3d5(4D5) 4s     -1.52280E+00  6.14300E-01 25.0
     20 26 24  340   2 3d5(4G5) 4s     -1.51640E+00  6.20700E-01 27.0
     21 26 24  310   3 3d5(4P3) 4s     -1.48738E+00  6.49720E-01  9.0
     22 26 24  320   2 3d5(4D5) 4s     -1.45754E+00  6.79560E-01 15.0
     23 26 24  711   1 3d5(6S5) 4p     -1.44949E+00  6.87610E-01 21.0
     24 26 24  360   1 3d5(2I5) 4s     -1.42989E+00  7.07210E-01 39.0
     25 26 24  320   3 3d5(2D5) 4s     -1.40471E+00  7.32390E-01 15.0
     26 26 24  530   1 3d5(4F3) 4s     -1.39793E+00  7.39170E-01 35.0
     27 26 24  160   2 3d5(2I5) 4s     -1.39746E+00  7.39640E-01 13.0
     28 26 24  511   1 3d5(6S5) 4p     -1.38787E+00  7.49230E-01 15.0
     29 26 24  330   3 3d5(2F3) 4s     -1.38680E+00  7.50300E-01 21.0
     30 26 24  120   2 3d6(2)          -1.37452E+00  7.62580E-01  5.0
     31 26 24  120   3 3d5(2D5) 4s     -1.36458E+00  7.72520E-01  5.0
     32 26 24  130   2 3d5(2F3) 4s     -1.35411E+00  7.82990E-01  7.0
     33 26 24  350   2 3d5(2H3) 4s     -1.34688E+00  7.90220E-01 33.0
     34 26 24  340   3 3d5(2G5) 4s     -1.33653E+00  8.00570E-01 27.0
     35 26 24  330   4 3d5(4F3) 4s     -1.33291E+00  8.04190E-01 21.0
     36 26 24  150   1 3d5(2H3) 4s     -1.31454E+00  8.22560E-01 11.0
     37 26 24  330   5 3d5(2F5) 4s     -1.30417E+00  8.32930E-01 21.0
     38 26 24  140   3 3d5(2G5) 4s     -1.30328E+00  8.33820E-01  9.0
     39 26 24  130   3 3d5(2F5) 4s     -1.27162E+00  8.65480E-01  7.0
     40 26 24  300   1 3d5(2S5) 4s     -1.25531E+00  8.81790E-01  3.0
     41 26 24  100   2 3d6(0)          -1.22176E+00  9.15340E-01  1.0
     42 26 24  320   4 3d5(2D3) 4s     -1.18823E+00  9.48870E-01 15.0
     43 26 24  541   1 3d5(4G5) 4p     -1.15855E+00  9.78550E-01 45.0
     44 26 24  120   4 3d5(2D3) 4s     -1.15396E+00  9.83140E-01  5.0
     45 26 24  551   1 3d5(4G5) 4p     -1.14677E+00  9.90330E-01 55.0
     46 26 24  531   1 3d5(4G5) 4p     -1.13637E+00  1.00073E+00 35.0
     47 26 24  100   3 3d5(2D1) 4d     -1.13288E+00  1.00422E+00  1.0
     48 26 24  521   1 3d5(4P3) 4p     -1.13010E+00  1.00700E+00 25.0
     49 26 24  501   1 3d5(4P3) 4p     -1.12752E+00  1.00958E+00  5.0
     50 26 24  511   2 3d5(4P3) 4p     -1.12051E+00  1.01659E+00 15.0
     51 26 24  331   1 3d5(4G5) 4p     -1.11837E+00  1.01873E+00 21.0
     52 26 24  351   1 3d5(4G5) 4p     -1.11558E+00  1.02152E+00 33.0
     53 26 24  340   4 3d5(2G3) 4s     -1.10942E+00  1.02768E+00 27.0
     54 26 24  311   1 3d5(4P3) 4p     -1.10256E+00  1.03454E+00  9.0
     55 26 24  531   2 3d5(4D5) 4p     -1.09080E+00  1.04630E+00 35.0
     56 26 24  341   1 3d5(4G5) 4p     -1.08691E+00  1.05019E+00 27.0
     57 26 24  321   1 3d5(4P3) 4p     -1.07699E+00  1.06011E+00 15.0
     58 26 24  140   4 3d5(2G3) 4s     -1.07645E+00  1.06065E+00  9.0
     59 26 24  521   2 3d5(4D5) 4p     -1.07644E+00  1.06066E+00 25.0
     60 26 24  511   3 3d5(4D5) 4p     -1.06703E+00  1.07007E+00 15.0
     61 26 24  321   2 3d5(4D5) 4p     -1.06020E+00  1.07690E+00 15.0
     62 26 24  331   2 3d5(4D5) 4p     -1.05091E+00  1.08619E+00 21.0
     63 26 24  301   1 3d5(4P3) 4p     -1.04795E+00  1.08915E+00  3.0
     64 26 24  311   2 3d5(4D5) 4p     -1.02142E+00  1.11568E+00  9.0
     65 26 24  371   1 3d5(2I5) 4p     -1.00589E+00  1.13121E+00 45.0
     66 26 24  361   1 3d5(2I5) 4p     -1.00350E+00  1.13360E+00 39.0
     67 26 24  151   1 3d5(2I5) 4p     -9.94298E-01  1.14280E+00 11.0
     68 26 24  171   1 3d5(2I5) 4p     -9.91471E-01  1.14563E+00 15.0
     69 26 24  351   2 3d5(2I5) 4p     -9.89239E-01  1.14786E+00 33.0
     70 26 24  331   3 3d5(2D5) 4p     -9.87839E-01  1.14926E+00 21.0
     71 26 24  121   1 3d5(2D5) 4p     -9.86423E-01  1.15068E+00  5.0
     72 26 24  311   3 3d5(2D5) 4p     -9.71293E-01  1.16581E+00  9.0
     73 26 24  321   3 3d5(2D5) 4p     -9.65911E-01  1.17119E+00 15.0
     74 26 24  141   1 3d5(2F3) 4p     -9.61025E-01  1.17607E+00  9.0
     75 26 24  161   1 3d5(2I5) 4p     -9.59945E-01  1.17716E+00 13.0
     76 26 24  541   2 3d5(4F3) 4p     -9.59485E-01  1.17761E+00 45.0
     77 26 24  131   1 3d5(2D5) 4p     -9.59484E-01  1.17762E+00  7.0
     78 26 24  341   2 3d5(2F3) 4p     -9.58839E-01  1.17826E+00 27.0
     79 26 24  310   4 3d5(2P3) 4s     -9.55914E-01  1.18119E+00  9.0
     80 26 24  331   4 3d5(2F3) 4p     -9.55061E-01  1.18204E+00 21.0
     81 26 24  531   3 3d5(4F3) 4p     -9.50546E-01  1.18655E+00 35.0
     82 26 24  321   4 3d5(2F3) 4p     -9.49437E-01  1.18766E+00 15.0
     83 26 24  111   1 3d5(2D5) 4p     -9.42733E-01  1.19437E+00  3.0
     84 26 24  521   3 3d5(4F3) 4p     -9.41569E-01  1.19553E+00 25.0
     85 26 24  351   3 3d5(2H3) 4p:    -9.36718E-01  1.20038E+00 33.0
     86 26 24  341   3 3d5(2H3) 4p     -9.36617E-01  1.20048E+00 27.0
