 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 26 23  600   1 3d5(5)          -3.96069E+00  0.00000E+00  6.0
      2 26 23  440   1 3d5(5)          -3.64011E+00  3.20580E-01 36.0
      3 26 23  410   1 3d5(3)          -3.58549E+00  3.75200E-01 12.0
      4 26 23  420   1 3d5(5)          -3.56341E+00  3.97280E-01 20.0
      5 26 23  260   1 3d5(5)          -3.50204E+00  4.58650E-01 26.0
      6 26 23  220   1 3d5(5)          -3.43429E+00  5.26400E-01 10.0
      7 26 23  430   1 3d5(3)          -3.42632E+00  5.34370E-01 28.0
      8 26 23  230   1 3d5(3)          -3.42470E+00  5.35990E-01 14.0
      9 26 23  250   1 3d5(3)          -3.39455E+00  5.66140E-01 22.0
     10 26 23  240   1 3d5(5)          -3.38135E+00  5.79340E-01 18.0
     11 26 23  230   2 3d5(5)          -3.33754E+00  6.23150E-01 14.0
     12 26 23  200   1 3d5(5)          -3.27170E+00  6.88990E-01  2.0
     13 26 23  220   2 3d5(3)          -3.19871E+00  7.61980E-01 10.0
     14 26 23  240   2 3d5(3)          -3.12545E+00  8.35240E-01 18.0
     15 26 23  210   1 3d5(3)          -2.94101E+00  1.01968E+00  6.0
     16 26 23  220   3 3d5(1)          -2.85699E+00  1.10370E+00 10.0
     17 26 23  620   1 3d4(5D4) 4s     -2.77361E+00  1.18708E+00 30.0
     18 26 23  420   2 3d4(5D4) 4s     -2.68538E+00  1.27531E+00 20.0
     19 26 23  410   2 3d4(3P4) 4s     -2.53137E+00  1.42932E+00 12.0
     20 26 23  450   1 3d4(3H4) 4s     -2.53129E+00  1.42940E+00 44.0
     21 26 23  430   2 3d4(3F4) 4s     -2.51606E+00  1.44463E+00 28.0
     22 26 23  440   2 3d4(3G4) 4s     -2.48781E+00  1.47288E+00 36.0
     23 26 23  210   2 3d4(3P4) 4s     -2.47727E+00  1.48342E+00  6.0
     24 26 23  250   2 3d4(3H4) 4s     -2.47708E+00  1.48361E+00 22.0
     25 26 23  230   3 3d4(3F4) 4s     -2.46316E+00  1.49753E+00 14.0
     26 26 23  240   3 3d4(3G4) 4s     -2.43349E+00  1.52720E+00 18.0
     27 26 23  420   3 3d4(3D4) 4s     -2.42780E+00  1.53289E+00 20.0
     28 26 23  240   4 3d4(1G4) 4s     -2.40883E+00  1.55186E+00 18.0
     29 26 23  260   2 3d4(1I4) 4s     -2.40112E+00  1.55957E+00 26.0
     30 26 23  200   2 3d4(1S4) 4s     -2.38163E+00  1.57906E+00  2.0
     31 26 23  220   4 3d4(3D4) 4s     -2.37606E+00  1.58463E+00 10.0
