 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 26 22  520   1 3d4(4)          -5.43983E+00  0.00000E+00 25.0
      2 26 22  350   1 3d4(4)          -5.21230E+00  2.27530E-01 33.0
      3 26 22  310   1 3d4(4)          -5.18345E+00  2.56380E-01  9.0
      4 26 22  330   1 3d4(4)          -5.17597E+00  2.63860E-01 21.0
      5 26 22  340   1 3d4(4)          -5.15102E+00  2.88810E-01 27.0
      6 26 22  140   1 3d4(4)          -5.07432E+00  3.65510E-01  9.0
      7 26 22  320   1 3d4(4)          -5.06410E+00  3.75730E-01 15.0
      8 26 22  100   1 3d4(4)          -5.00937E+00  4.30460E-01  1.0
      9 26 22  120   1 3d4(4)          -4.98812E+00  4.51710E-01  5.0
     10 26 22  130   1 3d4(4)          -4.91507E+00  5.24760E-01  7.0
     11 26 22  330   2 3d4(2)          -4.82330E+00  6.16530E-01 21.0
     12 26 22  310   2 3d4(2)          -4.81350E+00  6.26330E-01  9.0
     13 26 22  140   2 3d4(2)          -4.74082E+00  6.99010E-01  9.0
     14 26 22  120   2 3d4(2)          -4.49353E+00  9.46300E-01  5.0
     15 26 22  100   2 3d4(0)          -4.21480E+00  1.22503E+00  1.0
     16 26 22  530   1 3d3(4F3) 4s     -3.75315E+00  1.68668E+00 35.0
     17 26 22  330   3 3d3(4F3) 4s     -3.67365E+00  1.76618E+00 21.0
     18 26 22  510   1 3d3(4P3) 4s     -3.55877E+00  1.88106E+00 15.0
     19 26 22  340   2 3d3(2G3) 4s     -3.53537E+00  1.90446E+00 27.0
     20 26 22  140   3 3d3(2G3) 4s     -3.49458E+00  1.94525E+00  9.0
     21 26 22  310   3 3d3(4P3) 4s     -3.48258E+00  1.95725E+00  9.0
     22 26 22  350   2 3d3(2H3) 4s     -3.47332E+00  1.96651E+00 33.0
     23 26 22  310   4 3d3(2P3) 4s     -3.47165E+00  1.96818E+00  9.0
     24 26 22  320   2 3d3(2D3) 4s     -3.44588E+00  1.99395E+00 15.0
     25 26 22  110   1 3d3(2P3) 4s     -3.43402E+00  2.00581E+00  3.0
     26 26 22  150   1 3d3(2H3) 4s     -3.43272E+00  2.00711E+00 11.0
     27 26 22  120   3 3d3(2D3) 4s     -3.40595E+00  2.03388E+00  5.0
     28 26 22  330   4 3d3(2F3) 4s     -3.27962E+00  2.16021E+00 21.0
     29 26 22  130   2 3d3(2F3) 4s     -3.24315E+00  2.19668E+00  7.0
     30 26 22  541   1 3d3(4F3) 4p     -3.13538E+00  2.30445E+00 45.0
     31 26 22  521   1 3d3(4F3) 4p     -3.11037E+00  2.32946E+00 25.0
     32 26 22  321   1 3d3(4F3) 4p     -3.10203E+00  2.33780E+00 15.0
     33 26 22  531   1 3d3(4F3) 4p     -3.09915E+00  2.34068E+00 35.0
     34 26 22  341   1 3d3(4F3) 4p     -3.07080E+00  2.36903E+00 27.0
     35 26 22  331   1 3d3(4F3) 4p     -3.04213E+00  2.39770E+00 21.0
     36 26 22  320   3 3d3(2D1) 4s     -3.02145E+00  2.41838E+00 15.0
     37 26 22  120   4 3d3(2D1) 4s     -2.98470E+00  2.45513E+00  5.0
     38 26 22  511   1 3d3(4P3) 4p     -2.97400E+00  2.46583E+00 15.0
     39 26 22  311   1 3d3(4P3) 4p     -2.95817E+00  2.48166E+00  9.0
     40 26 22  521   2 3d3(4P3) 4p     -2.94763E+00  2.49220E+00 25.0
     41 26 22  351   1 3d3(2G3) 4p     -2.94587E+00  2.49396E+00 33.0
     42 26 22  341   2 3d3(2G3) 4p     -2.92868E+00  2.51115E+00 27.0
     43 26 22  101   1 3d3(2P3) 4p     -2.92262E+00  2.51721E+00  1.0
     44 26 22  331   2 3d3(2G3) 4p     -2.91130E+00  2.52853E+00 21.0
     45 26 22  141   1 3d3(2G3) 4p     -2.90897E+00  2.53086E+00  9.0
     46 26 22  151   1 3d3(2G3) 4p     -2.90280E+00  2.53703E+00 11.0
     47 26 22  131   1 3d3(2G3) 4p     -2.90030E+00  2.53953E+00  7.0
     48 26 22  311   2 3d3(2P3) 4p     -2.89875E+00  2.54108E+00  9.0
     49 26 22  121   1 3d3(2P3) 4p     -2.89565E+00  2.54418E+00  5.0
     50 26 22  501   1 3d3(4P3) 4p     -2.89337E+00  2.54646E+00  5.0
     51 26 22  351   2 3d3(2H3) 4p     -2.88290E+00  2.55693E+00 33.0
     52 26 22  321   2 3d3(4P3) 4p     -2.88288E+00  2.55695E+00 15.0
     53 26 22  301   1 3d3(4P3) 4p     -2.86975E+00  2.57008E+00  3.0
     54 26 22  111   1 3d3(2P3) 4p     -2.86777E+00  2.57206E+00  3.0
     55 26 22  321   3 3d3(2P3) 4p     -2.86763E+00  2.57220E+00 15.0
     56 26 22  331   3 3d3(2D3) 4p     -2.85755E+00  2.58228E+00 21.0
     57 26 22  151   2 3d3(2H3) 4p     -2.84265E+00  2.59718E+00 11.0
     58 26 22  321   4 3d3(2D3) 4p     -2.83275E+00  2.60708E+00 15.0
     59 26 22  141   2 3d3(2H3) 4p     -2.83155E+00  2.60828E+00  9.0
     60 26 22  311   3 3d3(2D3) 4p     -2.82402E+00  2.61581E+00  9.0
     61 26 22  131   2 3d3(2D3) 4p     -2.82395E+00  2.61588E+00  7.0
     62 26 22  341   3 3d3(2H3) 4p     -2.81167E+00  2.62816E+00 27.0
     63 26 22  301   2 3d3(2P3) 4p     -2.79855E+00  2.64128E+00  3.0
     64 26 22  111   2 3d3(2D3) 4p     -2.78728E+00  2.65255E+00  3.0
     65 26 22  121   2 3d3(2D3) 4p     -2.78547E+00  2.65436E+00  5.0
     66 26 22  331   4 3d3(2F3) 4p     -2.71392E+00  2.72591E+00 21.0
     67 26 22  341   4 3d3(2F3) 4p     -2.68335E+00  2.75648E+00 27.0
     68 26 22  121   3 3d3(2F3) 4p     -2.67092E+00  2.76891E+00  5.0
     69 26 22  321   5 3d3(2F3) 4p     -2.66905E+00  2.77078E+00 15.0
     70 26 22  141   3 3d3(2F3) 4p     -2.64720E+00  2.79263E+00  9.0
     71 26 22  131   3 3d3(2F3) 4p     -2.64435E+00  2.79548E+00  7.0
     72 26 22  321   6 3d3(2D1) 4p     -2.48867E+00  2.95116E+00 15.0
     73 26 22  121   4 3d3(2D1) 4p     -2.46861E+00  2.97122E+00  5.0
     74 26 22  331   5 3d3(2D1) 4p     -2.45449E+00  2.98534E+00 21.0
     75 26 22  131   4 3d3(2D1) 4p     -2.42157E+00  3.01826E+00  7.0
     76 26 22  311   4 3d3(2D1) 4p     -2.41964E+00  3.02019E+00  9.0
     77 26 22  111   3 3d3(2D1) 4p     -2.35885E+00  3.08098E+00  3.0
     78 26 22  550   1 3d3(4F3) 4d     -2.26365E+00  3.17618E+00 55.0
     79 26 22  510   2 3d3(4F3) 4d     -2.25877E+00  3.18106E+00 15.0
     80 26 22  320   4 3d3(4F3) 4d     -2.25070E+00  3.18913E+00 15.0
     81 26 22  530   2 3d3(4F3) 4d     -2.24985E+00  3.18998E+00 35.0
     82 26 22  540   1 3d3(4F3) 4d     -2.24192E+00  3.19791E+00 45.0
     83 26 22  310   5 3d3(4F3) 4d     -2.19520E+00  3.24463E+00  9.0
     84 26 22  350   3 3d3(4F3) 4d     -2.19501E+00  3.24482E+00 33.0
     85 26 22  340   3 3d3(4F3) 4d     -2.18675E+00  3.25308E+00 27.0
     86 26 22  330   5 3d3(4F3) 4d     -2.17904E+00  3.26079E+00 21.0
     87 26 22  520   2 3d3(4F3) 4d     -2.15383E+00  3.28600E+00 25.0
     88 26 22  320   5 3d3(4P3) 4d     -2.06200E+00  3.37783E+00 15.0
     89 26 22  130   3 3d3(2G3) 4d     -2.06196E+00  3.37787E+00  7.0
     90 26 22  530   3 3d3(4P3) 4d     -2.06061E+00  3.37922E+00 35.0
     91 26 22  150   2 3d3(2G3) 4d     -2.05524E+00  3.38459E+00 11.0
     92 26 22  340   4 3d3(2G3) 4d     -2.05388E+00  3.38595E+00 27.0
     93 26 22  350   4 3d3(2G3) 4d     -2.04360E+00  3.39623E+00 33.0
