 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 26 21  430   1 3d3(3)          -7.17051E+00  0.00000E+00 28.0
      2 26 21  410   1 3d3(3)          -6.99802E+00  1.72490E-01 12.0
      3 26 21  240   1 3d3(3)          -6.97631E+00  1.94200E-01 18.0
      4 26 21  210   1 3d3(3)          -6.93873E+00  2.31780E-01  6.0
      5 26 21  220   1 3d3(3)          -6.92499E+00  2.45520E-01 10.0
      6 26 21  250   1 3d3(3)          -6.88971E+00  2.80800E-01 22.0
      7 26 21  230   1 3d3(3)          -6.73290E+00  4.37610E-01 14.0
      8 26 21  220   2 3d3(1)          -6.50758E+00  6.62930E-01 10.0
      9 26 21  430   2 3d2(3FE) 4s     -4.81851E+00  2.35200E+00 28.0
     10 26 21  230   2 3d2(3FE) 4s     -4.75569E+00  2.41482E+00 14.0
     11 26 21  220   3 3d2(1DE) 4s     -4.64925E+00  2.52126E+00 10.0
     12 26 21  410   2 3d2(3PE) 4s     -4.63604E+00  2.53447E+00 12.0
     13 26 21  210   2 3d2(3PE) 4s     -4.57782E+00  2.59269E+00  6.0
     14 26 21  240   2 3d2(1GE) 4s     -4.52720E+00  2.64331E+00 18.0
     15 26 21  200   1 3d2(1SE) 4s     -4.20783E+00  2.96268E+00  2.0
     16 26 21  441   1 3d2(3FE) 4p     -4.09220E+00  3.07831E+00 36.0
     17 26 21  431   1 3d2(3FE) 4p     -4.08533E+00  3.08518E+00 28.0
     18 26 21  231   1 3d2(3FE) 4p     -4.06402E+00  3.10649E+00 14.0
     19 26 21  421   1 3d2(3FE) 4p     -4.05667E+00  3.11384E+00 20.0
     20 26 21  221   1 3d2(3FE) 4p     -4.05047E+00  3.12004E+00 10.0
     21 26 21  241   1 3d2(3FE) 4p     -4.02153E+00  3.14898E+00 18.0
     22 26 21  201   1 3d2(3PE) 4p     -3.97636E+00  3.19415E+00  2.0
     23 26 21  401   1 3d2(3PE) 4p     -3.94625E+00  3.22426E+00  4.0
     24 26 21  211   1 3d2(1DE) 4p     -3.92777E+00  3.24274E+00  6.0
     25 26 21  231   2 3d2(1DE) 4p     -3.92601E+00  3.24450E+00 14.0
     26 26 21  421   2 3d2(3PE) 4p     -3.90516E+00  3.26535E+00 20.0
     27 26 21  221   2 3d2(1DE) 4p     -3.89821E+00  3.27230E+00 10.0
     28 26 21  411   1 3d2(3PE) 4p     -3.87016E+00  3.30035E+00 12.0
     29 26 21  241   2 3d2(1GE) 4p     -3.86448E+00  3.30603E+00 18.0
     30 26 21  221   3 3d2(3PE) 4p     -3.82885E+00  3.34166E+00 10.0
     31 26 21  251   1 3d2(1GE) 4p     -3.80245E+00  3.36806E+00 22.0
     32 26 21  211   2 3d2(3PE) 4p     -3.79391E+00  3.37660E+00  6.0
     33 26 21  231   3 3d2(1GE) 4p     -3.74604E+00  3.42447E+00 14.0
     34 26 21  211   3 3d2(1SE) 4p     -3.45981E+00  3.71070E+00  6.0
     35 26 21  421   3 3p5 3d4(3F4)    -3.22154E+00  3.94897E+00 20.0
     36 26 21  431   2 3p5 3d4(3G4)    -3.13087E+00  4.03964E+00 28.0
     37 26 21  440   1 3d2(3FE) 4d     -3.11380E+00  4.05671E+00 36.0
     38 26 21  230   3 3d2(3FE) 4d     -3.11304E+00  4.05747E+00 14.0
     39 26 21  450   1 3d2(3FE) 4d     -3.10377E+00  4.06674E+00 44.0
     40 26 21  420   1 3d2(3FE) 4d     -3.09922E+00  4.07129E+00 20.0
     41 26 21  411   2 3p5 3d4(3D4)    -3.07947E+00  4.09104E+00 12.0
     42 26 21  210   3 3d2(3FE) 4d     -3.06821E+00  4.10230E+00  6.0
     43 26 21  401   2 3p5 3d4(3P4)    -3.04869E+00  4.12182E+00  4.0
     44 26 21  240   3 3d2(3FE) 4d     -3.04349E+00  4.12702E+00 18.0
     45 26 21  410   3 3d2(3FE) 4d     -3.04286E+00  4.12765E+00 12.0
     46 26 21  441   2 3p5 3d4(3F4)    -3.03985E+00  4.13066E+00 36.0
     47 26 21  220   4 3d2(3FE) 4d     -3.02363E+00  4.14688E+00 10.0
     48 26 21  250   2 3d2(3FE) 4d     -3.01754E+00  4.15297E+00 22.0
     49 26 21  451   1 3p5 3d4(3H4)    -3.01439E+00  4.15612E+00 44.0
     50 26 21  241   3 3p5 3d4(3H4):   -3.01231E+00  4.15820E+00 18.0
     51 26 21  431   3 3p5 3d4(5D4)    -2.98334E+00  4.18717E+00 28.0
     52 26 21  430   3 3d2(3FE) 4d     -2.98103E+00  4.18948E+00 28.0
     53 26 21  411   3 3p5 3d4(3P4)    -2.97330E+00  4.19721E+00 12.0
     54 26 21  200   2 3d2(1DE) 4d     -2.94577E+00  4.22474E+00  2.0
     55 26 21  210   4 3d2(3PE) 4d     -2.94564E+00  4.22487E+00  6.0
     56 26 21  230   4 3d2(1DE) 4d     -2.93880E+00  4.23171E+00 14.0
     57 26 21  441   3 3p5 3d4(3G4)    -2.93800E+00  4.23251E+00 36.0
     58 26 21  231   4 3p5 3d4(3F2):   -2.93311E+00  4.23740E+00 14.0
     59 26 21  421   4 3p5 3d4(3P4)    -2.93284E+00  4.23767E+00 20.0
     60 26 21  240   4 3d2(1DE) 4d     -2.89545E+00  4.27506E+00 18.0
     61 26 21  420   2 3d2(3PE) 4d     -2.89126E+00  4.27925E+00 20.0
     62 26 21  430   4 3d2(3PE) 4d     -2.88115E+00  4.28936E+00 28.0
     63 26 21  230   5 3d2(3PE) 4d     -2.87714E+00  4.29337E+00 14.0
     64 26 21  221   4 3p5 3d4(3P4):   -2.87110E+00  4.29941E+00 10.0
     65 26 21  251   2 3p5 3d4(3G4)    -2.86923E+00  4.30128E+00 22.0
     66 26 21  211   4 3p5 3d4(1S4):   -2.86784E+00  4.30267E+00  6.0
     67 26 21  220   5 3d2(3PE) 4d     -2.85028E+00  4.32023E+00 10.0
     68 26 21  410   4 3d2(3PE) 4d     -2.80766E+00  4.36285E+00 12.0
     69 26 21  220   6 3d2(1DE) 4d     -2.80617E+00  4.36434E+00 10.0
     70 26 21  451   2 3p5 3d4(3G4)    -2.80394E+00  4.36657E+00 44.0
     71 26 21  240   5 3d2(1GE) 4d     -2.78448E+00  4.38603E+00 18.0
     72 26 21  210   5 3d2(1DE) 4d     -2.78338E+00  4.38713E+00  6.0
     73 26 21  211   5 3p5 3d4(3D4):   -2.75947E+00  4.41104E+00  6.0
     74 26 21  250   3 3d2(1GE) 4d     -2.74966E+00  4.42085E+00 22.0
     75 26 21  421   5 3p5 3d4(3P2)    -2.73953E+00  4.43098E+00 20.0
     76 26 21  221   5 3p5 3d4(3D4)    -2.70908E+00  4.46143E+00 10.0
     77 26 21  231   5 3p5 3d4(1D4)    -2.70850E+00  4.46201E+00 14.0
     78 26 21  230   6 3d2(1GE) 4d     -2.68362E+00  4.48689E+00 14.0
     79 26 21  220   7 3d2(1GE) 4d     -2.65577E+00  4.51474E+00 10.0
     80 26 21  241   4 3p5 3d4(1F4)    -2.65375E+00  4.51676E+00 18.0
     81 26 21  431   4 3p5 3d4(3D4)    -2.64605E+00  4.52446E+00 28.0
     82 26 21  251   3 3p5 3d4(1G4)    -2.64521E+00  4.52530E+00 22.0
