Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3p6.3d9""","=""2D""","=""5/2""",6,"=""""","=""0.0000""","=""""",
"=""3p6.3d9""","=""2D""","=""3/2""",4,"=""""","=""0.565""","=""""",
"=""3p6.3d8.(3F).4s""","=""4F""","=""9/2""",10,"=""""","=""37.65353""","=""""",
"=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""",8,"=""""","=""37.96934""","=""""",
"=""3p6.3d8.(3F).4s""","=""4F""","=""5/2""",6,"=""""","=""38.26862""","=""""",
"=""3p6.3d8.(3F).4s""","=""4F""","=""3/2""",4,"=""""","=""38.45979""","=""""",
"=""3p6.3d8.(3F).4s""","=""2F""","=""7/2""",8,"=""""","=""38.81010""","=""""",
"=""3p6.3d8.(3F).4s""","=""2F""","=""5/2""",6,"=""""","=""39.29516""","=""""",
"=""3p6.3d8.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""40.60952""","=""""",
"=""3p6.3d8.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""40.79993""","=""""",
"=""3p6.3d8.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""41.20945""","=""""",
"=""3p6.3d8.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""41.22437""","=""""",
"=""3p6.3d8.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""41.29103""","=""""",
"=""3p6.3d8.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""42.07222""","=""""",
"=""3p6.3d8.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""42.21976""","=""""",
"=""3p6.3d8.(1G).4s""","=""2G""","=""9/2""",10,"=""""","=""42.60400""","=""""",
"=""3p6.3d8.(1G).4s""","=""2G""","=""7/2""",8,"=""""","=""42.61015""","=""""",
"=""3p6.3d8.(1S).4s""","=""2S""","=""1/2""",2,"=""""","=""48.50054""","=""""",
"=""3p6.3d8.(3F).4p""","=""4D*""","=""7/2""",8,"=""""","=""50.20025""","=""""",
"=""3p6.3d8.(3F).4p""","=""4D*""","=""5/2""",6,"=""""","=""50.70719""","=""""",
"=""3p6.3d8.(3F).4p""","=""4G*""","=""9/2""",10,"=""""","=""50.73290""","=""""",
