 4s2.4p6                  1S           1    0.00000000   ASD
 4s2.4p5.(2Po<3/2>).5s    3/2[3/2]o    5    9.91523008   ASD
 4s2.4p5.(2Po<3/2>).5s    3/2[3/2]o    3   10.03239829   ASD
 4s2.4p5.(2Po<1/2>).5s    1/2[1/2]o    1   10.56241208   ASD
 4s2.4p5.(2Po<1/2>).5s    1/2[1/2]o    3   10.64363251   ASD
 4s2.4p5.(2Po<3/2>).5p    3/2[1/2]     3   11.30345314   ASD
 4s2.4p5.(2Po<3/2>).5p    3/2[5/2]     7   11.44304526   ASD
 4s2.4p5.(2Po<3/2>).5p    3/2[5/2]     5   11.44465428   ASD
 4s2.4p5.(2Po<3/2>).5p    3/2[3/2]     3   11.52611383   ASD
 4s2.4p5.(2Po<3/2>).5p    3/2[3/2]     5   11.54582070   ASD
 4s2.4p5.(2Po<3/2>).5p    3/2[1/2]     1   11.66602609   ASD
 4s2.4p5.(2Po<3/2>).4d    3/2[1/2]o    1   11.99813419   ASD
 4s2.4p5.(2Po<3/2>).4d    3/2[1/2]o    3   12.03702800   ASD
 4s2.4p5.(2Po<1/2>).5p    1/2[3/2]     3   12.10034926   ASD
 4s2.4p5.(2Po<3/2>).4d    3/2[3/2]o    5   12.11173914   ASD
 4s2.4p5.(2Po<3/2>).4d    3/2[7/2]o    9   12.12531635   ASD
 4s2.4p5.(2Po<1/2>).5p    1/2[1/2]     3   12.14042484   ASD
 4s2.4p5.(2Po<1/2>).5p    1/2[3/2]     5   12.14365087   ASD
 4s2.4p5.(2Po<3/2>).4d    3/2[7/2]o    7   12.17850327   ASD
 4s2.4p5.(2Po<1/2>).5p    1/2[1/2]     1   12.25646451   ASD
 4s2.4p5.(2Po<3/2>).4d    3/2[5/2]o    5   12.25799709   ASD
 4s2.4p5.(2Po<3/2>).4d    3/2[5/2]o    7   12.28427400   ASD
 4s2.4p5.(2Po<3/2>).6s    3/2[3/2]o    5   12.35215701   ASD
 4s2.4p5.(2Po<3/2>).4d    3/2[3/2]o    3   12.35455381   ASD
 4s2.4p5.(2Po<3/2>).6s    3/2[3/2]o    3   12.38528123   ASD
 4s2.4p5.(2Po<3/2>).6p    3/2[1/2]     3   12.75638420   ASD
 4s2.4p5.(2Po<3/2>).6p    3/2[5/2]     7   12.78470724   ASD
 4s2.4p5.(2Po<3/2>).6p    3/2[5/2]     5   12.78539010   ASD
 4s2.4p5.(2Po<1/2>).4d    1/2[3/2]o    5   12.80339227   ASD
 4s2.4p5.(2Po<3/2>).6p    3/2[3/2]     3   12.80923607   ASD
 4s2.4p5.(2Po<3/2>).6p    3/2[3/2]     5   12.81532862   ASD
 4s2.4p5.(2Po<1/2>).4d    1/2[5/2]o    5   12.82525709   ASD
 4s2.4p5.(2Po<1/2>).4d    1/2[5/2]o    7   12.85733778   ASD
 4s2.4p5.(2Po<3/2>).6p    3/2[1/2]     1   12.86480095   ASD
 4s2.4p5.(2Po<3/2>).5d    3/2[1/2]o    3   12.86978018   ASD
 4s2.4p5.(2Po<3/2>).5d    3/2[1/2]o    1   12.90346397   ASD
 4s2.4p5.(2Po<3/2>).5d    3/2[7/2]o    9   12.972535     ASD
 4s2.4p5.(2Po<1/2>).4d    1/2[3/2]o    3   13.00436768   ASD
 4s2.4p5.(2Po<3/2>).5d    3/2[7/2]o    7   13.00798367   ASD
 4s2.4p5.(2Po<3/2>).5d    3/2[3/2]o    5   13.01923712   ASD
 4s2.4p5.(2Po<1/2>).6s    1/2[1/2]o    1   13.029664     ASD
 4s2.4p5.(2Po<1/2>).6s    1/2[1/2]o    3   13.036481     ASD
 4s2.4p5.(2Po<3/2>).5d    3/2[5/2]o    5   13.03861017   ASD
 4s2.4p5.(2Po<3/2>).5d    3/2[5/2]o    7   13.04418656   ASD
 4s2.4p5.(2Po<3/2>).7s    3/2[3/2]o    5   13.09861284   ASD
 4s2.4p5.(2Po<3/2>).5d    3/2[3/2]o    3   13.09873440   ASD
 4s2.4p5.(2Po<3/2>).7s    3/2[3/2]o    3   13.11389353   ASD
 4s2.4p5.(2Po<3/2>).4f    3/2[3/2]     3   13.13791489   ASD
 4s2.4p5.(2Po<3/2>).4f    3/2[3/2]     5   13.13805330   ASD
 4s2.4p5.(2Po<1/2>).4f    1/2[9/2]    11   13.140935     ASD
 4s2.4p5.(2Po<3/2>).4f    3/2[5/2]     7   13.14490720   ASD
 4s2.4p5.(2Po<3/2>).4f    3/2[5/2]     5   13.14500194   ASD
 4s2.4p5.(2Po<3/2>).4f    3/2[7/2]     7   13.148198     ASD
 4s2.4p5.(2Po<3/2>).4f    3/2[7/2]     9   13.148198     ASD
 4s2.4p5.(2Po<3/2>).7p    3/2[1/2]     3   13.26697321   ASD
 4s2.4p5.(2Po<3/2>).7p    3/2[5/2]     5   13.28376421   ASD
 4s2.4p5.(2Po<3/2>).7p    3/2[5/2]     7   13.28381022   ASD
 4s2.4p5.(2Po<3/2>).7p    3/2[3/2]     3   13.29374907   ASD
 4s2.4p5.(2Po<3/2>).7p    3/2[3/2]     5   13.29689259   ASD
 4s2.4p5.(2Po<3/2>).7p    3/2[1/2]     1   13.31718778   ASD
 4s2.4p5.(2Po<3/2>).6d    3/2[1/2]o    1   13.34114378   ASD
 4s2.4p5.(2Po<3/2>).6d    3/2[1/2]o    3   13.35013911   ASD
 4s2.4p5.(2Po<3/2>).6d    3/2[7/2]o    9   13.36287811   ASD
 4s2.4p5.(2Po<3/2>).6d    3/2[3/2]o    5   13.36510773   ASD
 4s2.4p5.(2Po<3/2>).6d    3/2[7/2]o    7   13.37503007   ASD
 4s2.4p5.(2Po<3/2>).6d    3/2[5/2]o    5   13.38939717   ASD
 4s2.4p5.(2Po<3/2>).6d    3/2[5/2]o    7   13.39603327   ASD
 4s2.4p5.(2Po<3/2>).6d    3/2[3/2]o    3   13.42237305   ASD
 4s2.4p5.(2Po<3/2>).8s    3/2[3/2]o    5   13.43058418   ASD
 4s2.4p5.(2Po<3/2>).8s    3/2[3/2]o    3   13.43654281   ASD
 4s2.4p5.(2Po<1/2>).6p    1/2[3/2]     3   13.44462881   ASD
 4s2.4p5.(2Po<3/2>).5f    3/2[3/2]     5   13.44870380   ASD
 4s2.4p5.(2Po<3/2>).5f    3/2[3/2]     3   13.44989698   ASD
 4s2.4p5.(2Po<3/2>).5f    3/2[9/2]    11   13.45066480   ASD
 4s2.4p5.(2Po<3/2>).5f    3/2[9/2]     9   13.45068153   ASD
 4s2.4p5.(2Po<3/2>).5f    3/2[5/2]     7   13.45268494   ASD
 4s2.4p5.(2Po<3/2>).5f    3/2[5/2]     5   13.45276351   ASD
 4s2.4p5.(2Po<1/2>).6p    1/2[1/2]     3   13.45404195   ASD
 4s2.4p5.(2Po<3/2>).5f    3/2[7/2]     7   13.454396     ASD
 4s2.4p5.(2Po<3/2>).5f    3/2[7/2]     9   13.454396     ASD
 4s2.4p5.(2Po<1/2>).6p    1/2[3/2]     5   13.46068594   ASD
 4s2.4p5.(2Po<1/2>).6p    1/2[1/2]     1   13.49215299   ASD
 4s2.4p5.(2Po<3/2>).8p    3/2[1/2]     3   13.52453774   ASD
 4s2.4p5.(2Po<3/2>).8p    3/2[5/2]     7   13.52708347   ASD
 4s2.4p5.(2Po<3/2>).8p    3/2[5/2]     5   13.527391     ASD
 4s2.4p5.(2Po<3/2>).8p    3/2[3/2]     3   13.53283531   ASD
 4s2.4p5.(2Po<3/2>).8p    3/2[3/2]     5   13.53423171   ASD
 4s2.4p5.(2Po<3/2>).8p    3/2[1/2]     1   13.55099866   ASD
 4s2.4p5.(2Po<3/2>).7d    3/2[1/2]o    1   13.55531219   ASD
 4s2.4p5.(2Po<3/2>).7d    3/2[1/2]o    3   13.55679449   ASD
 4s2.4p5.(2Po<3/2>).7d    3/2[3/2]o    5   13.56080544   ASD
 4s2.4p5.(2Po<3/2>).7d    3/2[7/2]o    9   13.56807345   ASD
 4s2.4p5.(2Po<3/2>).7d    3/2[7/2]o    7   13.57272443   ASD
 4s2.4p5.(2Po<3/2>).7d    3/2[5/2]o    5   13.57968071   ASD
 4s2.4p5.(2Po<3/2>).7d    3/2[5/2]o    7   13.58606234   ASD
 4s2.4p5.(2Po<3/2>).7d    3/2[3/2]o    3   13.59967049   ASD
 4s2.4p5.(2Po<3/2>).9s    3/2[3/2]o    5   13.60750730   ASD
