Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d3""","=""4F""","=""3/2""",4,"=""""","=""0.00000""","=""""",
"=""3d3""","=""4F""","=""5/2""",6,"=""""","=""0.04451""","=""""",
"=""3d3""","=""4F""","=""7/2""",8,"=""""","=""0.10354""","=""""",
"=""3d3""","=""4F""","=""9/2""",10,"=""""","=""0.17509""","=""""",
"=""3d3""","=""4P""","=""1/2""",2,"=""""","=""2.03756""","=""""",
"=""3d3""","=""4P""","=""3/2""",4,"=""""","=""2.05747""","=""""",
"=""3d3""","=""4P""","=""5/2""",6,"=""""","=""2.11376""","=""""",
"=""3d3""","=""2G""","=""7/2""",8,"=""""","=""2.21837""","=""""",
"=""3d3""","=""2G""","=""9/2""",10,"=""""","=""2.28116""","=""""",
"=""3d3""","=""2P""","=""3/2""",4,"=""""","=""2.84157""","=""""",
"=""3d3""","=""2P""","=""1/2""",2,"=""""","=""2.86175""","=""""",
"=""3d3""","=""2D2""","=""5/2""",6,"=""""","=""3.05373""","=""""",
"=""3d3""","=""2D2""","=""3/2""",4,"=""""","=""3.05875""","=""""",
"=""3d3""","=""2H""","=""9/2""",10,"=""""","=""3.09648""","=""""",
"=""3d3""","=""2H""","=""11/2""",12,"=""""","=""3.14099""","=""""",
"=""3d3""","=""2F""","=""7/2""",8,"=""""","=""5.01185""","=""""",
"=""3d3""","=""2F""","=""5/2""",6,"=""""","=""5.04704""","=""""",
"=""3d3""","=""2D1""","=""5/2""",6,"=""""","=""7.76243""","=""""",
"=""3d3""","=""2D1""","=""3/2""",4,"=""""","=""7.79284""","=""""",
"=""3d2.(3F).4s""","=""4F""","=""3/2""",4,"=""""","=""21.93855""","=""""",
"=""3d2.(3F).4s""","=""4F""","=""5/2""",6,"=""""","=""21.98573""","=""""",
"=""3d2.(3F).4s""","=""4F""","=""7/2""",8,"=""""","=""22.05359""","=""""",
"=""3d2.(3F).4s""","=""4F""","=""9/2""",10,"=""""","=""22.14017""","=""""",
"=""3d2.(3F).4s""","=""2F""","=""5/2""",6,"=""""","=""22.75591""","=""""",
"=""3d2.(3F).4s""","=""2F""","=""7/2""",8,"=""""","=""22.89190""","=""""",
"=""3d2.(1D).4s""","=""2D""","=""5/2""",6,"=""""","=""24.02586""","=""""",
"=""3d2.(1D).4s""","=""2D""","=""3/2""",4,"=""""","=""24.05435""","=""""",
"=""3d2.(3P).4s""","=""4P""","=""1/2""",2,"=""""","=""24.08874""","=""""",
"=""3d2.(3P).4s""","=""4P""","=""3/2""",4,"=""""","=""24.13531""","=""""",
"=""3d2.(3P).4s""","=""4P""","=""5/2""",6,"=""""","=""24.21445""","=""""",
"=""3d2.(3P).4s""","=""2P""","=""1/2""",2,"=""""","=""24.81877""","=""""",
"=""3d2.(3P).4s""","=""2P""","=""3/2""",4,"=""""","=""24.87992""","=""""",
"=""3d2.(1G).4s""","=""2G""","=""9/2""",10,"=""""","=""25.26944""","=""""",
"=""3d2.(1G).4s""","=""2G""","=""7/2""",8,"=""""","=""25.27136""","=""""",
"=""3d2.(1S).4s""","=""2S""","=""1/2""",2,"=""""","=""29.33896""","=""""",
"=""3d2.(3F).4p""","=""4G*""","=""5/2""",6,"=""""","=""29.99266""","=""""",
"=""3d2.(3F).4p""","=""4G*""","=""7/2""",8,"=""""","=""30.09926""","=""""",
"=""3d2.(3F).4p""","=""4F*""","=""3/2""",4,"=""""","=""30.14315""","=""""",
"=""3d2.(3F).4p""","=""4F*""","=""5/2""",6,"=""""","=""30.21228""","=""""",
"=""3d2.(3F).4p""","=""4G*""","=""9/2""",10,"=""""","=""30.22773""","=""""",
"=""3d2.(3F).4p""","=""4F*""","=""7/2""",8,"=""""","=""30.29952""","=""""",
