 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1  7  6  310   1 2s2 2p2         -2.17775E+00  0.00000E+00  9.0
      2  7  6  120   1 2s2 2p2         -2.03337E+00  1.44380E-01  5.0
      3  7  6  100   1 2s2 2p2         -1.86165E+00  3.16100E-01  1.0
      4  7  6  501   1 2s 2p3          -1.76772E+00  4.10030E-01  5.0
      5  7  6  321   1 2s 2p3          -1.33697E+00  8.40780E-01 15.0
      6  7  6  311   1 2s 2p3          -1.17259E+00  1.00516E+00  9.0
      7  7  6  121   1 2s 2p3          -8.46089E-01  1.33166E+00  5.0
      8  7  6  311   2 2s2 2p 3s       -8.13816E-01  1.36393E+00  9.0
      9  7  6  111   1 2s2 2p 3s       -8.09748E-01  1.36800E+00  3.0
     10  7  6  301   1 2s 2p3          -7.40646E-01  1.43710E+00  3.0
     11  7  6  110   1 2s2 2p 3p       -6.73009E-01  1.50474E+00  3.0
     12  7  6  320   1 2s2 2p 3p       -6.54210E-01  1.52354E+00 15.0
     13  7  6  300   1 2s2 2p 3p       -6.32672E-01  1.54508E+00  3.0
     14  7  6  111   2 2s 2p3          -6.27380E-01  1.55037E+00  3.0
     15  7  6  310   2 2s2 2p 3p       -6.18166E-01  1.55958E+00  9.0
     16  7  6  120   2 2s2 2p 3p       -5.83814E-01  1.59394E+00  5.0
     17  7  6  100   2 2s2 2p 3p       -5.45655E-01  1.63210E+00  1.0
     18  7  6  331   1 2s2 2p 3d       -4.72515E-01  1.70524E+00 21.0
     19  7  6  121   2 2s2 2p 3d       -4.66844E-01  1.71091E+00  5.0
     20  7  6  321   2 2s2 2p 3d       -4.64413E-01  1.71334E+00 15.0
     21  7  6  311   3 2s2 2p 3d       -4.51391E-01  1.72636E+00  9.0
     22  7  6  131   1 2s2 2p 3d       -4.47028E-01  1.73072E+00  7.0
     23  7  6  111   3 2s2 2p 3d       -4.38997E-01  1.73875E+00  3.0
     24  7  6  311   4 2s2 2p 4s       -3.83282E-01  1.79447E+00  9.0
     25  7  6  111   4 2s2 2p 4s       -3.71034E-01  1.80672E+00  3.0
     26  7  6  110   2 2s2 2p 4p       -3.32679E-01  1.84507E+00  3.0
     27  7  6  320   2 2s2 2p 4p       -3.27678E-01  1.85007E+00 15.0
     28  7  6  310   3 2s2 2p 4p       -3.24615E-01  1.85314E+00  9.0
     29  7  6  300   2 2s2 2p 4p       -3.21918E-01  1.85583E+00  3.0
     30  7  6  510   1 2s2p2(4PE) 3s   -3.14023E-01  1.86373E+00 15.0
     31  7  6  120   3 2s2 2p 4p       -3.03523E-01  1.87423E+00  5.0
     32  7  6  100   3 2s2 2p 4p       -2.89207E-01  1.88854E+00  1.0
     33  7  6  331   2 2s2 2p 4d       -2.64200E-01  1.91355E+00 21.0
     34  7  6  121   3 2s2 2p 4d       -2.61859E-01  1.91589E+00  5.0
     35  7  6  321   3 2s2 2p 4d       -2.58810E-01  1.91894E+00 15.0
     36  7  6  311   5 2s2 2p 4d       -2.55383E-01  1.92237E+00  9.0
     37  7  6  310   4 2s2p2(4PE) 3s   -2.52024E-01  1.92573E+00  9.0
     38  7  6  130   1 2s2 2p 4f       -2.51901E-01  1.92585E+00  7.0
     39  7  6  330   1 2s2 2p 4f       -2.51833E-01  1.92592E+00 21.0
     40  7  6  131   2 2s2 2p 4d       -2.51507E-01  1.92624E+00  7.0
     41  7  6  340   1 2s2 2p 4f       -2.50393E-01  1.92736E+00 27.0
     42  7  6  140   1 2s2 2p 4f       -2.50152E-01  1.92760E+00  9.0
     43  7  6  320   3 2s2 2p 4f       -2.49833E-01  1.92792E+00 15.0
     44  7  6  120   4 2s2 2p 4f       -2.49693E-01  1.92806E+00  5.0
     45  7  6  111   5 2s2 2p 4d       -2.49029E-01  1.92872E+00  3.0
     46  7  6  311   6 2s2 2p 5s       -2.23128E-01  1.95462E+00  9.0
     47  7  6  111   6 2s2 2p 5s       -2.18148E-01  1.95960E+00  3.0
     48  7  6  110   3 2s2 2p 5p       -1.99697E-01  1.97805E+00  3.0
     49  7  6  320   4 2s2 2p 5p       -1.97496E-01  1.98025E+00 15.0
     50  7  6  300   3 2s2 2p 5p       -1.94830E-01  1.98292E+00  3.0
     51  7  6  310   5 2s2 2p 5p       -1.88040E-01  1.98971E+00  9.0
     52  7  6  120   5 2s2 2p 5p       -1.86319E-01  1.99143E+00  5.0
     53  7  6  100   4 2s2 2p 5p       -1.79260E-01  1.99849E+00  1.0
     54  7  6  331   3 2s2 2p 5d       -1.67627E-01  2.01012E+00 21.0
     55  7  6  121   4 2s2 2p 5d       -1.66526E-01  2.01122E+00  5.0
     56  7  6  310   6 2p4             -1.66523E-01  2.01123E+00  9.0
     57  7  6  321   4 2s2 2p 5d       -1.64899E-01  2.01285E+00 15.0
     58  7  6  311   7 2s2 2p 5d       -1.63311E-01  2.01444E+00  9.0
     59  7  6  130   2 2s2 2p 5f       -1.61270E-01  2.01648E+00  7.0
     60  7  6  330   2 2s2 2p 5f       -1.61217E-01  2.01653E+00 21.0
     61  7  6  131   3 2s2 2p 5d       -1.60889E-01  2.01686E+00  7.0
     62  7  6  340   2 2s2 2p 5f       -1.60316E-01  2.01743E+00 27.0
     63  7  6  140   2 2s2 2p 5f       -1.60119E-01  2.01763E+00  9.0
     64  7  6  141   1 2s2 2p 5g       -1.60087E-01  2.01766E+00  9.0
     65  7  6  341   1 2s2 2p 5g       -1.60086E-01  2.01766E+00 27.0
     66  7  6  351   1 2s2 2p 5g       -1.60006E-01  2.01774E+00 33.0
     67  7  6  151   1 2s2 2p 5g       -1.60005E-01  2.01775E+00 11.0
     68  7  6  331   4 2s2 2p 5g       -1.59985E-01  2.01777E+00 21.0
     69  7  6  320   5 2s2 2p 5f       -1.59953E-01  2.01780E+00 15.0
     70  7  6  131   4 2s2 2p 5g       -1.59948E-01  2.01780E+00  7.0
     71  7  6  120   6 2s2 2p 5f       -1.59844E-01  2.01791E+00  5.0
     72  7  6  111   7 2s2 2p 5d       -1.59700E-01  2.01805E+00  3.0
     73  7  6  301   2 2s2p2(4PE) 3p   -1.56175E-01  2.02158E+00  3.0
     74  7  6  521   1 2s2p2(4PE) 3p   -1.50672E-01  2.02708E+00 25.0
     75  7  6  311   8 2s2 2p 6s       -1.46025E-01  2.03173E+00  9.0
