 2s2.2p6                  1S            1    0.00000000   023
 2s2.2p5.(2Po<3/2>).3s    3/2[3/2]o     5   16.61906838   023
 2s2.2p5.(2Po<3/2>).3s    3/2[3/2]o     3   16.67082525   023
 2s2.2p5.(2Po<1/2>).3s    1/2[1/2]o     1   16.71537941   023
 2s2.2p5.(2Po<1/2>).3s    1/2[1/2]o     3   16.84805196   023
 2s2.2p5.(2Po<3/2>).3p    3/2[1/2]      3   18.38162134   023
 2s2.2p5.(2Po<3/2>).3p    3/2[5/2]      7   18.55510578   023
 2s2.2p5.(2Po<3/2>).3p    3/2[5/2]      5   18.57583383   023
 2s2.2p5.(2Po<3/2>).3p    3/2[3/2]      3   18.61270320   023
 2s2.2p5.(2Po<3/2>).3p    3/2[3/2]      5   18.63678945   023
 2s2.2p5.(2Po<1/2>).3p    1/2[3/2]      3   18.69335733   023
 2s2.2p5.(2Po<1/2>).3p    1/2[3/2]      5   18.70406906   023
 2s2.2p5.(2Po<3/2>).3p    3/2[1/2]      1   18.71137469   023
 2s2.2p5.(2Po<1/2>).3p    1/2[1/2]      3   18.72637947   023
 2s2.2p5.(2Po<1/2>).3p    1/2[1/2]      1   18.96595174   023
 2s2.2p5.(2Po<3/2>).4s    3/2[3/2]o     5   19.66403012   024
 2s2.2p5.(2Po<3/2>).4s    3/2[3/2]o     3   19.68819181   024
 2s2.2p5.(2Po<1/2>).4s    1/2[1/2]o     1   19.76059871   024
 2s2.2p5.(2Po<1/2>).4s    1/2[1/2]o     3   19.77976990   024
 2s2.2p5.(2Po<3/2>).3d    3/2[1/2]o     1   20.02464002   023
 2s2.2p5.(2Po<3/2>).3d    3/2[1/2]o     3   20.02644317   023
 2s2.2p5.(2Po<3/2>).3d    3/2[7/2]o     9   20.03464677   023
 2s2.2p5.(2Po<3/2>).3d    3/2[7/2]o     7   20.03486714   023
 2s2.2p5.(2Po<3/2>).3d    3/2[3/2]o     5   20.03674442   023
 2s2.2p5.(2Po<3/2>).3d    3/2[3/2]o     3   20.04038424   023
 2s2.2p5.(2Po<3/2>).3d    3/2[5/2]o     5   20.04820056   023
 2s2.2p5.(2Po<3/2>).3d    3/2[5/2]o     7   20.04842247   023
 2s2.2p5.(2Po<1/2>).3d    1/2[5/2]o     5   20.13610443   023
 2s2.2p5.(2Po<1/2>).3d    1/2[5/2]o     7   20.13629292   023
 2s2.2p5.(2Po<1/2>).3d    1/2[3/2]o     5   20.13750972   023
 2s2.2p5.(2Po<1/2>).3d    1/2[3/2]o     3   20.13945396   023
 2s2.2p5.(2Po<3/2>).4p    3/2[1/2]      3   20.14964597   024
 2s2.2p5.(2Po<3/2>).4p    3/2[5/2]      7   20.18843214   024
 2s2.2p5.(2Po<3/2>).4p    3/2[5/2]      5   20.19691384   024
 2s2.2p5.(2Po<3/2>).4p    3/2[3/2]      3   20.21098706   024
 2s2.2p5.(2Po<3/2>).4p    3/2[3/2]      5   20.21417720   024
 2s2.2p5.(2Po<3/2>).4p    3/2[1/2]      1   20.25917730   024
 2s2.2p5.(2Po<1/2>).4p    1/2[3/2]      3   20.29091304   024
 2s2.2p5.(2Po<1/2>).4p    1/2[1/2]      3   20.29716843   024
 2s2.2p5.(2Po<1/2>).4p    1/2[3/2]      5   20.29727733   024
 2s2.2p5.(2Po<1/2>).4p    1/2[1/2]      1   20.36885130   024
 2s2.2p5.(2Po<3/2>).5s    3/2[3/2]o     5   20.5600712    024
 2s2.2p5.(2Po<3/2>).5s    3/2[3/2]o     3   20.5705612    024
 2s2.2p5.(2Po<1/2>).5s    1/2[1/2]o     1   20.6565505    024
 2s2.2p5.(2Po<1/2>).5s    1/2[1/2]o     3   20.6627714    024
 2s2.2p5.(2Po<3/2>).4d    3/2[1/2]o     1   20.7013506    023
 2s2.2p5.(2Po<3/2>).4d    3/2[1/2]o     3   20.7023012    023
 2s2.2p5.(2Po<3/2>).4d    3/2[7/2]o     9   20.7053622    023
 2s2.2p5.(2Po<3/2>).4d    3/2[7/2]o     7   20.7054987    023
 2s2.2p5.(2Po<3/2>).4d    3/2[3/2]o     5   20.7067921    023
 2s2.2p5.(2Po<3/2>).4d    3/2[3/2]o     3   20.7087050    023
 2s2.2p5.(2Po<3/2>).4d    3/2[5/2]o     5   20.7112610    023
 2s2.2p5.(2Po<3/2>).4d    3/2[5/2]o     7   20.7113926    023
 2s2.2p5.(2Po<3/2>).4f    3/2[3/2]      3   20.7118857    023
 2s2.2p5.(2Po<3/2>).4f    3/2[3/2]      5   20.7118886    023
 2s2.2p5.(2Po<3/2>).4f    3/2[9/2]      9   20.7128355    023
 2s2.2p5.(2Po<3/2>).4f    3/2[9/2]     11   20.7128366    023
 2s2.2p5.(2Po<3/2>).4f    3/2[5/2]      7   20.7139217    023
 2s2.2p5.(2Po<3/2>).4f    3/2[5/2]      5   20.7139235    023
 2s2.2p5.(2Po<3/2>).4f    3/2[7/2]      7   20.7149034    023
 2s2.2p5.(2Po<3/2>).4f    3/2[7/2]      9   20.7149046    023
 2s2.2p5.(2Po<3/2>).5p    3/2[1/2]      3   20.7610854    024
 2s2.2p5.(2Po<3/2>).5p    3/2[5/2]      7   20.774674     024
 2s2.2p5.(2Po<3/2>).5p    3/2[5/2]      5   20.7786626    024
 2s2.2p5.(2Po<3/2>).5p    3/2[3/2]      3   20.7846545    024
 2s2.2p5.(2Po<3/2>).5p    3/2[3/2]      5   20.785780     024
 2s2.2p5.(2Po<1/2>).4d    1/2[5/2]o     5   20.8039222    023
 2s2.2p5.(2Po<1/2>).4d    1/2[5/2]o     7   20.8040369    023
 2s2.2p5.(2Po<1/2>).4d    1/2[3/2]o     5   20.8041672    023
 2s2.2p5.(2Po<1/2>).4d    1/2[3/2]o     3   20.8055084    023
 2s2.2p5.(2Po<1/2>).4f    1/2[7/2]      7   20.8103034    023
 2s2.2p5.(2Po<1/2>).4f    1/2[7/2]      9   20.8103048    023
 2s2.2p5.(2Po<1/2>).4f    1/2[5/2]      7   20.8103332    023
 2s2.2p5.(2Po<1/2>).4f    1/2[5/2]      5   20.8103344    023
 2s2.2p5.(2Po<3/2>).5p    3/2[1/2]      1   20.8128754    024
 2s2.2p5.(2Po<1/2>).5p    1/2[3/2]      3   20.873421     024
 2s2.2p5.(2Po<1/2>).5p    1/2[1/2]      3   20.873808     024
 2s2.2p5.(2Po<1/2>).5p    1/2[3/2]      5   20.876301     024
 2s2.2p5.(2Po<1/2>).5p    1/2[1/2]      1   20.902105     024
 2s2.2p5.(2Po<3/2>).6s    3/2[3/2]o     5   20.9439853    024
 2s2.2p5.(2Po<3/2>).6s    3/2[3/2]o     3   20.9492797    024
 2s2.2p5.(2Po<3/2>).5d    3/2[1/2]o     1   21.0132083    024
 2s2.2p5.(2Po<3/2>).5d    3/2[1/2]o     3   21.0138831    024
 2s2.2p5.(2Po<3/2>).5d    3/2[7/2]o     9   21.0155223    024
 2s2.2p5.(2Po<3/2>).5d    3/2[7/2]o     7   21.0156027    024
