 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 10  4  100   1 2s2             -1.52071E+01  0.00000E+00  1.0
      2 10  4  311   1 2s 2p           -1.41929E+01  1.01420E+00  9.0
      3 10  4  111   1 2s 2p           -1.32344E+01  1.97270E+00  3.0
      4 10  4  310   1 2p2             -1.25649E+01  2.64220E+00  9.0
      5 10  4  120   1 2p2             -1.23112E+01  2.89590E+00  5.0
      6 10  4  100   2 2p2             -1.15830E+01  3.62410E+00  1.0
      7 10  4  300   1 2s 3s           -6.31133E+00  8.89577E+00  3.0
      8 10  4  100   3 2s 3s           -6.12882E+00  9.07828E+00  1.0
      9 10  4  111   2 2s 3p           -5.88185E+00  9.32525E+00  3.0
     10 10  4  311   2 2s 3p           -5.85405E+00  9.35305E+00  9.0
     11 10  4  320   1 2s 3d           -5.62367E+00  9.58343E+00 15.0
     12 10  4  120   2 2s 3d           -5.45824E+00  9.74886E+00  5.0
     13 10  4  311   3 2p 3s           -5.01673E+00  1.01904E+01  9.0
     14 10  4  111   3 2p 3s           -4.85035E+00  1.03568E+01  3.0
     15 10  4  110   1 2p 3p           -4.76716E+00  1.04399E+01  3.0
     16 10  4  320   2 2p 3p           -4.70539E+00  1.05017E+01 15.0
     17 10  4  300   2 2p 3p           -4.61363E+00  1.05935E+01  3.0
     18 10  4  310   2 2p 3p           -4.54603E+00  1.06611E+01  9.0
     19 10  4  331   1 2p 3d           -4.49940E+00  1.07077E+01 21.0
     20 10  4  121   1 2p 3d           -4.48702E+00  1.07201E+01  5.0
     21 10  4  120   3 2p 3p           -4.43552E+00  1.07716E+01  5.0
     22 10  4  321   1 2p 3d           -4.35397E+00  1.08531E+01 15.0
     23 10  4  311   4 2p 3d           -4.29910E+00  1.09080E+01  9.0
     24 10  4  100   4 2p 3p           -4.23000E+00  1.09771E+01  1.0
     25 10  4  131   1 2p 3d           -4.19003E+00  1.10171E+01  7.0
     26 10  4  111   4 2p 3d           -4.12724E+00  1.10799E+01  3.0
     27 10  4  300   3 2s 4s           -3.39299E+00  1.18141E+01  3.0
     28 10  4  100   5 2s 4s           -3.31731E+00  1.18898E+01  1.0
     29 10  4  311   5 2s 4p           -3.21884E+00  1.19883E+01  9.0
     30 10  4  111   5 2s 4p           -3.20370E+00  1.20034E+01  3.0
     31 10  4  320   3 2s 4d           -3.12995E+00  1.20772E+01 15.0
     32 10  4  120   4 2s 4d           -3.07489E+00  1.21322E+01  5.0
     33 10  4  331   2 2s 4f           -3.06611E+00  1.21410E+01 21.0
     34 10  4  131   2 2s 4f           -3.04958E+00  1.21575E+01  7.0
     35 10  4  311   6 2p 4s           -2.18900E+00  1.30181E+01  9.0
     36 10  4  111   6 2p 4s           -2.17663E+00  1.30305E+01  3.0
     37 10  4  300   4 2s 5s           -2.14702E+00  1.30601E+01  3.0
     38 10  4  100   6 2s 5s           -2.12161E+00  1.30855E+01  1.0
     39 10  4  110   2 2p 4p           -2.07916E+00  1.31279E+01  3.0
     40 10  4  320   4 2p 4p           -2.06115E+00  1.31460E+01 15.0
     41 10  4  311   7 2s 5p           -2.04638E+00  1.31607E+01  9.0
     42 10  4  111   7 2s 5p           -2.00969E+00  1.31974E+01  3.0
     43 10  4  310   3 2p 4p           -2.00881E+00  1.31983E+01  9.0
     44 10  4  300   5 2p 4p           -2.00307E+00  1.32040E+01  3.0
     45 10  4  320   5 2s 5d           -1.99136E+00  1.32157E+01 15.0
     46 10  4  340   1 2s 5g:          -1.99066E+00  1.32164E+01 27.0
     47 10  4  331   3 2p 4d           -1.99060E+00  1.32165E+01 21.0
     48 10  4  140   1 2s 5g:          -1.98934E+00  1.32178E+01  9.0
