Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d6""","=""5D""","=""4""",9,"=""""","=""0.000000""","=""""",
"=""3d6""","=""5D""","=""3""",7,"=""""","=""0.11029""","=""""",
"=""3d6""","=""5D""","=""2""",5,"=""""","=""0.18471""","=""""",
"=""3d6""","=""5D""","=""1""",3,"=""""","=""0.23202""","=""""",
"=""3d6""","=""5D""","=""0""",1,"=""""","=""0.25511""","=""""",
"=""3d6""","=""3P2""","=""2""",5,"=""""","=""3.24252""","=""""",
"=""3d6""","=""3H""","=""6""",13,"=""""","=""3.36141""","=""""",
"=""3d6""","=""3H""","=""5""",11,"=""""","=""3.41932""","=""""",
"=""3d6""","=""3H""","=""4""",9,"=""""","=""3.45410""","=""""",
"=""3d6""","=""3P2""","=""1""",3,"=""""","=""3.55804""","=""""",
"=""3d6""","=""3F2""","=""4""",9,"=""""","=""3.61091""","=""""",
"=""3d6""","=""3F2""","=""3""",7,"=""""","=""3.66635""","=""""",
"=""3d6""","=""3P2""","=""0""",1,"=""""","=""3.67494""","=""""",
"=""3d6""","=""3F2""","=""2""",5,"=""""","=""3.70699""","=""""",
"=""3d6""","=""3G""","=""5""",11,"=""""","=""4.12329""","=""""",
"=""3d6""","=""3G""","=""4""",9,"=""""","=""4.22316""","=""""",
"=""3d6""","=""3G""","=""3""",7,"=""""","=""4.26708""","=""""",
"=""3d6""","=""1I""","=""6""",13,"=""""","=""5.11470""","=""""",
"=""3d6""","=""3D""","=""2""",5,"=""""","=""5.16114""","=""""",
"=""3d6""","=""3D""","=""1""",3,"=""""","=""5.17030""","=""""",
"=""3d6""","=""3D""","=""3""",7,"=""""","=""5.19750""","=""""",
"=""3d6""","=""1G2""","=""4""",9,"=""""","=""5.23321""","=""""",
"=""3d6""","=""1S2""","=""0""",1,"=""""","=""5.91406""","=""""",
"=""3d6""","=""1D2""","=""2""",5,"=""""","=""6.02654""","=""""",
"=""3d6""","=""1F""","=""3""",7,"=""""","=""7.18172""","=""""",
"=""3d6""","=""3P1""","=""0""",1,"=""""","=""8.27452""","=""""",
"=""3d6""","=""3P1""","=""1""",3,"=""""","=""8.37497""","=""""",
"=""3d6""","=""3F1""","=""2""",5,"=""""","=""8.50936""","=""""",
"=""3d6""","=""3F1""","=""4""",9,"=""""","=""8.52012""","=""""",
"=""3d6""","=""3F1""","=""3""",7,"=""""","=""8.53699""","=""""",
"=""3d6""","=""3P1""","=""2""",5,"=""""","=""8.57434""","=""""",
"=""3d6""","=""1G1""","=""4""",9,"=""""","=""9.65841""","=""""",
"=""3d6""","=""1D1""","=""2""",5,"=""""","=""12.94670""","=""""",
"=""3d5.(6S).4s""","=""7S""","=""3""",7,"=""""","=""20.39831""","=""""",
"=""3d5.(6S).4s""","=""5S""","=""2""",5,"=""""","=""22.07162""","=""""",
"=""3d5.(4G).4s""","=""5G""","=""6""",13,"=""""","=""25.79445""","=""""",
"=""3d5.(4G).4s""","=""5G""","=""5""",11,"=""""","=""25.80492""","=""""",
"=""3d5.(4G).4s""","=""5G""","=""2""",5,"=""""","=""25.80754""","=""""",
"=""3d5.(4G).4s""","=""5G""","=""4""",9,"=""""","=""25.80899""","=""""",
"=""3d5.(4G).4s""","=""5G""","=""3""",7,"=""""","=""25.80916""","=""""",
"=""3d5.(4P).4s""","=""5P""","=""3""",7,"=""""","=""26.29647""","=""""",
"=""3d5.(4P).4s""","=""5P""","=""2""",5,"=""""","=""26.31606""","=""""",
"=""3d5.(4P).4s""","=""5P""","=""1""",3,"=""""","=""26.34107""","=""""",
"=""3d5.(4D).4s""","=""5D""","=""4""",9,"=""""","=""26.80416""","=""""",
"=""3d5.(4D).4s""","=""5D""","=""0""",1,"=""""","=""26.81850""","=""""",
"=""3d5.(4D).4s""","=""5D""","=""1""",3,"=""""","=""26.83450""","=""""",
"=""3d5.(4D).4s""","=""5D""","=""2""",5,"=""""","=""26.85382""","=""""",
"=""3d5.(4D).4s""","=""5D""","=""3""",7,"=""""","=""26.85451""","=""""",
"=""3d5.(4G).4s""","=""3G""","=""5""",11,"=""""","=""26.91074""","=""""",
"=""3d5.(4G).4s""","=""3G""","=""3""",7,"=""""","=""26.91713""","=""""",
"=""3d5.(4G).4s""","=""3G""","=""4""",9,"=""""","=""26.92075""","=""""",
"=""3d5.(4P).4s""","=""3P""","=""2""",5,"=""""","=""27.41134""","=""""",
"=""3d5.(4P).4s""","=""3P""","=""1""",3,"=""""","=""27.45368""","=""""",
"=""3d5.(4D).4s""","=""3D""","=""3""",7,"=""""","=""27.92149""","=""""",
"=""3d5.(4D).4s""","=""3D""","=""1""",3,"=""""","=""27.96411""","=""""",
"=""3d5.(4D).4s""","=""3D""","=""2""",5,"=""""","=""27.97301""","=""""",
"=""3d5.(2I).4s""","=""3I""","=""6""",13,"=""""","=""28.44318""","=""""",
"=""3d5.(2I).4s""","=""3I""","=""5""",11,"=""""","=""28.44369""","=""""",
"=""3d5.(2I).4s""","=""3I""","=""7""",15,"=""""","=""28.44708""","=""""",
"=""3d5.(2D3).4s""","=""3D""","=""3""",7,"=""""","=""28.83205""","=""""",
"=""3d5.(2D3).4s""","=""3D""","=""2""",5,"=""""","=""28.84567""","=""""",
"=""3d5.(2D3).4s""","=""3D""","=""1""",3,"=""""","=""28.87729""","=""""",
"=""3d5.(2I).4s""","=""1I""","=""6""",13,"=""""","=""28.99248""","=""""",
"=""3d5.(4F).4s""","=""5F""","=""5""",11,"=""""","=""29.02260""","=""""",
"=""3d5.(4F).4s""","=""5F""","=""4""",9,"=""""","=""29.02792""","=""""",
"=""3d5.(4F).4s""","=""5F""","=""3""",7,"=""""","=""29.04643""","=""""",
"=""3d5.(4F).4s""","=""5F""","=""2""",5,"=""""","=""29.06346""","=""""",
"=""3d5.(4F).4s""","=""5F""","=""1""",3,"=""""","=""29.15070""","=""""",
"=""3d5.(2F1).4s""","=""3F""","=""4""",9,"=""""","=""29.18856""","=""""",
"=""3d5.(2F1).4s""","=""3F""","=""2""",5,"=""""","=""29.22760""","=""""",
"=""3d5.(2F1).4s""","=""3F""","=""3""",7,"=""""","=""29.31657""","=""""",
"=""3d5.(2D3).4s""","=""1D""","=""2""",5,"=""""","=""29.64559""","=""""",
"=""3d5.(2F1).4s""","=""1F""","=""3""",7,"=""""","=""29.78032""","=""""",
"=""3d5.(2H).4s""","=""3H""","=""4""",9,"=""""","=""29.87526""","=""""",
"=""3d5.(2H).4s""","=""3H""","=""5""",11,"=""""","=""29.89046""","=""""",
"=""3d5.(2H).4s""","=""3H""","=""6""",13,"=""""","=""29.97609""","=""""",
"=""3d5.(2G2).4s""","=""3G""","=""3""",7,"=""""","=""30.04022""","=""""",
"=""3d5.(2G2).4s""","=""3G""","=""4""",9,"=""""","=""30.06676""","=""""",
"=""3d5.(6S).4p""","=""7P*""","=""2""",5,"=""""","=""30.10774""","=""""",
"=""3d5.(2G2).4s""","=""3G""","=""5""",11,"=""""","=""30.11117""","=""""",
"=""3d5.(4F).4s""","=""3F""","=""2""",5,"=""""","=""30.16125""","=""""",
"=""3d5.(4F).4s""","=""3F""","=""4""",9,"=""""","=""30.16933""","=""""",
"=""3d5.(4F).4s""","=""3F""","=""3""",7,"=""""","=""30.17412""","=""""",
"=""3d5.(6S).4p""","=""7P*""","=""3""",7,"=""""","=""30.20318""","=""""",
