     45.2919?       S VIII  E1         2s2.2p5-2s2.2p4.(3P).4d 2Po-2D   4 - 6  3.522e+11 1.625e-01     3   0.000000 - 273.74500? 063,ASD
     47.5190?       S VIII  E1         2s2.2p5-2s2.2p4.(3P).4s 2Po-2P   4 - 4  7.772e+10 2.631e-02     3   0.000000 - 260.91500? 063,ASD
     47.7479?       S VIII  E1         2s2.2p5-2s2.2p4.(3P).4s 2Po-2P   2 - 4  1.532e+10 1.047e-02     3   1.250600 - 260.91500? 063,ASD
     51.2032        S VIII  E1         2s2.2p5-2s2.2p4.(1S).3d 2Po-2D   4 - 4  2.100e+10 8.254e-03    16   0.000000 - 242.141000 063
     51.2267        S VIII  E1         2s2.2p5-2s2.2p4.(1S).3d 2Po-2D   4 - 6  1.508e+11 8.899e-02    16   0.000000 - 242.031000 063
     51.4691        S VIII  E1         2s2.2p5-2s2.2p4.(1S).3d 2Po-2D   2 - 4  2.075e+11 1.648e-01    16   1.250600 - 242.141000 063
     52.6806        S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2D   4 - 4  9.472e+10 3.941e-02    16   0.000000 - 235.351000 063
     52.7028        S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2P   4 - 2  2.446e+11 5.093e-02    16   0.000000 - 235.252000 063
     52.7562        S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2D   4 - 6  6.857e+11 4.292e-01    16   0.000000 - 235.013000 063
     52.7895        S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2P   4 - 4  9.283e+11 3.878e-01    16   0.000000 - 234.865000 063
     52.8547        S VIII] E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2F   4 - 6  5.634e+10 3.539e-02    16   0.000000 - 234.575700 063
     52.955         S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2S   4 - 2  7.919e+11 1.665e-01    16   0.000000 - 234.130000 063
     52.9620        S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2D   2 - 4  7.261e+11 6.107e-01    16   1.250600 - 235.351000 063
     52.9845        S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2P   2 - 2  8.804e+11 3.705e-01    16   1.250600 - 235.252000 063
     53.0721        S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2P   2 - 4  1.485e+11 1.254e-01    16   1.250600 - 234.865000 063
     53.240         S VIII  E1         2s2.2p5-2s2.2p4.(1D).3d 2Po-2S   2 - 2  2.268e+11 9.638e-02    16   1.250600 - 234.130000 063
     54.089         S VIII  E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-2P   4 - 4  1.603e+10 7.031e-03    16   0.000000 - 229.222000 063
     54.1203        S VIII  E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-2D   4 - 6  5.670e+11 3.735e-01    16   0.000000 - 229.090000 063
     54.2667        S VIII  E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-2D   4 - 4  2.304e+11 1.017e-01    16   0.000000 - 228.472000 063
     54.343         S VIII  E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-2P   4 - 2  6.324e+10 1.400e-02    16   0.000000 - 228.150000 063
     54.3694        S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-2F   4 - 6  1.898e+10 1.262e-02    16   0.000000 - 228.041000 063
     54.386         S VIII  E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-2P   2 - 4  2.319e+11 2.057e-01    16   1.250600 - 229.222000 063
     54.4235        S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4P   4 - 6  5.040e+10 3.357e-02    16   0.000000 - 227.814000 063
     54.511         S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4P   4 - 4  9.138e+09 4.071e-03    16   0.000000 - 227.447000 063
     54.5409        S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4F   4 - 4  6.904e+09 3.079e-03    16   0.000000 - 227.323300 063
     54.5653        S VIII  E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-2D   2 - 4  1.732e+11 1.546e-01    16   1.250600 - 228.472000 063
     54.584         S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4P   4 - 2  8.434e+09 1.884e-03    16   0.000000 - 227.142000 063
     54.60208       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4F   4 - 6  1.481e+10 9.929e-03    16   0.000000 - 227.068600 063
     54.643         S VIII  E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-2P   2 - 2  7.147e+10 3.199e-02    16   1.250600 - 228.150000 063
     54.813         S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4P   2 - 4  8.143e+08 7.336e-04    16   1.250600 - 227.447000 063
     54.8426        S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4F   2 - 4  8.622e+09 7.776e-03    16   1.250600 - 227.323300 063
     54.887         S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4P   2 - 2  1.462e+06 6.603e-07    16   1.250600 - 227.142000 063
     55.0779        S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4D   4 - 2  2.819e+08 6.410e-05    16   0.000000 - 225.106900 063
     55.11591       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4D   4 - 4  4.437e+08 2.021e-04    16   0.000000 - 224.951700 063
     55.1549        S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4D   4 - 6  4.635e+07 3.171e-05    16   0.000000 - 224.792600 063
     55.3856        S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4D   2 - 2  7.363e+08 3.386e-04    16   1.250600 - 225.106900 063
     55.42405       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3d 2Po-4D   2 - 4  1.926e+08 1.774e-04    16   1.250600 - 224.951700 063
     58.922         S VIII  E1          2s.2p6-2s.2p5.(1Po).3s  2S-2Po  2 - 2  3.649e+10 1.899e-02     3  62.445300 - 272.867000 063
     58.944         S VIII  E1          2s.2p6-2s.2p5.(1Po).3s  2S-2Po  2 - 4  3.645e+10 3.797e-02     3  62.445300 - 272.786000 063
     59.236         S VIII  E1         2s2.2p5-2s2.2p4.(1S).3s 2Po-2S   4 - 2  4.322e+10 1.137e-02    16   0.000000 - 209.304000 063
     59.593         S VIII  E1         2s2.2p5-2s2.2p4.(1S).3s 2Po-2S   2 - 2  3.162e+10 1.683e-02    16   1.250600 - 209.304000 063
     61.59354       S VIII  E1         2s2.2p5-2s2.2p4.(1D).3s 2Po-2D   4 - 4  4.873e+09 2.772e-03    16   0.000000 - 201.294200 063
     61.59923       S VIII  E1         2s2.2p5-2s2.2p4.(1D).3s 2Po-2D   4 - 6  7.325e+10 6.250e-02    16   0.000000 - 201.275600 063
     61.97860       S VIII  E1         2s2.2p5-2s2.2p4.(1D).3s 2Po-2D   2 - 4  6.949e+10 8.004e-02    16   1.250600 - 201.294200 063
     63.027         S VIII  E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-2P   4 - 2  7.002e+10 2.085e-02    16   0.000000 - 196.716000 063
     63.3063        S VIII  E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-2P   4 - 4  1.588e+11 9.541e-02    16   0.000000 - 195.848100 063
     63.430         S VIII  E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-2P   2 - 2  1.201e+11 7.244e-02    16   1.250600 - 196.716000 063
     63.7131        S VIII  E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-2P   2 - 4  2.285e+10 2.781e-02    16   1.250600 - 195.848100 063
     63.74100       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   4 - 2  1.478e+07 4.501e-06    16   0.000000 - 194.512500 063
     63.88923       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   4 - 4  7.764e+09 4.751e-03    16   0.000000 - 194.061200 063
     64.13175       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   4 - 6  4.327e+08 4.002e-04    16   0.000000 - 193.327300 063
     64.15348       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   2 - 2  1.255e+09 7.744e-04    16   1.250600 - 194.512500 063
     64.30364       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   2 - 4  6.029e+08 7.475e-04    16   1.250600 - 194.061200 063
     64.874         S VIII  E1          2s.2p6-2s.2p5.(3Po).3s  2S-2Po  2 - 2  9.611e+10 6.064e-02     3  62.445300 - 253.561000 063
