 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 16 14  310   1 3s2 3p2         -2.56672E+00  0.00000E+00  9.0
      2 16 14  120   1 3s2 3p2         -2.46442E+00  1.02300E-01  5.0
      3 16 14  100   1 3s2 3p2         -2.29504E+00  2.71680E-01  1.0
      4 16 14  501   1 3s 3p3          -2.06286E+00  5.03860E-01  5.0
      5 16 14  321   1 3s 3p3          -1.81256E+00  7.54160E-01 15.0
      6 16 14  311   1 3s 3p3          -1.66160E+00  9.05120E-01  9.0
      7 16 14  121   1 3s2 3p 3d       -1.61587E+00  9.50850E-01  5.0
      8 16 14  331   1 3s2 3p 3d       -1.44049E+00  1.12623E+00 21.0
      9 16 14  111   1 3s 3p3          -1.28137E+00  1.28535E+00  3.0
     10 16 14  301   1 3s 3p3          -1.27201E+00  1.29471E+00  3.0
     11 16 14  311   2 3s2 3p 4s:      -1.24765E+00  1.31907E+00  9.0
     12 16 14  311   3 3s2 3p 3d:      -1.20893E+00  1.35779E+00  9.0
     13 16 14  111   2 3s2 3p 4s       -1.20140E+00  1.36532E+00  3.0
     14 16 14  321   2 3s2 3p 3d       -1.19987E+00  1.36685E+00 15.0
     15 16 14  121   2 3s 3p3          -1.14760E+00  1.41912E+00  5.0
     16 16 14  131   1 3s2 3p 3d       -1.10586E+00  1.46086E+00  7.0
     17 16 14  110   1 3s2 3p 4p       -1.03441E+00  1.53231E+00  3.0
     18 16 14  111   3 3s2 3p 3d       -1.01526E+00  1.55146E+00  3.0
     19 16 14  320   1 3s2 3p 4p       -1.00889E+00  1.55783E+00 15.0
     20 16 14  310   2 3s2 3p 4p       -9.82978E-01  1.58374E+00  9.0
     21 16 14  300   1 3s2 3p 4p       -9.75500E-01  1.59122E+00  3.0
     22 16 14  120   2 3s2 3p 4p       -9.44515E-01  1.62221E+00  5.0
     23 16 14  100   2 3s2 3p 4p       -8.88148E-01  1.67857E+00  1.0
     24 16 14  310   3 3s 3p2(4PE) 3d: -8.85619E-01  1.68110E+00  9.0
     25 16 14  530   1 3s 3p2(4PE) 3d  -8.82438E-01  1.68428E+00 35.0
     26 16 14  520   1 3s 3p2(4PE) 3d  -8.30297E-01  1.73642E+00 25.0
     27 16 14  120   3 3p4:            -8.16307E-01  1.75041E+00  5.0
     28 16 14  330   1 3s 3p2(2DE) 3d: -7.46310E-01  1.82041E+00 21.0
     29 16 14  331   2 3s2 3p 4d       -6.92299E-01  1.87442E+00 21.0
     30 16 14  121   3 3s2 3p 4d       -6.91331E-01  1.87539E+00  5.0
     31 16 14  321   3 3s2 3p 4d       -6.75658E-01  1.89106E+00 15.0
     32 16 14  510   1 3s 3p2(4PE) 3d  -6.70251E-01  1.89647E+00 15.0
     33 16 14  311   4 3s2 3p 4d       -6.67693E-01  1.89903E+00  9.0
     34 16 14  311   5 3s2 3p 5s       -6.44217E-01  1.92250E+00  9.0
     35 16 14  131   2 3s2 3p 4d       -6.36781E-01  1.92994E+00  7.0
     36 16 14  111   4 3s2 3p 5s       -6.36567E-01  1.93015E+00  3.0
     37 16 14  111   5 3s2 3p 4d       -6.22708E-01  1.94401E+00  3.0
     38 16 14  510   2 3s 3p2(4PE) 4s  -6.01982E-01  1.96474E+00 15.0
     39 16 14  130   1 3s2 3p 4f       -6.01034E-01  1.96569E+00  7.0
     40 16 14  340   1 3s2 3p 4f       -5.99300E-01  1.96742E+00 27.0
     41 16 14  330   2 3s2 3p 4f       -5.94358E-01  1.97236E+00 21.0
     42 16 14  140   1 3s2 3p 4f       -5.76924E-01  1.98980E+00  9.0
     43 16 14  320   2 3s2 3p 4f       -5.75166E-01  1.99155E+00 15.0
     44 16 14  310   4 3s2 3p 5p       -5.72256E-01  1.99446E+00  9.0
     45 16 14  120   4 3s2 3p 4f       -5.65975E-01  2.00075E+00  5.0
     46 16 14  110   2 3s2 3p 5p       -5.65241E-01  2.00148E+00  3.0
     47 16 14  320   3 3s2 3p 5p       -5.56149E-01  2.01057E+00 15.0
     48 16 14  300   2 3s2 3p 5p       -5.47448E-01  2.01927E+00  3.0
     49 16 14  120   5 3s2 3p 5p       -5.35543E-01  2.03118E+00  5.0
     50 16 14  100   3 3p4:            -5.34529E-01  2.03219E+00  1.0
     51 16 14  310   5 3s 3p2(4PE) 4s: -5.26158E-01  2.04056E+00  9.0
     52 16 14  100   4 3s2 3p 5p       -4.97788E-01  2.06893E+00  1.0
     53 16 14  340   2 3s 3p2(2DE) 3d  -4.86831E-01  2.07989E+00 27.0
     54 16 14  140   2 3s 3p2(2DE) 3d  -4.86764E-01  2.07996E+00  9.0
     55 16 14  310   6 3p4:            -4.83228E-01  2.08349E+00  9.0
     56 16 14  320   4 3s 3p2(4PE) 3d: -4.69774E-01  2.09695E+00 15.0
     57 16 14  330   3 3s 3p2(4PE) 3d: -4.25943E-01  2.14078E+00 21.0
     58 16 14  121   4 3s2 3p 5d       -4.22438E-01  2.14428E+00  5.0
     59 16 14  331   3 3s2 3p 5d       -4.21440E-01  2.14528E+00 21.0
     60 16 14  321   4 3s2 3p 5d       -4.18602E-01  2.14812E+00 15.0
     61 16 14  130   2 3s 3p2(2DE) 3d  -4.15872E-01  2.15085E+00  7.0
     62 16 14  311   6 3s2 3p 5d       -4.12399E-01  2.15432E+00  9.0
     63 16 14  131   3 3s2 3p 5d       -3.99706E-01  2.16701E+00  7.0
     64 16 14  311   7 3s2 3p 6s       -3.99623E-01  2.16710E+00  9.0
     65 16 14  111   6 3s2 3p 6s       -3.98201E-01  2.16852E+00  3.0
     66 16 14  111   7 3s2 3p 5d       -3.91669E-01  2.17505E+00  3.0
     67 16 14  521   1 3s 3p2(4PE) 4p  -3.90262E-01  2.17646E+00 25.0
     68 16 14  301   2 3s 3p2(4PE) 4p  -3.89591E-01  2.17713E+00  3.0
     69 16 14  320   5 3s 3p2(2DE) 4s: -3.83917E-01  2.18280E+00 15.0
     70 16 14  330   4 3s2 3p 5f       -3.80277E-01  2.18644E+00 21.0
     71 16 14  320   6 3s2 3p 5f       -3.70654E-01  2.19607E+00 15.0
     72 16 14  310   7 3s 3p2(2DE) 3d: -3.66291E-01  2.20043E+00  9.0
     73 16 14  511   1 3s 3p2(4PE) 4p  -3.65678E-01  2.20104E+00 15.0
     74 16 14  120   6 3s2 3p 5f       -3.65435E-01  2.20128E+00  5.0
     75 16 14  140   3 3s2 3p 5f       -3.63304E-01  2.20342E+00  9.0
     76 16 14  141   1 3s2 3p 5g       -3.62526E-01  2.20419E+00  9.0
     77 16 14  341   1 3s2 3p 5g       -3.62492E-01  2.20423E+00 27.0
     78 16 14  110   3 3s2 3p 6p       -3.60247E-01  2.20647E+00  3.0
     79 16 14  351   1 3s2 3p 5g       -3.60205E-01  2.20652E+00 33.0
     80 16 14  151   1 3s2 3p 5g       -3.60066E-01  2.20665E+00 11.0
     81 16 14  331   4 3s2 3p 5g       -3.59516E-01  2.20720E+00 21.0
     82 16 14  131   4 3s2 3p 5g       -3.59407E-01  2.20731E+00  7.0
     83 16 14  130   3 3s2 3p 5f       -3.58691E-01  2.20803E+00  7.0
     84 16 14  340   3 3s2 3p 5f       -3.58000E-01  2.20872E+00 27.0
     85 16 14  120   7 3s2 3p 6p       -3.54773E-01  2.21195E+00  5.0
     86 16 14  320   7 3s2 3p 6p       -3.52328E-01  2.21439E+00 15.0
     87 16 14  300   3 3s2 3p 6p       -3.51315E-01  2.21540E+00  3.0
     88 16 14  501   2 3s 3p2(4PE) 4p  -3.47625E-01  2.21909E+00  5.0
     89 16 14  310   8 3s2 3p 6p       -3.46270E-01  2.22045E+00  9.0
     90 16 14  320   8 3s 3p2(2DE) 3d  -3.42510E-01  2.22421E+00 15.0
     91 16 14  100   5 3s2 3p 6p       -3.32587E-01  2.23413E+00  1.0
     92 16 14  321   5 3s 3p2(4PE) 4p  -3.25072E-01  2.24165E+00 15.0
     93 16 14  120   8 3s 3p2(2DE) 4s  -3.12537E-01  2.25418E+00  5.0
     94 16 14  311   8 3s 3p2(4PE) 4p  -2.95358E-01  2.27136E+00  9.0
     95 16 14  110   4 3s 3p2(2DE) 3d  -2.90185E-01  2.27654E+00  3.0
     96 16 14  121   5 3s2 3p 6d       -2.85357E-01  2.28136E+00  5.0
     97 16 14  331   5 3s2 3p 6d       -2.84990E-01  2.28173E+00 21.0
     98 16 14  321   6 3s2 3p 6d       -2.77797E-01  2.28892E+00 15.0
     99 16 14  311   9 3s2 3p 6d       -2.74817E-01  2.29190E+00  9.0
    100 16 14  131   5 3s2 3p 6d       -2.74082E-01  2.29264E+00  7.0
    101 16 14  300   4 3s 3p2(2DE) 3d  -2.73889E-01  2.29283E+00  3.0
    102 16 14  111   8 3s2 3p 7s:      -2.72759E-01  2.29396E+00  3.0
    103 16 14  311  10 3s2 3p 7s       -2.70420E-01  2.29630E+00  9.0
    104 16 14  111   9 3s2 3p 6d       -2.68400E-01  2.29832E+00  3.0
    105 16 14  330   5 3s2 3p 6f       -2.67328E-01  2.29939E+00 21.0
    106 16 14  320   9 3s2 3p 6f       -2.61231E-01  2.30549E+00 15.0
    107 16 14  130   4 3s2 3p 6f       -2.58201E-01  2.30852E+00  7.0
    108 16 14  120   9 3s2 3p 6f       -2.56503E-01  2.31022E+00  5.0
    109 16 14  140   4 3s2 3p 6f       -2.53632E-01  2.31309E+00  9.0
    110 16 14  141   2 3s2 3p 6g       -2.52039E-01  2.31468E+00  9.0
    111 16 14  341   2 3s2 3p 6g       -2.52010E-01  2.31471E+00 27.0
    112 16 14  340   4 3s2 3p 6f       -2.51574E-01  2.31515E+00 27.0
    113 16 14  351   2 3s2 3p 6g       -2.50265E-01  2.31645E+00 33.0
    114 16 14  151   2 3s2 3p 6g       -2.50134E-01  2.31659E+00 11.0
    115 16 14  331   6 3s2 3p 6g       -2.49747E-01  2.31697E+00 21.0
    116 16 14  131   6 3s2 3p 6g       -2.49645E-01  2.31708E+00  7.0
    117 16 14  110   5 3s2 3p 7p       -2.49506E-01  2.31721E+00  3.0
    118 16 14  320  10 3s2 3p 7p       -2.45797E-01  2.32092E+00 15.0
    119 16 14  300   5 3s2 3p 7p       -2.43631E-01  2.32309E+00  3.0
    120 16 14  310   9 3s2 3p 7p       -2.43172E-01  2.32355E+00  9.0
    121 16 14  120  10 3s2 3p 7p       -2.38205E-01  2.32852E+00  5.0
    122 16 14  100   6 3s2 3p 7p       -2.34099E-01  2.33262E+00  1.0
    123 16 14  120  11 3s 3p2(2DE) 3d: -2.24637E-01  2.34208E+00  5.0
    124 16 14  320  11 3s 3p2(4PE) 4d: -2.06428E-01  2.36029E+00 15.0
    125 16 14  331   7 3s2 3p 7d       -2.06416E-01  2.36030E+00 21.0
    126 16 14  121   6 3s2 3p 7d       -2.05722E-01  2.36100E+00  5.0
    127 16 14  321   7 3s2 3p 7d       -2.02712E-01  2.36401E+00 15.0
    128 16 14  330   6 3s2 3p 7f:      -2.02109E-01  2.36461E+00 21.0
    129 16 14  311  11 3s2 3p 7d       -2.01360E-01  2.36536E+00  9.0
    130 16 14  131   7 3s2 3p 7d       -1.99670E-01  2.36705E+00  7.0
    131 16 14  111  10 3s2 3p 7d:      -1.98466E-01  2.36825E+00  3.0
    132 16 14  311  12 3s2 3p 8s       -1.97229E-01  2.36949E+00  9.0
    133 16 14  111  11 3s2 3p 8s       -1.95312E-01  2.37141E+00  3.0
    134 16 14  130   5 3s2 3p 7f       -1.90248E-01  2.37647E+00  7.0
    135 16 14  140   5 3s2 3p 7f       -1.86595E-01  2.38013E+00  9.0
    136 16 14  120  12 3s2 3p 7f       -1.86062E-01  2.38066E+00  5.0
    137 16 14  340   5 3s2 3p 7f       -1.85265E-01  2.38145E+00 27.0
    138 16 14  141   3 3s2 3p 7g       -1.85133E-01  2.38159E+00  9.0
    139 16 14  341   3 3s2 3p 7g       -1.85112E-01  2.38161E+00 27.0
    140 16 14  320  12 3s2 3p 7f       -1.84882E-01  2.38184E+00 15.0
    141 16 14  351   3 3s2 3p 7g       -1.83909E-01  2.38281E+00 33.0
    142 16 14  151   3 3s2 3p 7g       -1.83807E-01  2.38291E+00 11.0
    143 16 14  331   8 3s2 3p 7g       -1.83561E-01  2.38316E+00 21.0
    144 16 14  131   8 3s2 3p 7g       -1.83482E-01  2.38324E+00  7.0
    145 16 14  110   6 3s2 3p 8p       -1.83467E-01  2.38325E+00  3.0
    146 16 14  320  13 3s2 3p 8p       -1.80964E-01  2.38576E+00 15.0
    147 16 14  300   6 3s2 3p 8p       -1.80078E-01  2.38664E+00  3.0
    148 16 14  310  10 3s2 3p 8p       -1.79572E-01  2.38715E+00  9.0
    149 16 14  120  13 3s2 3p 8p       -1.76618E-01  2.39010E+00  5.0
    150 16 14  100   7 3s2 3p 8p       -1.73675E-01  2.39304E+00  1.0
    151 16 14  330   7 3s 3p2(2PE) 3d: -1.63753E-01  2.40297E+00 21.0
    152 16 14  331   9 3s2 3p 8d       -1.59037E-01  2.40768E+00 21.0
    153 16 14  121   7 3s2 3p 8d       -1.55394E-01  2.41133E+00  5.0
    154 16 14  321   8 3s2 3p 8d       -1.53578E-01  2.41314E+00 15.0
    155 16 14  311  13 3s2 3p 8d       -1.52637E-01  2.41408E+00  9.0
    156 16 14  131   9 3s2 3p 8d       -1.52357E-01  2.41436E+00  7.0
    157 16 14  111  12 3s2 3p 8d:      -1.50934E-01  2.41579E+00  3.0
    158 16 14  311  14 3s2 3p 9s       -1.49659E-01  2.41706E+00  9.0
    159 16 14  111  13 3s2 3p 9s       -1.48500E-01  2.41822E+00  3.0
    160 16 14  320  14 3s2 3p 8f       -1.47297E-01  2.41942E+00 15.0
    161 16 14  130   6 3s2 3p 8f       -1.45648E-01  2.42107E+00  7.0
    162 16 14  120  14 3s2 3p 8f       -1.43289E-01  2.42343E+00  5.0
    163 16 14  140   6 3s2 3p 8f       -1.42900E-01  2.42382E+00  9.0
    164 16 14  340   6 3s2 3p 8f       -1.41900E-01  2.42482E+00 27.0
    165 16 14  141   4 3s2 3p 8g       -1.41671E-01  2.42505E+00  9.0
    166 16 14  341   4 3s2 3p 8g       -1.41656E-01  2.42506E+00 27.0
    167 16 14  321   9 3s 3p2(2DE) 4p  -1.41045E-01  2.42567E+00 15.0
    168 16 14  351   4 3s2 3p 8g       -1.40815E-01  2.42590E+00 33.0
    169 16 14  151   4 3s2 3p 8g       -1.40739E-01  2.42598E+00 11.0
    170 16 14  331  10 3s2 3p 8g       -1.40645E-01  2.42607E+00 21.0
    171 16 14  110   7 3s2 3p 9p       -1.40549E-01  2.42617E+00  3.0
    172 16 14  131  10 3s2 3p 8g       -1.40533E-01  2.42619E+00  7.0
    173 16 14  320  15 3s2 3p 9p       -1.38812E-01  2.42791E+00 15.0
    174 16 14  300   7 3s2 3p 9p       -1.38429E-01  2.42829E+00  3.0
    175 16 14  310  11 3s2 3p 9p       -1.37994E-01  2.42873E+00  9.0
    176 16 14  331  11 3s 3p2(2DE) 4p  -1.37993E-01  2.42873E+00 21.0
    177 16 14  120  15 3s2 3p 9p       -1.36050E-01  2.43067E+00  5.0
    178 16 14  330   8 3s2 3p 8f:      -1.34751E-01  2.43197E+00 21.0
    179 16 14  100   8 3s2 3p 9p       -1.34031E-01  2.43269E+00  1.0
    180 16 14  121   8 3s2 3p 9d:      -1.22900E-01  2.44382E+00  5.0
    181 16 14  131  11 3s2 3p 9d:      -1.21844E-01  2.44488E+00  7.0
    182 16 14  321  10 3s2 3p 9d       -1.20220E-01  2.44650E+00 15.0
    183 16 14  311  15 3s2 3p 9d       -1.19720E-01  2.44700E+00  9.0
    184 16 14  320  16 3s2 3p 9f:      -1.19516E-01  2.44720E+00 15.0
    185 16 14  111  14 3s2 3p 9d:      -1.18845E-01  2.44788E+00  3.0
    186 16 14  121   9 3s 3p2(2DE) 4p  -1.18233E-01  2.44849E+00  5.0
    187 16 14  331  12 3s2 3p 9d       -1.17687E-01  2.44903E+00 21.0
    188 16 14  311  16 3s2 3p10s       -1.17501E-01  2.44922E+00  9.0
    189 16 14  111  15 3s2 3p10s       -1.16737E-01  2.44998E+00  3.0
    190 16 14  130   7 3s2 3p 9f       -1.14989E-01  2.45173E+00  7.0
    191 16 14  120  16 3s2 3p 9f       -1.13589E-01  2.45313E+00  5.0
    192 16 14  140   7 3s2 3p 9f       -1.12885E-01  2.45384E+00  9.0
    193 16 14  340   7 3s2 3p 9f       -1.12097E-01  2.45462E+00 27.0
    194 16 14  141   5 3s2 3p 9g       -1.11876E-01  2.45484E+00  9.0
    195 16 14  341   5 3s2 3p 9g       -1.11866E-01  2.45485E+00 27.0
    196 16 14  351   5 3s2 3p 9g       -1.11262E-01  2.45546E+00 33.0
    197 16 14  151   5 3s2 3p 9g       -1.11203E-01  2.45552E+00 11.0
    198 16 14  131  12 3s2 3p 9g       -1.11139E-01  2.45558E+00  7.0
    199 16 14  110   8 3s2 3p10p       -1.11116E-01  2.45560E+00  3.0
    200 16 14  331  13 3s2 3p 9g       -1.11074E-01  2.45565E+00 21.0
    201 16 14  300   8 3s2 3p10p       -1.09841E-01  2.45688E+00  3.0
    202 16 14  320  17 3s2 3p10p       -1.09827E-01  2.45689E+00 15.0
    203 16 14  330   9 3s2 3p 9f       -1.09601E-01  2.45712E+00 21.0
    204 16 14  310  12 3s2 3p10p       -1.09351E-01  2.45737E+00  9.0
    205 16 14  120  17 3s2 3p10p       -1.07954E-01  2.45877E+00  5.0
    206 16 14  100   9 3s2 3p10p       -1.06899E-01  2.45982E+00  1.0
    207 16 14  131  13 3s 3p2(2DE) 4p  -1.06401E-01  2.46032E+00  7.0
    208 16 14  311  17 3s 3p2(2DE) 4p  -9.99036E-02  2.46682E+00  9.0
    209 16 14  320  18 3s2 3p10f:      -9.97921E-02  2.46693E+00 15.0
    210 16 14  121  10 3s2 3p10d       -9.72167E-02  2.46950E+00  5.0
    211 16 14  321  11 3s2 3p10d       -9.66604E-02  2.47006E+00 15.0
    212 16 14  111  16 3s2 3p10d:      -9.65360E-02  2.47018E+00  3.0
    213 16 14  331  14 3s2 3p10d       -9.57568E-02  2.47096E+00 21.0
    214 16 14  311  18 3s2 3p10d       -9.54716E-02  2.47125E+00  9.0
    215 16 14  100  10 3s 3p2(2DE) 3d: -9.48595E-02  2.47186E+00  1.0
    216 16 14  111  17 3s2 3p11s       -9.42020E-02  2.47252E+00  3.0
    217 16 14  311  19 3s2 3p11s       -9.37790E-02  2.47294E+00  9.0
    218 16 14  130   8 3s2 3p10f       -9.30449E-02  2.47368E+00  7.0
    219 16 14  131  14 3s2 3p10d       -9.26192E-02  2.47410E+00  7.0
