 3d10            1S       1     0.00000   ASD
 3d9.4s          3D       7    54.52198   ASD
 3d9.4s          3D       5    54.81545   ASD
 3d9.4s          3D       3    55.39179   ASD
 3d9.4s          1D       5    55.83045   ASD
 3d9.4p          3Po      5    69.27021   ASD
 3d9.4p          3Fo      7    69.87941   ASD
 3d9.4p          3Po      3    70.13041   ASD
 3d9.4p          3Fo      9    70.43765   ASD
 3d9.4p          3Fo      5    70.48953   ASD
 3d9.4p          3Po      1    70.64334   ASD
 3d9.4p          1Do      5    71.30455   ASD
 3d9.4p          1Fo      7    71.35941   ASD
 3d9.4p          1Po      3    71.69634   ASD
 3d9.4p          3Do      7    71.70873   ASD
 3d9.4p          3Do      3    72.09494   ASD
 3d9.4p          3Do      5    72.25216   ASD
 3d9.5p          1Po      3   110.25      ASD
 3d9.5p          3Do      3   110.85      ASD
 3d9.5p          3Do      5   110.85      ASD
 3d9.5p          3Do      7   110.85      ASD
 3d9.4f          3Po      3   112.14      ASD
 3d9.4f          3Po      1   112.14      ASD
 3d9.4f          3Po      5   112.14      ASD
 3d9.4f          1Po      3   112.71      ASD
 3d9.4f          3Do      3   113.73      ASD
 3d9.4f          3Do      5   113.73      ASD
 3d9.4f          3Do      7   113.73      ASD
 3d9.5f          1Po      3   128.14      ASD
 3d9.5f          3Do      3   129.06      ASD
 3d9.5f          3Do      5   129.06      ASD
 3d9.5f          3Do      7   129.06      ASD
 3d9.6f          1Po      3   136.5       ASD
 3d9.6f          3Do      3   137.4       ASD
 3d9.6f          3Do      5   137.4       ASD
 3d9.6f          3Do      7   137.4       ASD
 3d9.7f          1Po      3   141.55      ASD
 3d9.7f          3Do      3   142.38      ASD
 3d9.7f          3Do      5   142.38      ASD
 3d9.7f          3Do      7   142.38      ASD
 3d9.8f          1Po      3   144.79      ASD
 3d9.8f          3Do      3   145.64      ASD
 3d9.8f          3Do      5   145.64      ASD
 3d9.8f          3Do      7   145.64      ASD
 3d9.(2D<5/2>)   Limit        155.39      ASD
