 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
      1 14 14  310   1 3s2 3p2         -6.01293E-01  0.00000E+00  9.0
      2 14 14  120   1 3s2 3p2         -5.43261E-01  5.80320E-02  5.0
      3 14 14  100   1 3s2 3p2         -4.54321E-01  1.46972E-01  1.0
      4 14 14  501   1 3s 3p3          -3.15898E-01  2.85395E-01  5.0
      5 14 14  311   1 3s2 3p 4s       -2.37556E-01  3.63737E-01  9.0
      6 14 14  111   1 3s2 3p 4s       -2.25526E-01  3.75767E-01  3.0
      7 14 14  321   1 3s 3p3          -1.98116E-01  4.03177E-01 15.0
      8 14 14  121   1 3s2 3p 3d       -1.76389E-01  4.24904E-01  5.0
      9 14 14  110   1 3s2 3p 4p       -1.66954E-01  4.34339E-01  3.0
     10 14 14  320   1 3s2 3p 4p       -1.59109E-01  4.42184E-01 15.0
     11 14 14  331   1 3s2 3p 3d       -1.50363E-01  4.50930E-01 21.0
     12 14 14  300   1 3s2 3p 4p       -1.48242E-01  4.53051E-01  3.0
     13 14 14  310   2 3s2 3p 4p       -1.47805E-01  4.53488E-01  9.0
     14 14 14  311   2 3s2 3p 3d       -1.45398E-01  4.55895E-01  9.0
     15 14 14  120   2 3s2 3p 4p       -1.37826E-01  4.63467E-01  5.0
     16 14 14  100   2 3s2 3p 4p       -1.23852E-01  4.77441E-01  1.0
     17 14 14  131   1 3s2 3p 3d       -1.16967E-01  4.84326E-01  7.0
     18 14 14  111   2 3s2 3p 3d       -1.15385E-01  4.85908E-01  3.0
     19 14 14  321   2 3s2 3p 3d       -1.09260E-01  4.92033E-01 15.0
     20 14 14  311   3 3s2 3p 5s       -1.04190E-01  4.97103E-01  9.0
     21 14 14  111   3 3s2 3p 5s       -1.00537E-01  5.00756E-01  3.0
     22 14 14  121   2 3s2 3p 4d       -8.63954E-02  5.14898E-01  5.0
     23 14 14  311   4 3s2 3p 4d       -8.55707E-02  5.15722E-01  9.0
     24 14 14  110   2 3s2 3p 5p       -8.22839E-02  5.19009E-01  3.0
     25 14 14  320   2 3s2 3p 5p       -7.97954E-02  5.21498E-01 15.0
     26 14 14  331   2 3s2 3p 4d       -7.74882E-02  5.23805E-01 21.0
     27 14 14  310   3 3s2 3p 5p       -7.64204E-02  5.24873E-01  9.0
     28 14 14  300   2 3s2 3p 5p       -7.62939E-02  5.24999E-01  3.0
     29 14 14  120   3 3s2 3p 5p       -7.28248E-02  5.28468E-01  5.0
     30 14 14  100   3 3s2 3p 5p       -6.76574E-02  5.33636E-01  1.0
     31 14 14  130   1 3s2 3p 4f       -6.42849E-02  5.37008E-01  7.0
     32 14 14  330   1 3s2 3p 4f       -6.42530E-02  5.37040E-01 21.0
     33 14 14  111   4 3s2 3p 4d       -6.42151E-02  5.37078E-01  3.0
     34 14 14  131   2 3s2 3p 4d       -6.40988E-02  5.37194E-01  7.0
     35 14 14  321   3 3s2 3p 4d       -6.29674E-02  5.38326E-01 15.0
     36 14 14  340   1 3s2 3p 4f       -6.28758E-02  5.38417E-01 27.0
     37 14 14  140   1 3s2 3p 4f       -6.27923E-02  5.38501E-01  9.0
     38 14 14  320   3 3s2 3p 4f       -6.22423E-02  5.39051E-01 15.0
     39 14 14  120   4 3s2 3p 4f       -6.22111E-02  5.39082E-01  5.0
     40 14 14  311   5 3s2 3p 6s       -5.91633E-02  5.42130E-01  9.0
     41 14 14  111   5 3s2 3p 6s       -5.75050E-02  5.43788E-01  3.0
     42 14 14  311   6 3s2 3p 5d       -5.46161E-02  5.46677E-01  9.0
     43 14 14  121   3 3s2 3p 5d       -5.16433E-02  5.49650E-01  5.0
     44 14 14  110   3 3s2 3p 6p       -4.93079E-02  5.51985E-01  3.0
     45 14 14  320   4 3s2 3p 6p       -4.82574E-02  5.53036E-01 15.0
     46 14 14  331   3 3s2 3p 5d       -4.74261E-02  5.53867E-01 21.0
     47 14 14  300   3 3s2 3p 6p       -4.67570E-02  5.54536E-01  3.0
     48 14 14  310   4 3s2 3p 6p       -4.66944E-02  5.54599E-01  9.0
     49 14 14  120   5 3s2 3p 6p       -4.50486E-02  5.56244E-01  5.0
     50 14 14  100   4 3s2 3p 6p       -4.26130E-02  5.58680E-01  1.0
     51 14 14  111   6 3s2 3p 5d       -4.10036E-02  5.60289E-01  3.0
     52 14 14  130   2 3s2 3p 5f       -4.09155E-02  5.60378E-01  7.0
     53 14 14  330   2 3s2 3p 5f       -4.08917E-02  5.60401E-01 21.0
     54 14 14  131   3 3s2 3p 5d       -4.07478E-02  5.60545E-01  7.0
     55 14 14  321   4 3s2 3p 5d       -4.04961E-02  5.60797E-01 15.0
     56 14 14  141   1 3s2 3p 5g       -4.03025E-02  5.60991E-01  9.0
     57 14 14  341   1 3s2 3p 5g       -4.03023E-02  5.60991E-01 27.0
     58 14 14  340   2 3s2 3p 5f       -4.02601E-02  5.61033E-01 27.0
     59 14 14  140   2 3s2 3p 5f       -4.01980E-02  5.61095E-01  9.0
     60 14 14  351   1 3s2 3p 5g       -3.99974E-02  5.61296E-01 33.0
     61 14 14  151   1 3s2 3p 5g       -3.99965E-02  5.61297E-01 11.0
     62 14 14  320   5 3s2 3p 5f       -3.99328E-02  5.61360E-01 15.0
     63 14 14  120   6 3s2 3p 5f       -3.99118E-02  5.61381E-01  5.0
     64 14 14  331   4 3s2 3p 5g       -3.99105E-02  5.61383E-01 21.0
     65 14 14  131   4 3s2 3p 5g       -3.99073E-02  5.61386E-01  7.0
     66 14 14  311   7 3s2 3p 7s       -3.81953E-02  5.63098E-01  9.0
     67 14 14  111   7 3s2 3p 7s       -3.73096E-02  5.63983E-01  3.0
     68 14 14  311   8 3s2 3p 6d:      -3.69510E-02  5.64342E-01  9.0
