   hvEV     ShapeJV   ShapeJVTD  ShaJVTD10  ShaJVTD10i   KappaD
 1703.848  .2507E-03  .1427E-03  .4030E-06  .4615E-06    .0000
 1704.033  .2493E-03  .1535E-03  .4658E-06  .5201E-06    .0001
 1704.218  .2529E-03  .1642E-03  .5332E-06  .5822E-06    .0001
 1704.404  .2527E-03  .1749E-03  .6047E-06  .6475E-06    .0001
 1704.589  .2610E-03  .1854E-03  .6798E-06  .7156E-06    .0001
 1704.774  .2646E-03  .1957E-03  .7578E-06  .7862E-06    .0001
 1704.960  .2687E-03  .2058E-03  .8380E-06  .8587E-06    .0001
 1705.145  .2727E-03  .2156E-03  .9197E-06  .9328E-06    .0001
 1705.331  .2738E-03  .2251E-03  .1002E-05  .1008E-05    .0001
 1705.516  .2815E-03  .2342E-03  .1085E-05  .1084E-05    .0001
 1705.701  .2818E-03  .2429E-03  .1167E-05  .1160E-05    .0001
 1705.887  .2802E-03  .2512E-03  .1248E-05  .1236E-05    .0001
 1706.072  .2892E-03  .2591E-03  .1328E-05  .1311E-05    .0001
 1706.258  .2884E-03  .2666E-03  .1406E-05  .1386E-05    .0001
 1706.443  .2944E-03  .2737E-03  .1482E-05  .1460E-05    .0001
 1706.629  .3001E-03  .2805E-03  .1556E-05  .1533E-05    .0001
 1706.814  .3005E-03  .2868E-03  .1627E-05  .1605E-05    .0001
 1707.000  .3003E-03  .2929E-03  .1697E-05  .1675E-05    .0001
 1707.186  .3049E-03  .2987E-03  .1765E-05  .1745E-05    .0001
 1707.371  .3081E-03  .3042E-03  .1831E-05  .1813E-05    .0001
 1707.557  .3133E-03  .3095E-03  .1895E-05  .1880E-05    .0001
 1707.742  .3139E-03  .3146E-03  .1958E-05  .1946E-05    .0001
 1707.928  .3217E-03  .3196E-03  .2020E-05  .2012E-05    .0001
 1708.114  .3199E-03  .3244E-03  .2082E-05  .2077E-05    .0001
 1708.300  .3264E-03  .3291E-03  .2143E-05  .2142E-05    .0001
 1708.485  .3303E-03  .3338E-03  .2204E-05  .2207E-05    .0001
 1708.671  .3392E-03  .3384E-03  .2265E-05  .2272E-05    .0001
 1708.857  .3432E-03  .3430E-03  .2327E-05  .2338E-05    .0001
 1709.043  .3429E-03  .3476E-03  .2390E-05  .2404E-05    .0001
 1709.228  .3503E-03  .3522E-03  .2454E-05  .2472E-05    .0001
 1709.414  .3559E-03  .3569E-03  .2519E-05  .2541E-05    .0001
 1709.600  .3623E-03  .3616E-03  .2586E-05  .2612E-05    .0001
 1709.786  .3645E-03  .3664E-03  .2655E-05  .2684E-05    .0001
 1709.972  .3670E-03  .3713E-03  .2726E-05  .2758E-05    .0001
 1710.158  .3668E-03  .3762E-03  .2800E-05  .2835E-05    .0001
 1710.344  .3743E-03  .3813E-03  .2876E-05  .2914E-05    .0001
 1710.530  .3797E-03  .3866E-03  .2955E-05  .2996E-05    .0001
 1710.716  .3790E-03  .3919E-03  .3038E-05  .3081E-05    .0001
 1710.902  .3920E-03  .3974E-03  .3123E-05  .3169E-05    .0001
 1711.088  .3898E-03  .4030E-03  .3212E-05  .3261E-05    .0001
