n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
3,1,6,34.97,3.55E-01,2.64E-02,0.00E+00,1.00E+00,0.00E+00,R',133,Y,111,1
3,1,6,35.066,3.54E-01,8.82E-07,0.00E+00,9.89E-01,0.00E+00,R',333,Y,111,2
3,1,6,35.572,3.49E-01,3.13E-04,9.07E-03,3.33E-03,1.21E-04,A',234,S,212,3
3,1,6,35.572,3.49E-01,3.14E-04,9.17E-03,3.34E-03,6.13E-05,A',232,S,212,4
3,1,6,35.88,3.46E-01,6.68E-04,2.43E-03,5.17E-02,2.51E-04,I',232,S,212,5
3,1,6,35.881,3.46E-01,6.76E-04,2.37E-03,5.18E-02,4.91E-04,I',234,S,212,6
3,1,6,36.149,3.43E-01,1.54E-09,1.70E-06,5.53E-04,3.76E-09,I',474,S,212,7
3,1,6,36.372,3.41E-01,8.88E-03,8.64E-02,8.66E-02,2.99E-02,C',234,S,212,8
3,1,6,36.373,3.41E-01,8.89E-03,8.68E-02,8.64E-02,1.50E-02,C',232,S,212,9
3,1,6,36.458,3.40E-01,6.88E-07,2.63E-07,2.95E-03,3.10E-09,J',434,S,212,10
3,1,6,36.724,3.38E-01,1.84E-03,7.98E-03,1.78E-02,5.69E-04,F',234,P,232,11
3,1,6,36.724,3.38E-01,6.78E-03,9.45E-08,7.11E-02,1.34E-08,F',232,P,232,12
3,1,6,36.725,3.38E-01,8.43E-03,7.98E-03,8.17E-02,2.61E-03,F',234,P,234,13
3,1,6,36.726,3.38E-01,3.48E-03,9.45E-08,3.65E-02,6.90E-09,F',232,P,234,14
3,1,6,36.728,3.38E-01,1.01E-03,2.10E+00,4.64E-04,3.90E-03,F',254,P,232,15
3,1,6,36.729,3.38E-01,4.35E-04,2.10E+00,2.00E-04,1.68E-03,F',254,P,234,16
3,1,6,36.73,3.38E-01,1.48E-03,2.08E+00,6.85E-04,8.56E-03,F',256,P,234,17
3,1,6,36.881,3.36E-01,1.06E-06,1.03E-05,3.78E-02,1.56E-06,K',434,S,212,18
3,1,6,36.882,3.36E-01,3.22E-07,3.73E-06,1.57E-02,1.17E-07,K',432,S,212,19
3,1,6,36.916,3.36E-01,1.04E-02,1.11E-01,8.43E-02,1.87E-02,K',232,S,212,20
3,1,6,36.916,3.36E-01,1.04E-02,1.11E-01,8.41E-02,3.74E-02,K',234,S,212,21
3,1,6,36.95,3.36E-01,5.70E-03,1.10E-01,3.86E-02,8.52E-03,M',212,P,232,22
3,1,6,36.952,3.36E-01,1.14E-02,1.10E-01,7.71E-02,1.70E-02,M',212,P,234,23
3,1,6,36.986,3.35E-01,1.35E-02,1.74E+00,7.67E-03,5.34E-02,M',254,P,232,24
3,1,6,36.986,3.35E-01,1.63E-02,1.77E+00,9.10E-03,9.65E-02,M',256,P,234,25
3,1,6,36.988,3.35E-01,2.69E-03,1.74E+00,1.53E-03,1.06E-02,M',254,P,234,26
3,1,6,37.059,3.35E-01,1.13E-03,1.20E-03,6.85E-02,3.28E-04,G',254,P,232,27
3,1,6,37.06,3.35E-01,1.25E-03,2.47E-03,7.15E-02,1.06E-03,G',256,P,234,28
3,1,6,37.06,3.35E-01,2.38E-04,1.20E-03,1.44E-02,6.91E-05,G',254,P,234,29
3,1,6,37.064,3.35E-01,1.51E-06,6.22E-07,1.38E-03,3.43E-09,M',434,P,232,30
3,1,6,37.065,3.35E-01,3.54E-06,2.15E-04,2.62E-03,3.38E-06,M',436,P,234,31
3,1,6,37.066,3.35E-01,1.22E-06,7.54E-06,9.42E-04,2.84E-08,M',414,P,232,32
3,1,6,37.068,3.34E-01,6.72E-07,7.54E-06,5.19E-04,1.56E-08,M',414,P,234,33
3,1,6,37.17,3.34E-01,6.43E-03,6.09E-06,3.97E-01,4.83E-06,M',232,P,232,34
3,1,6,37.17,3.34E-01,1.62E-03,1.22E-06,9.98E-02,4.86E-07,M',234,P,232,35
3,1,6,37.171,3.34E-01,3.14E-03,6.09E-06,1.94E-01,2.36E-06,M',232,P,234,36
3,1,6,37.172,3.34E-01,7.87E-03,1.22E-06,4.85E-01,2.36E-06,M',234,P,234,37
3,1,6,37.18,3.33E-01,1.64E-05,2.70E-06,7.86E-03,8.49E-08,M',454,P,232,38
3,1,6,37.18,3.33E-01,2.54E-05,2.24E-08,1.26E-02,5.63E-10,M',452,P,232,39
3,1,6,37.182,3.33E-01,6.11E-05,2.70E-06,2.94E-02,3.17E-07,M',454,P,234,40
3,1,6,37.182,3.33E-01,1.34E-05,2.24E-08,6.64E-03,2.97E-10,M',452,P,234,41
3,1,6,37.49,3.31E-01,3.13E-04,1.84E+00,1.69E-04,6.22E-04,E',212,P,232,42
3,1,6,37.491,3.31E-01,6.13E-04,1.84E+00,3.31E-04,1.22E-03,E',212,P,234,43
3,1,6,37.554,3.30E-01,6.68E-04,2.00E-01,3.30E-03,2.64E-03,N',254,P,232,44
3,1,6,37.556,3.30E-01,1.32E-04,2.00E-01,6.52E-04,5.22E-04,N',254,P,234,45
3,1,6,37.556,3.30E-01,7.94E-04,2.00E-01,3.92E-03,4.71E-03,N',256,P,234,46
3,1,6,37.951,3.27E-01,5.39E-04,2.95E+00,1.83E-04,1.08E-03,L',212,P,232,47
3,1,6,37.952,3.27E-01,1.07E-03,2.95E+00,3.63E-04,2.14E-03,L',212,P,234,48
3,1,6,40.281,3.08E-01,9.07E-02,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,49
3,1,6,40.716,3.05E-01,2.99E-06,0.00E+00,9.97E-01,0.00E+00,R,333,Y,111,50
2,1,6,34.97,3.55E-01,2.64E-02,0.00E+00,1.00E+00,0.00E+00,R',133,Y,111,1
2,1,6,35.066,3.54E-01,8.82E-07,0.00E+00,9.89E-01,0.00E+00,R',333,Y,111,2
2,1,6,40.175,3.09E-01,1.84E-02,3.80E-01,4.21E-02,3.20E-02,F',212,P',232,3
2,1,6,40.176,3.09E-01,3.73E-02,3.80E-01,8.56E-02,6.50E-02,F',212,P',234,4
2,1,6,40.2,3.08E-01,8.12E-03,9.07E-03,8.65E-02,3.14E-03,A',234,D',254,5
2,1,6,40.201,3.08E-01,7.35E-02,9.07E-03,7.83E-01,2.84E-02,A',234,D',256,6
2,1,6,40.201,3.08E-01,8.17E-02,9.17E-03,8.68E-01,1.59E-02,A',232,D',254,7
2,1,6,40.244,3.08E-01,8.77E-03,2.43E-03,6.78E-01,3.29E-03,I',232,S',212,8
2,1,6,40.245,3.08E-01,8.92E-03,2.37E-03,6.84E-01,6.49E-03,I',234,S',212,9
2,1,6,40.281,3.08E-01,9.07E-02,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,10
2,1,6,40.414,3.07E-01,7.07E-02,4.68E-01,1.29E-01,3.62E-01,A',276,D',254,11
2,1,6,40.414,3.07E-01,7.96E-03,4.68E-01,1.45E-02,4.07E-02,A',276,D',256,12
2,1,6,40.415,3.07E-01,7.88E-02,4.69E-01,1.43E-01,5.38E-01,A',278,D',256,13
2,1,6,40.421,3.07E-01,8.65E-03,1.61E-03,9.36E-02,9.06E-04,A',256,D',254,14
2,1,6,40.421,3.07E-01,8.00E-02,1.61E-03,8.66E-01,8.38E-03,A',256,D',256,15
2,1,6,40.421,3.07E-01,7.99E-02,2.49E-10,8.80E-01,8.77E-10,A',254,D',254,16
2,1,6,40.421,3.07E-01,8.81E-03,2.49E-10,9.70E-02,9.67E-11,A',254,D',256,17
2,1,6,40.456,3.06E-01,6.35E-02,5.52E-01,1.03E-01,1.13E-01,B',232,S',212,18
2,1,6,40.457,3.06E-01,6.36E-02,5.35E-01,1.05E-01,2.26E-01,B',234,S',212,19
2,1,6,40.484,3.06E-01,1.09E-02,7.98E-03,1.05E-01,3.37E-03,F',234,P',232,20
2,1,6,40.484,3.06E-01,7.31E-02,7.98E-03,7.09E-01,2.26E-02,F',234,P',234,21
2,1,6,40.485,3.06E-01,5.65E-02,9.45E-08,5.92E-01,1.12E-07,F',232,P',232,22
2,1,6,40.486,3.06E-01,2.77E-02,9.45E-08,2.91E-01,5.49E-08,F',232,P',234,23
2,1,6,40.489,3.06E-01,6.19E-02,2.10E+00,2.85E-02,2.39E-01,F',254,P',232,24
2,1,6,40.49,3.06E-01,7.07E-02,2.08E+00,3.28E-02,4.10E-01,F',256,P',234,25
2,1,6,40.657,3.05E-01,9.41E-03,2.53E+00,3.70E-03,3.75E-02,J',234,S',212,26
2,1,6,40.716,3.05E-01,2.99E-06,0.00E+00,9.97E-01,0.00E+00,R,333,Y,111,27
2,1,6,40.759,3.04E-01,6.23E-03,1.10E-01,4.22E-02,9.32E-03,M',212,P',232,28
2,1,6,40.76,3.04E-01,1.31E-02,1.10E-01,8.89E-02,1.96E-02,M',212,P',234,29
2,1,6,40.791,3.04E-01,8.77E-03,2.64E-03,6.94E-01,1.47E-02,I',278,D',256,30
2,1,6,40.793,3.04E-01,8.33E-03,2.36E-03,6.64E-01,9.38E-03,I',276,D',254,31
2,1,6,40.793,3.04E-01,6.57E-04,2.36E-03,5.23E-02,7.39E-04,I',276,D',256,32
2,1,6,40.854,3.03E-01,1.01E-04,4.23E-07,9.46E-02,2.40E-07,I',256,D',256,33
2,1,6,40.854,3.03E-01,1.07E-04,1.07E-04,9.16E-02,3.92E-05,I',254,D',254,34
2,1,6,40.864,3.03E-01,3.55E-03,8.64E-02,3.46E-02,1.20E-02,C',234,S',212,35
2,1,6,40.864,3.03E-01,3.42E-03,8.68E-02,3.33E-02,5.78E-03,C',232,S',212,36
2,1,6,40.892,3.03E-01,1.06E-02,1.20E-03,6.43E-01,3.08E-03,G',254,P',232,37
2,1,6,40.892,3.03E-01,1.26E-02,2.47E-03,7.19E-01,1.07E-02,G',256,P',234,38
2,1,6,40.892,3.03E-01,2.16E-03,1.20E-03,1.31E-01,6.26E-04,G',254,P',234,39
2,1,6,40.898,3.03E-01,6.78E-05,2.15E-04,5.01E-02,6.48E-05,M',436,P',234,40
2,1,6,40.939,3.03E-01,1.10E-06,5.95E-06,1.51E-01,7.21E-06,I',478,D',256,41
2,1,6,40.939,3.03E-01,1.42E-06,3.53E-06,2.69E-01,5.71E-06,I',476,D',254,42
2,1,6,40.94,3.03E-01,9.01E-07,1.70E-06,3.23E-01,2.19E-06,I',474,D',254,43
2,1,6,40.94,3.03E-01,1.31E-07,1.70E-06,4.70E-02,3.19E-07,I',474,D',256,44
2,1,6,41.027,3.02E-01,4.12E-03,6.09E-06,2.54E-01,3.10E-06,M',232,P',232,45
2,1,6,41.027,3.02E-01,1.09E-03,1.22E-06,6.69E-02,3.26E-07,M',234,P',232,46
2,1,6,41.027,3.02E-01,1.98E-03,6.09E-06,1.22E-01,1.49E-06,M',232,P',234,47
2,1,6,41.028,3.02E-01,5.11E-03,1.22E-06,3.15E-01,1.53E-06,M',234,P',234,48
2,1,6,41.226,3.01E-01,3.20E-03,8.64E-02,3.12E-02,1.08E-02,C',234,D',256,49
2,1,6,41.227,3.01E-01,3.56E-03,8.68E-02,3.46E-02,6.01E-03,C',232,D',254,50
3,1,7,24.9,4.98E-01,5.28E-02,0.00E+00,1.00E+00,0.00E+00,R',133,Y,111,1
3,1,7,24.961,4.97E-01,4.32E-06,0.00E+00,9.98E-01,0.00E+00,R',333,Y,111,2
3,1,7,25.24,4.91E-01,5.51E-04,5.91E-03,3.09E-03,7.30E-05,A',234,S,212,3
3,1,7,25.24,4.91E-01,5.56E-04,6.03E-03,3.11E-03,3.75E-05,A',232,S,212,4
3,1,7,25.433,4.87E-01,1.41E-03,3.49E-03,5.58E-02,3.90E-04,I',232,S,212,5
3,1,7,25.434,4.87E-01,1.43E-03,3.43E-03,5.56E-02,7.64E-04,I',234,S,212,6
3,1,7,25.64,4.84E-01,2.41E-04,2.80E+00,8.52E-05,9.56E-04,J',234,S,212,7
3,1,7,25.642,4.84E-01,2.44E-04,2.78E+00,8.72E-05,4.84E-04,J',232,S,212,8
3,1,7,25.737,4.82E-01,1.85E-02,4.98E-02,2.26E-01,4.50E-02,C',234,S,212,9
3,1,7,25.738,4.82E-01,1.85E-02,4.95E-02,2.28E-01,2.26E-02,C',232,S,212,10
3,1,7,25.803,4.81E-01,2.82E-06,7.53E-06,4.78E-03,1.44E-07,J',434,S,212,11
3,1,7,25.803,4.81E-01,3.29E-07,1.54E-06,5.74E-04,1.76E-09,J',432,S,212,12
3,1,7,25.952,4.78E-01,3.97E-03,2.74E-02,1.80E-02,1.97E-03,F',234,P,232,13
3,1,7,25.953,4.78E-01,1.39E-02,4.46E-08,7.17E-02,6.39E-09,F',232,P,232,14
3,1,7,25.954,4.78E-01,1.72E-02,2.74E-02,7.78E-02,8.52E-03,F',234,P,234,15
3,1,7,25.955,4.78E-01,1.69E-03,2.46E+00,6.47E-04,6.37E-03,F',254,P,232,16
3,1,7,25.955,4.78E-01,7.28E-03,4.46E-08,3.75E-02,3.34E-09,F',232,P,234,17
3,1,7,25.957,4.78E-01,1.21E-03,2.46E+00,4.62E-04,4.55E-03,F',254,P,234,18
3,1,7,25.957,4.78E-01,2.89E-03,2.44E+00,1.12E-03,1.63E-02,F',256,P,234,19
3,1,7,26.053,4.76E-01,1.69E-05,8.72E-05,1.10E-01,3.86E-05,K',434,S,212,20
3,1,7,26.053,4.76E-01,5.55E-06,3.14E-05,6.79E-02,4.26E-06,K',432,S,212,21
3,1,7,26.066,4.76E-01,2.16E-02,1.19E-01,1.47E-01,3.52E-02,K',232,S,212,22
3,1,7,26.066,4.76E-01,2.16E-02,1.20E-01,1.47E-01,7.04E-02,K',234,S,212,23
3,1,7,26.083,4.75E-01,1.22E-02,1.23E-01,6.05E-02,1.49E-02,M',212,P,232,24
3,1,7,26.085,4.75E-01,2.42E-02,1.23E-01,1.20E-01,2.97E-02,M',212,P,234,25
3,1,7,26.119,4.75E-01,2.84E-02,1.89E+00,1.47E-02,1.11E-01,M',254,P,232,26
3,1,7,26.119,4.75E-01,3.44E-02,1.93E+00,1.74E-02,2.02E-01,M',256,P,234,27
3,1,7,26.121,4.75E-01,5.67E-03,1.89E+00,2.93E-03,2.22E-02,M',254,P,234,28
3,1,7,26.153,4.74E-01,2.24E-03,3.69E-03,6.09E-02,8.99E-04,G',254,P,232,29
3,1,7,26.154,4.74E-01,2.22E-03,9.29E-03,5.39E-02,3.01E-03,G',256,P,234,30
3,1,7,26.155,4.74E-01,4.78E-04,3.69E-03,1.30E-02,1.92E-04,G',254,P,234,31
