n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,6,33.569,3.69E-01,9.44E-08,5.10E-01,1.53E-07,7.79E-08,F,111,P,333,1
2,1,6,33.569,3.69E-01,0.00E+00,5.10E-01,0.00E+00,0.00E+00,F,111,P,331,2
2,1,6,33.734,3.68E-01,8.14E-02,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,6,33.74,3.67E-01,8.13E-02,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,4
2,1,6,33.805,3.67E-01,8.17E-07,1.44E+01,5.66E-08,2.44E-06,C,133,S,313,5
2,1,6,33.89,3.66E-01,1.08E-01,5.10E-01,1.75E-01,8.93E-02,F,111,P,133,6
2,1,6,34.312,3.61E-01,7.57E-02,1.44E+01,5.24E-03,2.26E-01,C,133,S,111,7
2,1,6,34.376,3.61E-01,1.18E-10,2.52E+01,4.65E-12,5.86E-10,F,155,P,333,8
2,1,6,34.378,3.61E-01,1.34E-05,2.52E+01,5.28E-07,6.65E-05,F,155,P,335,9
2,1,6,34.528,3.59E-01,7.11E-02,1.31E+00,5.15E-02,3.37E-01,C,335,S,313,10
2,1,6,34.531,3.59E-01,7.11E-02,1.31E+00,5.15E-02,2.02E-01,C,333,S,313,11
2,1,6,34.533,3.59E-01,7.10E-02,1.31E+00,5.15E-02,6.74E-02,C,331,S,313,12
2,1,6,34.589,3.58E-01,3.58E-02,3.08E-03,2.45E-01,3.77E-03,F,335,P,333,13
2,1,6,34.59,3.58E-01,1.07E-01,3.08E-03,7.34E-01,1.13E-02,F,335,P,335,14
2,1,6,34.591,3.58E-01,3.58E-02,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,15
2,1,6,34.592,3.58E-01,4.77E-02,0.00E+00,3.33E-01,0.00E+00,F,333,P,331,16
2,1,6,34.593,3.58E-01,5.96E-02,0.00E+00,4.17E-01,0.00E+00,F,333,P,335,17
2,1,6,34.593,3.58E-01,1.43E-01,2.31E-04,9.98E-01,2.31E-04,F,331,P,333,18
2,1,6,34.593,3.58E-01,0.00E+00,2.31E-04,0.00E+00,0.00E+00,F,331,P,331,19
2,1,6,34.712,3.57E-01,1.44E-01,2.52E+01,5.70E-03,7.18E-01,F,155,P,133,20
2,1,6,34.929,3.55E-01,9.85E-06,3.08E-03,6.74E-05,1.04E-06,F,335,P,133,21
2,1,6,34.932,3.55E-01,1.05E-06,0.00E+00,7.35E-06,0.00E+00,F,333,P,133,22
2,1,6,34.933,3.55E-01,2.10E-06,2.31E-04,1.46E-05,3.39E-09,F,331,P,133,23
2,1,6,35.061,3.54E-01,7.66E-07,1.31E+00,5.55E-07,2.18E-06,C,333,S,111,24
2,1,6,35.062,3.54E-01,0.00E+00,1.31E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,6,35.224,3.52E-01,5.00E-06,2.73E+01,1.83E-07,4.99E-06,E,111,P,333,26
2,1,6,35.224,3.52E-01,0.00E+00,2.73E+01,0.00E+00,0.00E+00,E,111,P,331,27
2,1,6,35.577,3.49E-01,3.01E-02,2.73E+01,1.10E-03,3.00E-02,E,111,P,133,28
2,1,7,24.667,5.03E-01,0.00E+00,6.51E-01,0.00E+00,0.00E+00,F,111,P,331,1
2,1,7,24.667,5.03E-01,4.12E-07,6.51E-01,4.81E-07,3.13E-07,F,111,P,333,2
2,1,7,24.779,5.00E-01,1.51E-01,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,7,24.785,5.00E-01,1.51E-01,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,4
2,1,7,24.814,5.00E-01,3.69E-06,1.52E+01,2.41E-07,1.10E-05,C,133,S,313,5
2,1,7,24.885,4.98E-01,2.05E-01,6.51E-01,2.40E-01,1.56E-01,F,111,P,133,6
2,1,7,25.147,4.93E-01,1.42E-01,1.52E+01,9.26E-03,4.21E-01,C,133,S,111,7
2,1,7,25.181,4.92E-01,2.77E-08,2.68E+01,1.02E-09,1.37E-07,F,155,P,333,8
2,1,7,25.183,4.92E-01,5.70E-05,2.68E+01,2.11E-06,2.82E-04,F,155,P,335,9
2,1,7,25.282,4.90E-01,1.34E-01,1.32E+00,9.26E-02,6.09E-01,C,335,S,313,10
2,1,7,25.286,4.90E-01,1.34E-01,1.32E+00,9.25E-02,3.65E-01,C,333,S,313,11
2,1,7,25.287,4.90E-01,1.34E-01,1.32E+00,9.25E-02,1.22E-01,C,331,S,313,12
2,1,7,25.324,4.90E-01,6.75E-02,7.42E-03,2.43E-01,9.03E-03,F,335,P,333,13
2,1,7,25.326,4.90E-01,2.02E-01,7.42E-03,7.30E-01,2.71E-02,F,335,P,335,14
2,1,7,25.327,4.90E-01,8.99E-02,0.00E+00,3.33E-01,0.00E+00,F,333,P,331,15
2,1,7,25.327,4.90E-01,6.74E-02,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,16
2,1,7,25.329,4.90E-01,0.00E+00,6.00E-04,0.00E+00,0.00E+00,F,331,P,331,17
2,1,7,25.329,4.90E-01,2.70E-01,6.00E-04,9.98E-01,5.99E-04,F,331,P,333,18
2,1,7,25.329,4.90E-01,1.12E-01,0.00E+00,4.17E-01,0.00E+00,F,333,P,335,19
2,1,7,25.408,4.88E-01,2.72E-01,2.68E+01,1.00E-02,1.35E+00,F,155,P,133,20
2,1,7,25.554,4.85E-01,4.11E-05,7.42E-03,1.48E-04,5.50E-06,F,335,P,133,21
2,1,7,25.557,4.85E-01,4.82E-06,0.00E+00,1.79E-05,0.00E+00,F,333,P,133,22
2,1,7,25.558,4.85E-01,9.54E-06,6.00E-04,3.53E-05,2.12E-08,F,331,P,133,23
2,1,7,25.632,4.84E-01,3.48E-06,1.32E+00,2.40E-06,9.47E-06,C,333,S,111,24
2,1,7,25.633,4.84E-01,0.00E+00,1.32E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,7,25.726,4.82E-01,0.00E+00,2.82E+01,0.00E+00,0.00E+00,E,111,P,331,26
2,1,7,25.726,4.82E-01,2.38E-05,2.82E+01,8.43E-07,2.38E-05,E,111,P,333,27
2,1,7,25.963,4.78E-01,5.69E-02,2.82E+01,2.01E-03,5.68E-02,E,111,P,133,28
2,1,8,18.888,6.56E-01,0.00E+00,7.74E-01,0.00E+00,0.00E+00,F,111,P,331,1
2,1,8,18.888,6.56E-01,1.50E-06,7.74E-01,1.32E-06,1.02E-06,F,111,P,333,2
2,1,8,18.967,6.54E-01,2.57E-01,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,8,18.973,6.54E-01,2.57E-01,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,4
2,1,8,18.985,6.53E-01,1.37E-05,1.57E+01,8.55E-07,4.04E-05,C,133,S,313,5
2,1,8,19.042,6.51E-01,3.57E-01,7.74E-01,3.16E-01,2.44E-01,F,111,P,133,6
2,1,8,19.216,6.45E-01,2.44E-01,1.57E+01,1.52E-02,7.20E-01,C,133,S,111,7
2,1,8,19.236,6.45E-01,2.31E-07,2.80E+01,8.11E-09,1.14E-06,F,155,P,333,8
2,1,8,19.238,6.44E-01,2.05E-04,2.80E+01,7.19E-06,1.01E-03,F,155,P,335,9
2,1,8,19.306,6.42E-01,2.33E-01,1.32E+00,1.50E-01,9.89E-01,C,335,S,313,10
2,1,8,19.309,6.42E-01,2.32E-01,1.32E+00,1.49E-01,5.93E-01,C,333,S,313,11
2,1,8,19.311,6.42E-01,2.32E-01,1.32E+00,1.49E-01,1.98E-01,C,331,S,313,12
2,1,8,19.335,6.41E-01,1.17E-01,1.61E-02,2.42E-01,1.95E-02,F,335,P,333,13
2,1,8,19.337,6.41E-01,3.50E-01,1.61E-02,7.24E-01,5.84E-02,F,335,P,335,14
2,1,8,19.338,6.41E-01,1.56E-01,0.00E+00,3.33E-01,0.00E+00,F,333,P,331,15
2,1,8,19.338,6.41E-01,1.17E-01,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,16
2,1,8,19.34,6.41E-01,0.00E+00,1.36E-03,0.00E+00,0.00E+00,F,331,P,331,17
2,1,8,19.34,6.41E-01,4.67E-01,1.36E-03,9.97E-01,1.36E-03,F,331,P,333,18
2,1,8,19.34,6.41E-01,1.94E-01,0.00E+00,4.17E-01,0.00E+00,F,333,P,335,19
2,1,8,19.396,6.39E-01,4.69E-01,2.80E+01,1.65E-02,2.31E+00,F,155,P,133,20
2,1,8,19.497,6.36E-01,1.45E-04,1.61E-02,3.01E-04,2.43E-05,F,335,P,133,21
2,1,8,19.5,6.36E-01,1.81E-05,0.00E+00,3.87E-05,0.00E+00,F,333,P,133,22
2,1,8,19.502,6.36E-01,3.55E-05,1.36E-03,7.59E-05,1.03E-07,F,331,P,133,23
2,1,8,19.548,6.34E-01,1.29E-05,1.32E+00,8.33E-06,3.30E-05,C,333,S,111,24
2,1,8,19.549,6.34E-01,0.00E+00,1.32E+00,0.00E+00,0.00E+00,C,331,S,111,25
2,1,8,19.606,6.32E-01,0.00E+00,2.90E+01,0.00E+00,0.00E+00,E,111,P,331,26
2,1,8,19.606,6.32E-01,9.18E-05,2.90E+01,3.16E-06,9.15E-05,E,111,P,333,27
2,1,8,19.773,6.27E-01,9.85E-02,2.90E+01,3.39E-03,9.81E-02,E,111,P,133,28
2,1,9,14.924,8.31E-01,0.00E+00,8.83E-01,0.00E+00,0.00E+00,F,111,P,331,1
2,1,9,14.925,8.31E-01,4.68E-06,8.83E-01,3.20E-06,2.82E-06,F,111,P,333,2
2,1,9,14.982,8.28E-01,4.13E-01,0.00E+00,1.00E+00,0.00E+00,R,234,Y,212,3
2,1,9,14.988,8.27E-01,4.12E-01,0.00E+00,1.00E+00,0.00E+00,R,232,Y,212,4
2,1,9,14.993,8.27E-01,4.35E-05,1.62E+01,2.62E-06,1.27E-04,C,133,S,313,5
2,1,9,15.038,8.24E-01,5.81E-01,8.83E-01,3.97E-01,3.50E-01,F,111,P,133,6
2,1,9,15.159,8.18E-01,3.93E-01,1.62E+01,2.36E-02,1.15E+00,C,133,S,111,7
2,1,9,15.17,8.17E-01,1.02E-06,2.90E+01,3.44E-08,4.99E-06,F,155,P,333,8
2,1,9,15.173,8.17E-01,6.41E-04,2.90E+01,2.16E-05,3.12E-03,F,155,P,335,9
2,1,9,15.221,8.15E-01,3.77E-01,1.33E+00,2.21E-01,1.47E+00,C,335,S,313,10
2,1,9,15.225,8.14E-01,3.77E-01,1.33E+00,2.21E-01,8.80E-01,C,333,S,313,11
2,1,9,15.226,8.14E-01,3.77E-01,1.33E+00,2.21E-01,2.93E-01,C,331,S,313,12
2,1,9,15.243,8.13E-01,1.89E-01,3.23E-02,2.40E-01,3.88E-02,F,335,P,333,13
2,1,9,15.245,8.13E-01,5.66E-01,3.23E-02,7.18E-01,1.16E-01,F,335,P,335,14
2,1,9,15.245,8.13E-01,2.52E-01,0.00E+00,3.33E-01,0.00E+00,F,333,P,331,15
2,1,9,15.246,8.13E-01,1.89E-01,0.00E+00,2.50E-01,0.00E+00,F,333,P,333,16
2,1,9,15.247,8.13E-01,0.00E+00,2.77E-03,0.00E+00,0.00E+00,F,331,P,331,17
2,1,9,15.247,8.13E-01,7.55E-01,2.77E-03,9.96E-01,2.76E-03,F,331,P,333,18
2,1,9,15.248,8.13E-01,3.15E-01,0.00E+00,4.17E-01,0.00E+00,F,333,P,335,19
2,1,9,15.287,8.11E-01,7.59E-01,2.90E+01,2.55E-02,3.70E+00,F,155,P,133,20
