n1,n2,Z,"WL,  ̊A","E, keV",A,G,K,QD,,Transition,,,No
2,1,6,40.281,3.08E-01,9.07E-02,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,6,40.71,3.05E-01,1.13E-02,4.48E-01,2.35E-02,2.10E-02,F,212,P,232,2
2,1,6,40.712,3.05E-01,2.31E-02,4.48E-01,4.79E-02,4.29E-02,F,212,P,234,3
2,1,6,40.716,3.05E-01,2.99E-06,0.00E+00,9.97E-01,0.00E+00,R,333,Y,111,4
2,1,6,40.875,3.03E-01,7.99E-03,5.76E+00,1.39E-03,1.60E-02,C,232,S,212,5
2,1,6,40.876,3.03E-01,7.70E-03,5.78E+00,1.33E-03,3.07E-02,C,234,S,212,6
2,1,6,41.36,3.00E-01,7.18E-02,7.26E-01,9.00E-02,2.61E-01,K,234,S,212,7
2,1,6,41.361,3.00E-01,7.15E-02,7.51E-01,8.69E-02,1.31E-01,K,232,S,212,8
2,1,6,41.437,2.99E-01,1.90E-02,1.28E-03,1.59E-01,8.17E-04,M,234,P,232,9
2,1,6,41.439,2.99E-01,9.92E-02,1.28E-03,8.30E-01,4.26E-03,M,234,P,234,10
2,1,6,41.439,2.99E-01,7.90E-02,8.38E-07,6.68E-01,1.12E-06,M,232,P,232,11
2,1,6,41.441,2.99E-01,3.93E-02,8.38E-07,3.32E-01,5.56E-07,M,232,P,234,12
2,1,6,41.465,2.99E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,13
2,1,6,41.562,2.98E-01,3.39E-02,7.56E+00,4.46E-03,1.35E-01,F,254,P,232,14
2,1,6,41.564,2.98E-01,6.00E-03,7.56E+00,7.89E-04,2.39E-02,F,254,P,234,15
2,1,6,41.567,2.98E-01,3.99E-02,7.56E+00,5.24E-03,2.38E-01,F,256,P,234,16
2,1,6,41.987,2.95E-01,5.60E-08,2.64E-06,1.66E-02,1.76E-07,M,434,P,232,17
2,1,6,41.989,2.95E-01,3.14E-07,8.28E-09,9.44E-01,1.56E-08,M,432,P,232,18
2,1,6,41.989,2.95E-01,8.12E-07,1.59E-04,5.09E-03,4.85E-06,M,436,P,234,19
2,1,6,41.989,2.95E-01,6.63E-07,2.64E-06,1.97E-01,2.08E-06,M,434,P,234,20
2,1,6,41.991,2.95E-01,4.49E-10,8.28E-09,1.35E-03,2.23E-11,M,432,P,234,21
2,1,6,42.15,2.94E-01,4.63E-07,7.30E-07,3.85E-01,1.12E-06,K,434,S,212,22
2,1,6,42.15,2.94E-01,1.75E-07,2.29E-07,4.23E-01,1.94E-07,K,432,S,212,23
2,1,6,43.792,2.83E-01,1.24E-03,9.82E+00,1.27E-04,2.49E-03,E,212,P,232,24
2,1,6,43.794,2.83E-01,2.48E-03,9.82E+00,2.52E-04,4.95E-03,E,212,P,234,25
2,1,7,28.793,4.31E-01,1.84E-01,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,7,29.06,4.27E-01,2.33E-02,6.58E-01,3.19E-02,4.20E-02,F,212,P,232,2
2,1,7,29.062,4.27E-01,4.83E-02,6.58E-01,6.62E-02,8.72E-02,F,212,P,234,3
2,1,7,29.079,4.26E-01,1.42E-05,0.00E+00,9.99E-01,0.00E+00,R,333,Y,111,4
2,1,7,29.155,4.25E-01,1.66E-02,6.46E+00,2.56E-03,3.31E-02,C,232,S,212,5
2,1,7,29.156,4.25E-01,1.55E-02,6.51E+00,2.38E-03,6.20E-02,C,234,S,212,6
2,1,7,29.442,4.21E-01,1.49E-01,6.82E-01,1.79E-01,4.89E-01,K,234,S,212,7
2,1,7,29.444,4.21E-01,1.48E-01,7.27E-01,1.69E-01,2.46E-01,K,232,S,212,8
2,1,7,29.495,4.20E-01,3.87E-02,3.40E-03,1.56E-01,2.12E-03,M,234,P,232,9
2,1,7,29.498,4.20E-01,2.06E-01,3.40E-03,8.30E-01,1.13E-02,M,234,P,234,10
2,1,7,29.498,4.20E-01,1.64E-01,4.99E-06,6.69E-01,6.67E-06,M,232,P,232,11
2,1,7,29.5,4.20E-01,8.10E-02,4.99E-06,3.31E-01,3.30E-06,M,232,P,234,12
2,1,7,29.533,4.20E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,13
2,1,7,29.583,4.19E-01,7.06E-02,8.85E+00,7.91E-03,2.80E-01,F,254,P,232,14
2,1,7,29.586,4.19E-01,1.17E-02,8.85E+00,1.31E-03,4.64E-02,F,254,P,234,15
2,1,7,29.588,4.19E-01,8.22E-02,8.85E+00,9.21E-03,4.89E-01,F,256,P,234,16
2,1,7,29.873,4.15E-01,1.71E-07,1.29E-05,1.06E-02,5.44E-07,M,434,P,232,17
2,1,7,29.875,4.15E-01,1.60E-06,2.09E-09,9.85E-01,4.13E-09,M,432,P,232,18
2,1,7,29.875,4.15E-01,3.97E-06,4.40E-04,8.95E-03,2.36E-05,M,436,P,234,19
2,1,7,29.876,4.15E-01,3.09E-06,1.29E-05,1.91E-01,9.87E-06,M,434,P,234,20
2,1,7,29.877,4.15E-01,1.24E-08,2.09E-09,7.64E-03,3.20E-11,M,432,P,234,21
2,1,7,29.954,4.14E-01,2.39E-06,3.97E-06,3.75E-01,5.96E-06,K,434,S,212,22
2,1,7,29.954,4.14E-01,9.13E-07,6.18E-08,9.27E-01,1.15E-07,K,432,S,212,23
2,1,7,30.955,4.01E-01,2.57E-03,1.05E+01,2.43E-04,5.14E-03,E,212,P,232,24
2,1,7,30.958,4.01E-01,5.09E-03,1.05E+01,4.82E-04,1.02E-02,E,212,P,234,25
2,1,8,21.605,5.74E-01,3.35E-01,0.00E+00,1.00E+00,0.00E+00,R,133,Y,111,1
2,1,8,21.781,5.69E-01,4.27E-02,8.44E-01,4.37E-02,7.37E-02,F,212,P,232,2
2,1,8,21.784,5.69E-01,9.05E-02,8.44E-01,9.26E-02,1.56E-01,F,212,P,234,3
2,1,8,21.802,5.69E-01,5.48E-05,0.00E+00,1.00E+00,0.00E+00,R,333,Y,111,4
2,1,8,21.842,5.68E-01,2.80E-02,7.09E+00,3.93E-03,1.11E-01,C,234,S,212,5
2,1,8,21.842,5.68E-01,3.10E-02,7.01E+00,4.40E-03,6.17E-02,C,232,S,212,6
2,1,8,22.025,5.63E-01,2.76E-01,6.42E-01,3.01E-01,7.72E-01,K,234,S,212,7
2,1,8,22.027,5.63E-01,2.73E-01,7.15E-01,2.76E-01,3.95E-01,K,232,S,212,8
2,1,8,22.062,5.62E-01,7.00E-02,8.02E-03,1.52E-01,4.87E-03,M,234,P,232,9
2,1,8,22.065,5.62E-01,3.83E-01,8.02E-03,8.31E-01,2.67E-02,M,234,P,234,10
2,1,8,22.065,5.62E-01,3.03E-01,1.90E-05,6.70E-01,2.55E-05,M,232,P,232,11
2,1,8,22.068,5.62E-01,1.49E-01,1.90E-05,3.30E-01,1.25E-05,M,232,P,234,12
2,1,8,22.097,5.61E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,T,313,Y,111,13
2,1,8,22.125,5.60E-01,1.32E-01,9.87E+00,1.32E-02,5.21E-01,F,254,P,232,14
2,1,8,22.128,5.60E-01,2.01E-02,9.87E+00,2.00E-03,7.90E-02,F,254,P,234,15
2,1,8,22.13,5.60E-01,1.52E-01,9.88E+00,1.51E-02,8.98E-01,F,256,P,234,16
2,1,8,22.329,5.55E-01,4.47E-07,4.29E-05,8.08E-03,1.39E-06,M,434,P,232,17
2,1,8,22.331,5.55E-01,6.60E-06,9.99E-08,9.70E-01,1.94E-07,M,432,P,232,18
2,1,8,22.331,5.55E-01,1.60E-05,1.07E-03,1.47E-02,9.44E-05,M,436,P,234,19
