Wavelength Å,Energy keV,Probability  of radiative decay s−1,Probability of autoionization s−1,Branching ratio ,Satellite intensity factor s−1,Source, Source g,Target, Target g, name
Carbon
4.0710E+01,3.0460E-01,1.13E+11,4.48E+12,2.35E+11,2.10E+11,1s 2p2,2,1s2 2p,2,n
4.0712E+01,3.0450E-01,2.31E+11,4.48E+12,4.79E+11,4.29E+11,1s 2p2,2,1s2 2p,4,m
4.0875E+01,3.0330E-01,7.99E+10,5.76E+13,1.39E+10,1.60E+11,1s 2s 2p,2,1s2 2s,2,t
4.0876E+01,3.0330E-01,7.70E+10,5.78E+13,1.33E+10,3.07E+11,1s 2s 2p,4,1s2 2s,2,s
4.1360E+01,2.9980E-01,7.18E+11,7.26E+12,9.00E+11,2.61E+12,1s 2s 2p,4,1s2 2s,2,q
4.1361E+01,2.9980E-01,7.15E+11,7.51E+12,8.69E+11,1.31E+12,1s 2s 2p,2,1s2 2s,2,r
4.1437E+01,2.9920E-01,1.90E+11,1.28E+10,1.59E+12,8.17E+09,1s 2p2,4,1s2 2p,2,b
4.1439E+01,2.9920E-01,9.92E+11,1.28E+10,8.30E+12,4.26E+10,1s 2p2,4,1s2 2p,4,a
4.1439E+01,2.9920E-01,7.90E+11,8.38E+06,6.68E+12,1.12E+07,1s 2p2,2,1s2 2p,2,d
4.1441E+01,2.9920E-01,3.93E+11,8.38E+06,3.32E+12,5.56E+06,1s 2p2,2,1s2 2p,4,c
4.1562E+01,2.9830E-01,3.39E+11,7.56E+13,4.46E+10,1.35E+12,1s 2p2,4,1s2 2p,2,k
4.1564E+01,2.9830E-01,6.00E+10,7.56E+13,7.89E+09,2.39E+11,1s 2p2,4,1s2 2p,4,l
4.1567E+01,2.9830E-01,3.99E+11,7.56E+13,5.24E+10,2.38E+12,1s 2p2,6,1s2 2p,4,j
4.1987E+01,2.9530E-01,5.60E+05,2.64E+07,1.66E+11,1.76E+06,1s 2p2,4,1s2 2p,2,g
