ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""388.5856""","=""""","=""""",,"=""0.00000""","=""31.906537""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,
"=""396.8768""","=""""","=""""",,"=""0.00000""","=""31.239970""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""",4,6,,
"=""398.5617""","=""""","=""""",,"=""0.00000""","=""31.107903""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",4,4,,
"=""399.6560""","=""""","=""""",,"=""0.00000""","=""31.022731""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""",4,2,,
"=""405.3976""","=""""","=""""",,"=""2.61490""","=""33.19826""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,4,,
"=""405.4316""","=""""","=""""",,"=""2.61490""","=""33.19569""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",4,6,,
"=""405.6441""","=""""","=""""",,"=""2.63092""","=""33.19569""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",6,6,,
"=""418.323""","=""""","=""""",,"=""0.00000""","=""29.6384""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",4,4,,
"=""423.2751""","=""""","=""""",,"=""2.61490""","=""31.906537""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,
"=""423.5067""","=""""","=""""",,"=""2.63092""","=""31.906537""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",6,4,,
"=""425.5370""","=""""","=""""",,"=""2.61490""","=""31.75084""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",4,2,,
"=""429.3552""","=""""","=""""",,"=""4.321420""","=""33.19826""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",2,4,,
"=""429.6832""","=""""","=""""",,"=""4.343464""","=""33.19826""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""3/2""",4,4,,
"=""429.7214""","=""""","=""""",,"=""4.343464""","=""33.19569""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).4s""","=""2D""","=""5/2""",4,6,,
"=""435.3839""","=""""","=""""",,"=""2.63092""","=""31.107903""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""",6,4,,
"=""442.1985""","=""""","=""""",,"=""0.00000""","=""28.03813""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",4,6,,
"=""443.3854""","=""""","=""""",,"=""2.61490""","=""30.57797""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""",4,6,,
"=""443.4240""","=""""","=""""",,"=""2.63092""","=""30.59156""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2F""","=""7/2""",6,8,,
"=""443.6396""","=""""","=""""",,"=""2.63092""","=""30.57797""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""",6,6,,
"=""446.3901""","=""""","=""""",,"=""0.00000""","=""27.77485""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""2P""","=""1/2""",4,2,,
"=""448.5188""","=""""","=""""",,"=""0.00000""","=""27.64303""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s.3p4""","=""2P""","=""3/2""",4,4,,
"=""449.4605""","=""""","=""""",,"=""4.321420""","=""31.906537""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",2,4,,
"=""449.8199""","=""""","=""""",,"=""4.343464""","=""31.906537""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""",4,4,,
"=""451.2077""","=""""","=""""",,"=""0.00000""","=""27.47830""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4P""","=""1/2""",4,2,,
"=""451.8734""","=""""","=""""",,"=""0.00000""","=""27.43781""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4P""","=""3/2""",4,4,,
"=""452.0117""","=""""","=""""",,"=""4.321420""","=""31.75084""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",2,2,,
"=""452.3753""","=""""","=""""",,"=""4.343464""","=""31.75084""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""",4,2,,
"=""452.9256""","=""""","=""""",,"=""0.00000""","=""27.374074""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""4P""","=""5/2""",4,6,,
"=""458.801""","=""""","=""""",,"=""2.61490""","=""29.6384""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",4,4,,
"=""459.073""","=""""","=""""",,"=""2.63092""","=""29.6384""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",6,4,,
"=""459.594""","=""""","=""""",,"=""2.61490""","=""29.5918""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",4,6,,
"=""459.867""","=""""","=""""",,"=""2.63092""","=""29.5918""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",6,6,,
"=""472.5996""","=""""","=""""",,"=""4.343464""","=""30.57797""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2F""","=""5/2""",4,6,,
"=""487.6807""","=""""","=""""",,"=""2.61490""","=""28.03813""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",4,6,,
"=""487.9882""","=""""","=""""",,"=""2.63092""","=""28.03813""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""5/2""",6,6,,
"=""489.727""","=""""","=""""",,"=""4.321420""","=""29.6384""","=""3s2.3p3""","=""2P*""","=""1/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""3/2""",2,4,,
"=""491.0053""","=""""","=""""",,"=""2.61490""","=""27.86599""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""",4,4,,
"=""491.059""","=""""","=""""",,"=""4.343464""","=""29.5918""","=""3s2.3p3""","=""2P*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2D""","=""5/2""",4,6,,
"=""491.3170""","=""""","=""""",,"=""2.63092""","=""27.86599""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p2.(3P).3d""","=""2D""","=""3/2""",6,4,,
"=""492.7839""","=""""","=""""",,"=""2.61490""","=""27.77485""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s.3p4""","=""2P""","=""1/2""",4,2,,
"=""495.3793""","=""""","=""""",,"=""2.61490""","=""27.64303""","=""3s2.3p3""","=""2D*""","=""3/2""","=""3s.3p4""","=""2P""","=""3/2""",4,4,,
"=""495.6966""","=""""","=""""",,"=""2.63092""","=""27.64303""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s.3p4""","=""2P""","=""3/2""",6,4,,
