----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |          Configurations           |     Terms    |    Observed   |         |      Ritz     |         |          |      Ei           Ek      |  gi   gk  |    Aki     |    fik    | Acc. |   Type|        TP  |    Line  |
  No.  |                                   |              |   Wavelength/ | Uncert. |   Wavelength/ | Uncert. |   Unit   |     (eV)         (eV)     |           |   (s^-1)   |           |      |       |       Ref. |    Ref.  |
       |                                   |              |   Wavenumber  |         |   Wavenumber  |         |          |                           |           |            |           |      |       |            |          |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1 |         3s2.3p3 - 3s2.3p3         |   4S* - 2D*  |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      4711.35  |   0.02  |      4711.26  |   0.09  |  Å (air) |   0.00000   -    2.63092  |   4 - 6   | 9.6e-03    |           | D    | M1+E2 |       T761 |   L3452  |
       |                                   |              |      4740.20  |   0.02  |      4740.12  |   0.10  |  Å (air) |   0.00000   -    2.61490  |   4 - 4   | 7.2e-02    |           | C    | M1    |       T761 |   L3452  |
       |                                   |              |      4740.20  |   0.02  |      4740.12  |   0.10  |  Å (air) |   0.00000   -    2.61490  |   4 - 4   | 5.1e-03    |           | D    | E2    |       T761 |   L3452  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
     2 |                                   |   4S* - 2P*  |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2853.67  |   0.04  |      2853.66  |   0.03  |  Å (air) |   0.00000   -    4.343464 |   4 - 4   | 1.6e-05    |           | D    | E2    |       T761 |  L11613  |
       |                                   |              |      2853.67  |   0.04  |      2853.66  |   0.03  |  Å (air) |   0.00000   -    4.343464 |   4 - 4   | 2.55e+00   |           | C    | M1    |       T761 |  L11613  |
       |                                   |              |      2868.21  |   0.04  |      2868.22  |   0.03  |  Å (air) |   0.00000   -    4.321420 |   4 - 2   | 9.7e-01    |           | C    | M1    |       T761 |  L11613  |
       |                                   |              |      2868.21  |   0.04  |      2868.22  |   0.03  |  Å (air) |   0.00000   -    4.321420 |   4 - 2   | 1.2e-04    |           | D    | E2    |       T761 |  L11613  |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
     3 | 3s2.3p2.(3P).4s - 3s2.3p2.(3P).4p |   4P  - 4D*  |               |         |      2810.93  |         |  Å (air) |  31.159741  -   35.56923  |  12 - 20  | 2.6e+08    | 5.1e-01   |      |    |            |          |
       |                                   |              |               |         |               |         |          |                           |           |            |           |      |       |            |          |
       |                                   |              |      2776.25  |   0.03  |      2776.241 |   0.022 |  Å (air) |  31.022731  -   35.487315 |   2 - 4   | 1.1e+08    | 2.5e-01   | D    |       | T1619CA,LS |  L11418  |
       |                                   |              |      2788.91  |   0.03  |      2788.917 |   0.021 |  Å (air) |  31.107903  -   35.552196 |   4 - 6   | 1.9e+08    | 3.3e-01   | D    |       | T1619CA,LS |  L11418  |
       |                                   |              |      2797.08  |   0.03  |      2797.083 |   0.022 |  Å (air) |  31.022731  -   35.454050 |   2 - 2   | 2.2e+08    | 2.6e-01   | D    |       | T1619CA,LS |  L11418  |
       |                                   |              |      2809.47  |   0.03  |      2809.47  |   0.03  |  Å (air) |  31.239970  -   35.65176  |   6 - 8   | 2.6e+08    | 4.1e-01   | D    |       | T1619CA,LS |  L11418  |
       |                                   |              |      2830.25  |   0.03  |      2830.237 |   0.022 |  Å (air) |  31.107903  -   35.487315 |   4 - 4   | 1.4e+08    | 1.7e-01   | D    |       | T1619CA,LS |  L11418  |
