--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |    Configurations          |     Terms    |     Observed   |         |       Ritz     |         |          |       Ei           Ek      |  gi   gk  |    Aki     |    fik    | Acc. |Type|       TP  |    Line  |
  No.  |                            |              |    Wavelength/ | Uncert. |    Wavelength/ | Uncert. |   Unit   |      (eV)         (eV)     |           |   (s^-1)   |           |      |    |      Ref. |    Ref.  |
       |                            |              |    Wavenumber  |         |    Wavenumber  |         |          |                            |           |            |           |      |    |           |          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1 |   3s2.3p2 - 3s2.3p2        |   3P  - 1D   |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |      6133.78   |  0.10   |  Å (air) |   0.0000000  -    2.020776 |   1 - 5   | 4.9e-05    |           | D    | E2 |      T761 |          |
       |                            |              |      6435.10   |  0.10   |      6435.12   |  0.03   |  Å (air) |   0.0946292  -    2.020776 |   3 - 5   | 2.23e-01   |           | C    | M1 | T335,T761 |   L3453  |
       |                            |              |      6435.10   |  0.10   |      6435.12   |  0.03   |  Å (air) |   0.0946292  -    2.020776 |   3 - 5   | 3.5e-04    |           | D    | E2 |      T761 |   L3453  |
       |                            |              |      7005.87   |  0.07   |      7005.83   |  0.05   |  Å (air) |   0.251534   -    2.020776 |   5 - 5   | 5.2e-01    |           | C    | M1 | T335,T761 |  L16109  |
       |                            |              |      7005.87   |  0.07   |      7005.83   |  0.05   |  Å (air) |   0.251534   -    2.020776 |   5 - 5   | 1.6e-03    |           | D    | E2 |      T761 |  L16109  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
     2 |                            |   3P  - 1S   |      2785.99   |  0.04   |      2785.963  |  0.024  |  Å (air) |   0.251534   -    4.70054  |   5 - 1   | 8.1e-02    |           | D    | E2 |      T761 |   L3453  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
     3 |   3s2.3p2 - 3s.3p3         |   3P  - 3D*  |                |         |       830.951  |         |  Å (vac) |   0.171284   -   15.09204  |   9 - 15  | 2.9e+09    | 5.0e-01   |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
       |                            |              |       822.160  |  0.002  |       822.174  |  0.005  |  Å (vac) |   0.0000000  -   15.08004  |   1 - 3   | 1.7e+09    | 5.2e-01   | E    |    |    T668LS |  L11588  |
       |                            |              |       827.048  |  0.002  |       827.0494 |  0.0021 |  Å (vac) |   0.0946292  -   15.08578  |   3 - 5   | 2.2e+09    | 3.8e-01   | E    |    |    T668LS |  L11588  |
       |                            |              |       827.353  |  0.002  |       827.366  |  0.005  |  Å (vac) |   0.0946292  -   15.08004  |   3 - 3   | 1.2e+09    | 1.2e-01   | E    |    |    T668LS |  L11588  |
       |                            |              |       834.903  |  0.002  |       834.9034 |  0.0022 |  Å (vac) |   0.251534   -   15.10166  |   5 - 7   | 2.9e+09    | 4.2e-01   | E    |    |    T668LS |  L11588  |
       |                            |              |       835.799  |  0.002  |       835.7973 |  0.0022 |  Å (vac) |   0.251534   -   15.08578  |   5 - 5   | 7.2e+08    | 7.5e-02   | E    |    |    T668LS |  L11588  |
       |                            |              |       836.112  |  0.002  |       836.121  |  0.006  |  Å (vac) |   0.251534   -   15.08004  |   5 - 3   | 8.0e+07    | 5.0e-03   | E    |    |    T668LS |  L11588  |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
     4 |                            |   3P  - 3P*  |                |         |       712.260  |         |  Å (vac) |   0.171284   -   17.57844  |   9 - 9   |            |           |      |    |           |          |
       |                            |              |                |         |                |         |          |                            |           |            |           |      |    |           |          |
