---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |           Observed   |           |             Ritz     |            |          |         Ei           Ek         |  gi   gk  |     Aki     |     fik     | Acc. |Type|    TP  |    Line  |
  No.  |                                         |                |          Wavelength/ |   Uncert. |          Wavelength/ |    Uncert. |   Unit   |        (eV)         (eV)        |           |   (s^-1)    |             |      |    |   Ref. |    Ref.  |
       |                                         |                |          Wavenumber  |           |          Wavenumber  |            |          |                                 |           |             |             |      |    |        |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1 |            3s2.3p5 - 3s2.3p5            |    2P* - 2P*   |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |         6985.274     |  0.004    |         6985.274     |  0.005     | nm (vac) |   0.00000000   -    0.17749368  |   4 - 2   | 5.3e-02     |             | A    | M1 |   T335 |   L6510  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
     2 |             3s.3p6 - 3s2.3p4.(3P).4p    |    2S  - 4P*   |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          214.3884    |  0.0006   |          214.38860   |  0.00006   | nm (air) |  13.4797526    -   19.261084163 |   2 - 4   |             |             |      |    |        |  L14821  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
     3 |                                         |    2S  - 4D*   |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          202.176     |  0.002    |          202.17457   |  0.00005   | nm (air) |  13.4797526    -   19.61030789  |   2 - 4   |             |             |      |    |        |  L14821  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
     4 |                                         |    2S  - 2D*   |          197.34837   |  0.00005  |          197.34824   |  0.00005   | nm (vac) |  13.4797526    -   19.762261075 |   2 - 4   |             |             |      |    |        |    L551  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
     5 |                                         |    2S  - 2P*   |                      |           |          194.77891   |            | nm (vac) |  13.4797526    -   19.845133548 |   2 - 6   |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |          194.10724   |  0.00005  |          194.10732   |  0.00005   | nm (vac) |  13.4797526    -   19.867157038 |   2 - 4   |             |             |      |    |        |    L551  |
       |                                         |                |          196.13610   |  0.00005  |          196.13613   |  0.00005   | nm (vac) |  13.4797526    -   19.801086565 |   2 - 2   |             |             |      |    |        |    L551  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
     6 |                                         |    2S  - 4S*   |          191.1046    |  0.0003   |          191.10518   |  0.00004   | nm (vac) |  13.4797526    -   19.96749907  |   2 - 4   |             |             |      |    |        |  L16202  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
     7 |                                         |    2S  - 2S*   |          190.95689   |  0.00005  |          190.95686   |  0.00004   | nm (vac) |  13.4797526    -   19.972538226 |   2 - 2   |             |             |      |    |        |    L551  |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
       |                                         |                |                      |           |                      |            |          |                                 |           |             |             |      |    |        |          |
     8 |             3s.3p6 - 3s2.3p4.(1D).4p    |    2S  - 2P*   |                      |           |          157.00276   |            | nm (vac) |  13.4797526    -   21.37669641  |   2 - 6   |             |             |      |    |        |          |
