---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations            |     Terms    |         Observed   |           |           Ritz     |           |          |        Ei           Ek        |  gi   gk  |    Aki     |    fik    | Acc. |Type|        TP  |    Line  |
  No.  |                                     |              |        Wavelength/ |   Uncert. |        Wavelength/ |   Uncert. |   Unit   |       (eV)         (eV)       |           |   (s^-1)   |           |      |    |       Ref. |    Ref.  |
       |                                     |              |        Wavenumber  |           |        Wavenumber  |           |          |                               |           |            |           |      |    |            |          |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1 |          3s2.3p4 - 3s2.3p4          |   3P  - 3P   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |        6368.49     |  0.10     | nm (vac) |   0.0000000   -    0.1946837  |   5 - 1   | 2.72e-06   |           | C    | E2 |       T761 |          |
       |                                     |              |        8991.38     |  0.12     |        8991.43     |  0.20     | nm (vac) |   0.0000000   -    0.1378915  |   5 - 3   | 3.6e-07    |           | C    | E2 |       T761 |  L11636  |
       |                                     |              |        8991.38     |  0.12     |        8991.43     |  0.20     | nm (vac) |   0.0000000   -    0.1378915  |   5 - 3   | 3.1e-02    |           | B    | M1 |       T335 |  L11636  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
     2 |                                     |   3P  - 1D   |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         713.580    |  0.004    |         713.579    |  0.004    | nm (air) |   0.0000000   -    1.737019   |   5 - 5   | 3.21e-01   |           | C    | M1 |  T335,T761 |   L3452  |
       |                                     |              |         713.580    |  0.004    |         713.579    |  0.004    | nm (air) |   0.0000000   -    1.737019   |   5 - 5   | 1.4e-03    |           | D    | E2 |       T761 |   L3452  |
       |                                     |              |         775.106    |  0.010    |         775.111    |  0.005    | nm (air) |   0.1378915   -    1.737019   |   3 - 5   | 8.3e-02    |           | C    | M1 |  T335,T761 |   L3452  |
       |                                     |              |         775.106    |  0.010    |         775.111    |  0.005    | nm (air) |   0.1378915   -    1.737019   |   3 - 5   | 1.3e-04    |           | D    | E2 |       T761 |   L3452  |
       |                                     |              |                    |           |         803.652    |  0.010    | nm (air) |   0.1946837   -    1.737019   |   1 - 5   | 2.9e-05    |           | D    | E2 |       T761 |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
     3 |                                     |   3P  - 1S   |         310.908    |  0.030    |         310.918    |  0.004    | nm (air) |   0.1378915   -    4.12442    |   3 - 1   | 4.02e+00   |           | C    | M1 |       T761 |   L3453  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
     4 |                                     |   1D  - 1S   |         519.182    |  0.010    |         519.182    |  0.011    | nm (air) |   1.737019    -    4.12442    |   5 - 1   | 3.10e+00   |           | C    | E2 |       T761 |   L3452  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
     5 |          3s2.3p4 - 3s.3p5           |   1D  - 3P*  |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
       |                                     |              |         100.2096   |  0.0002   |         100.20992  |  0.00014  | nm (vac) |   1.737019    -   14.109466   |   5 - 5   |            |           |      |    |            |  L11588  |
       |                                     |              |                    |           |                    |           |          |                               |           |            |           |      |    |            |          |
