ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""1934.53495""","=""2.5e+07""","=""1.1e-02""",C+,"=""0.0000000""","=""6.40899243""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""3""",9,7,,"=""T2227""","=""L11631""",
"=""1937.26831""","=""2.2e+07""","=""9.5e-03""",C+,"=""0.0000000""","=""6.39994976""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s (6D).5p""","=""u 5F*""","=""3""",9,7,,"=""T2227""","=""L11631""",
"=""1940.66039""","=""2.6e+07""","=""1.0e-02""",D+,"=""0.05156912""","=""6.44033241""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""2""",7,5,,"=""T2227""","=""L11631""",
"=""2132.68991""","=""7.6e+06""","=""5.2e-03""",C+,"=""0.0000000""","=""5.81351269""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""4""",9,9,,"=""T2227""","=""L11631""",
"=""2139.26655""","=""2.8e+06""","=""1.5e-03""",D+,"=""0.0000000""","=""5.79564049""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",9,7,,"=""T2227""","=""L11631""",
"=""2145.86496""","=""5.7e+06""","=""3.9e-03""",C,"=""0.05156912""","=""5.82938837""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4P).4p""","=""w 3D*""","=""3""",7,7,,"=""T2227""","=""L11631""",
"=""2153.68354""","=""6.9e+06""","=""4.8e-03""",C,"=""0.08728574""","=""5.84412959""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",5,5,,"=""T2227""","=""L11631""",
"=""2162.25791""","=""5.0e+06""","=""5.8e-03""",D+,"=""0.11011433""","=""5.84412959""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""w 3D*""","=""2""",3,5,,"=""T2227""","=""L11631""",
"=""2167.45323""","=""2.7e+08""","=""1.5e-01""",D+,"=""0.0000000""","=""5.72027099""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4P).4p""","=""w 5P*""","=""3""",9,7,,"=""T2227""","=""L11631""",
"=""2171.97781""","=""5.1e+06""","=""5.0e-03""",D+,"=""0.08728574""","=""5.79564049""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""u 5D*""","=""3""",5,7,,"=""T2227""","=""L11631""",
"=""2173.89485""","=""8.3e+06""","=""9.8e-03""",D+,"=""0.11011433""","=""5.81343520""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",3,5,,"=""T2227""","=""L11631""",
"=""2177.52214""","=""1.0e+07""","=""2.2e-02""",C+,"=""0.12126572""","=""5.81508605""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""1""",1,3,,"=""T2227""","=""L11631""",
"=""2191.88920""","=""7.3e+06""","=""1.6e-02""",C,"=""0.12126572""","=""5.77776507""","=""3d6.4s2""","=""a 5D""","=""0""","=""3d6.(3P2).4s.4p.(3P*)""","=""z 3S*""","=""1""",1,3,,"=""T2227""","=""L11631""",
"=""2192.52424""","=""1.2e+08""","=""8.3e-02""",C+,"=""0.08728574""","=""5.74214676""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4P).4p""","=""w 5P*""","=""2""",5,5,,"=""T2227""","=""L11631""",
"=""2196.72802""","=""1.2e+08""","=""8.6e-02""",C+,"=""0.11011433""","=""5.75415389""","=""3d6.4s2""","=""a 5D""","=""1""","=""3d7.(4P).4p""","=""w 5P*""","=""1""",3,3,,"=""T2227""","=""L11631""",
