ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""2568.17""","=""3.8e-02""","=""""",D,"=""0.00000""","=""4.82772""","=""3d5""","=""6S""","=""5/2""","=""3d5""","=""4D""","=""3/2""",6,4,M1,"=""T492""","=""""",
"=""2568.38""","=""5.1e-02""","=""""",D,"=""0.00000""","=""4.82734""","=""3d5""","=""6S""","=""5/2""","=""3d5""","=""4D""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""2791.84""","=""4.2e+00""","=""""",E,"=""5.83700""","=""10.27796""","=""3d5""","=""2I""","=""11/2""","=""3d5""","=""2G1""","=""7/2""",12,8,E2,"=""T492""","=""""",
"=""2792.02""","=""1.2e-01""","=""""",E,"=""5.83700""","=""10.27766""","=""3d5""","=""2I""","=""11/2""","=""3d5""","=""2G1""","=""9/2""",12,10,E2,"=""T492""","=""""",
"=""2792.95""","=""4.1e+00""","=""""",E,"=""5.83848""","=""10.27766""","=""3d5""","=""2I""","=""13/2""","=""3d5""","=""2G1""","=""9/2""",14,10,E2,"=""T492""","=""""",
"=""2828.56""","=""7.2e-01""","=""""",D,"=""4.80803""","=""9.19133""","=""3d5""","=""4D""","=""7/2""","=""3d5""","=""2D2""","=""5/2""",8,6,M1,"=""T492""","=""""",
"=""2830.19""","=""8.8e-01""","=""""",D,"=""0.00000""","=""4.38077""","=""3d5""","=""6S""","=""5/2""","=""3d5""","=""4P""","=""3/2""",6,4,M1,"=""T492""","=""""",
"=""2836.57""","=""1.4e+00""","=""""",D,"=""0.00000""","=""4.37091""","=""3d5""","=""6S""","=""5/2""","=""3d5""","=""4P""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""2840.92""","=""6.3e-01""","=""""",D,"=""4.82258""","=""9.18681""","=""3d5""","=""4D""","=""1/2""","=""3d5""","=""2D2""","=""3/2""",2,4,M1,"=""T492""","=""""",
"=""2841.07""","=""1.6e-01""","=""""",D,"=""4.82734""","=""9.19133""","=""3d5""","=""4D""","=""5/2""","=""3d5""","=""2D2""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""2841.32""","=""2.7e-02""","=""""",D,"=""4.82772""","=""9.19133""","=""3d5""","=""4D""","=""3/2""","=""3d5""","=""2D2""","=""5/2""",4,6,M1,"=""T492""","=""""",
"=""2844.02""","=""9.0e-02""","=""""",D,"=""4.82734""","=""9.18681""","=""3d5""","=""4D""","=""5/2""","=""3d5""","=""2D2""","=""3/2""",6,4,M1,"=""T492""","=""""",
"=""2844.27""","=""2.2e-01""","=""""",D,"=""4.82772""","=""9.18681""","=""3d5""","=""4D""","=""3/2""","=""3d5""","=""2D2""","=""3/2""",4,4,M1,"=""T492""","=""""",
"=""3186.05""","=""7.3e-01""","=""""",D,"=""4.38077""","=""8.27224""","=""3d5""","=""4P""","=""3/2""","=""3d5""","=""2S""","=""1/2""",4,2,M1,"=""T492""","=""""",
"=""3193.51""","=""1.1e-01""","=""""",D,"=""4.38986""","=""8.27224""","=""3d5""","=""4P""","=""1/2""","=""3d5""","=""2S""","=""1/2""",2,2,M1,"=""T492""","=""""",
"=""3594.10""","=""7.8e-02""","=""""",D,"=""4.82258""","=""8.27224""","=""3d5""","=""4D""","=""1/2""","=""3d5""","=""2S""","=""1/2""",2,2,M1,"=""T492""","=""""",
"=""3599.47""","=""1.0e-02""","=""""",D,"=""4.82772""","=""8.27224""","=""3d5""","=""4D""","=""3/2""","=""3d5""","=""2S""","=""1/2""",4,2,M1,"=""T492""","=""""",
"=""3923.21""","=""4.0e-01""","=""""",E,"=""7.11768""","=""10.27796""","=""3d5""","=""2G2""","=""7/2""","=""3d5""","=""2G1""","=""7/2""",8,8,E2,"=""T492""","=""""",
"=""3923.58""","=""3.3e-02""","=""""",E,"=""7.11768""","=""10.27766""","=""3d5""","=""2G2""","=""7/2""","=""3d5""","=""2G1""","=""9/2""",8,10,E2,"=""T492""","=""""",
"=""3923.58""","=""2.9e-02""","=""""",D,"=""7.11768""","=""10.27766""","=""3d5""","=""2G2""","=""7/2""","=""3d5""","=""2G1""","=""9/2""",8,10,M1,"=""T492""","=""""",
"=""3934.61""","=""6.4e-02""","=""""",D,"=""4.00540""","=""7.15652""","=""3d5""","=""4G""","=""7/2""","=""3d5""","=""2G2""","=""9/2""",8,10,M1,"=""T492""","=""""",
"=""3972.02""","=""2.8e-02""","=""""",E,"=""7.15652""","=""10.27796""","=""3d5""","=""2G2""","=""9/2""","=""3d5""","=""2G1""","=""7/2""",10,8,E2,"=""T492""","=""""",
"=""3972.40""","=""1.7e-02""","=""""",D,"=""7.15652""","=""10.27766""","=""3d5""","=""2G2""","=""9/2""","=""3d5""","=""2G1""","=""9/2""",10,10,M1,"=""T492""","=""""",
"=""3972.40""","=""2.9e-01""","=""""",E,"=""7.15652""","=""10.27766""","=""3d5""","=""2G2""","=""9/2""","=""3d5""","=""2G1""","=""9/2""",10,10,E2,"=""T492""","=""""",
"=""3981.65""","=""7.7e-02""","=""""",D,"=""4.00380""","=""7.11768""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""2G2""","=""7/2""",10,8,M1,"=""T492""","=""""",
"=""4145.37""","=""4.7e-01""","=""""",D,"=""3.99793""","=""6.98884""","=""3d5""","=""4G""","=""11/2""","=""3d5""","=""2H""","=""11/2""",12,12,M1,"=""T492""","=""""",
"=""4153.51""","=""6.1e-01""","=""""",D,"=""4.00380""","=""6.98884""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""2H""","=""11/2""",10,12,M1,"=""T492""","=""""",
"=""4199.42""","=""5.6e-01""","=""""",D,"=""3.99793""","=""6.95034""","=""3d5""","=""4G""","=""11/2""","=""3d5""","=""2H""","=""9/2""",12,10,M1,"=""T492""","=""""",
"=""4207.78""","=""4.2e-02""","=""""",D,"=""4.00380""","=""6.95034""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""2H""","=""9/2""",10,10,M1,"=""T492""","=""""",
"=""4210.07""","=""1.3e-01""","=""""",D,"=""4.00540""","=""6.95034""","=""3d5""","=""4G""","=""7/2""","=""3d5""","=""2H""","=""9/2""",8,10,M1,"=""T492""","=""""",
"=""4599.65""","=""9.1e-02""","=""""",D,"=""7.58244""","=""10.27796""","=""3d5""","=""2F1""","=""5/2""","=""3d5""","=""2G1""","=""7/2""",6,8,M1,"=""T492""","=""""",
"=""4599.65""","=""5.5e-02""","=""""",E,"=""7.58244""","=""10.27796""","=""3d5""","=""2F1""","=""5/2""","=""3d5""","=""2G1""","=""7/2""",6,8,E2,"=""T492""","=""""",
"=""4620.45""","=""2.2e-01""","=""""",D,"=""7.59458""","=""10.27796""","=""3d5""","=""2F1""","=""7/2""","=""3d5""","=""2G1""","=""7/2""",8,8,M1,"=""T492""","=""""",
"=""4620.97""","=""5.8e-02""","=""""",E,"=""7.59458""","=""10.27766""","=""3d5""","=""2F1""","=""7/2""","=""3d5""","=""2G1""","=""9/2""",8,10,E2,"=""T492""","=""""",
"=""4620.97""","=""1.0e-01""","=""""",D,"=""7.59458""","=""10.27766""","=""3d5""","=""2F1""","=""7/2""","=""3d5""","=""2G1""","=""9/2""",8,10,M1,"=""T492""","=""""",
"=""4867.32""","=""6.1e-02""","=""""",E,"=""4.00380""","=""6.55108""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""4F""","=""5/2""",10,6,E2,"=""T492""","=""""",
"=""4869.31""","=""1.9e-01""","=""""",D,"=""4.00484""","=""6.55108""","=""3d5""","=""4G""","=""5/2""","=""3d5""","=""4F""","=""5/2""",6,6,M1,"=""T492""","=""""",
"=""4869.31""","=""6.4e-02""","=""""",E,"=""4.00484""","=""6.55108""","=""3d5""","=""4G""","=""5/2""","=""3d5""","=""4F""","=""5/2""",6,6,E2,"=""T492""","=""""",
"=""4869.52""","=""1.4e-01""","=""""",D,"=""4.00484""","=""6.55097""","=""3d5""","=""4G""","=""5/2""","=""3d5""","=""4F""","=""3/2""",6,4,M1,"=""T492""","=""""",
"=""4869.52""","=""1.8e-01""","=""""",E,"=""4.00484""","=""6.55097""","=""3d5""","=""4G""","=""5/2""","=""3d5""","=""4F""","=""3/2""",6,4,E2,"=""T492""","=""""",
"=""4870.37""","=""1.1e-01""","=""""",E,"=""4.00540""","=""6.55108""","=""3d5""","=""4G""","=""7/2""","=""3d5""","=""4F""","=""5/2""",8,6,E2,"=""T492""","=""""",
"=""4870.59""","=""7.1e-02""","=""""",E,"=""4.00540""","=""6.55097""","=""3d5""","=""4G""","=""7/2""","=""3d5""","=""4F""","=""3/2""",8,4,E2,"=""T492""","=""""",
"=""4890.00""","=""4.0e-02""","=""""",E,"=""3.99793""","=""6.53340""","=""3d5""","=""4G""","=""11/2""","=""3d5""","=""4F""","=""7/2""",12,8,E2,"=""T492""","=""""",
"=""4901.34""","=""3.9e-02""","=""""",D,"=""4.00380""","=""6.53340""","=""3d5""","=""4G""","=""9/2""","=""3d5""","=""4F""","=""7/2""",10,8,M1,"=""T492""","=""""",
