Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p3""","=""4S*""","=""3/2""","="" 0.00000""","=""""","=""L4995"""
"=""2s2.2p3""","=""2D*""","=""5/2""","="" 6.8633""","=""""","="""""
"=""2s2.2p3""","=""2D*""","=""3/2""","="" 6.86535""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""1/2""","="" 10.40475""","=""""","="""""
"=""2s2.2p3""","=""2P*""","=""3/2""","="" 10.41819""","=""""","="""""
"=""2s.2p4""","=""4P""","=""5/2""","="" 30.7416""","=""""","="""""
"=""2s.2p4""","=""4P""","=""3/2""","="" 30.9445""","=""""","="""""
"=""2s.2p4""","=""4P""","=""1/2""","="" 31.052""","=""""","="""""
"=""2s.2p4""","=""2D""","=""5/2""","="" 42.3717""","=""""","="""""
"=""2s.2p4""","=""2D""","=""3/2""","="" 42.3769""","=""""","="""""
"=""2s.2p4""","=""2S""","=""1/2""","="" 49.8196""","=""""","="""""
"=""2s.2p4""","=""2P""","=""3/2""","="" 52.717""","=""""","="""""
"=""2s.2p4""","=""2P""","=""1/2""","="" 52.9580""","=""""","="""""
"=""2p5""","=""2P*""","=""3/2""","="" 80.8212""","=""""","="""""
"=""2p5""","=""2P*""","=""1/2""","="" 81.1443""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","="" 110.834""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","="" 110.952""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","="" 111.144""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","="" 112.628""","=""""","="""""
"=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","="" 112.863""","=""""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","="" 116.400""","=""""","="""""
"=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","="" 116.400""","=""""","="""""
"=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""","="" 121.929?""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""","="" 128.951""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""","="" 129.028""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","="" ""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","="" 129.590?""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","="" 129.590?""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","="" 129.640?""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","="" 129.740""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","="" 129.983""","=""""","="""""
"=""2s.2p3.(5S*).3s""","=""4S*""","=""3/2""","="" 129.767""","=""""","="""""
"=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","="" 129.850""","=""""","="""""
