Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2.2s""","=""2S""","=""1/2""","="" 0.0000""","=""0.0012""","=""L11926"""
"=""1s2.2p""","=""2P*""","=""1/2""","="" 52.9503""","=""0.0025""","="""""
"=""1s2.2p""","=""2P*""","=""3/2""","="" 74.957""","=""0.004""","="""""
"=""1s2.3s""","=""2S""","=""1/2""","=""[1347.238]""","=""""","="""""
"=""1s2.3p""","=""2P*""","=""1/2""","=""[1361.921]""","=""""","="""""
"=""1s2.3p""","=""2P*""","=""3/2""","=""[1368.437]""","=""""","="""""
"=""1s2.3d""","=""2D""","=""3/2""","=""[1373.994]""","=""""","="""""
"=""1s2.3d""","=""2D""","=""5/2""","=""[1376.052]""","=""""","="""""
"=""1s2.4s""","=""2S""","=""1/2""","=""[1811.415]""","=""""","="""""
"=""1s2.4p""","=""2P*""","=""1/2""","=""[1817.579]""","=""""","="""""
"=""1s2.4p""","=""2P*""","=""3/2""","=""[1820.326]""","=""""","="""""
"=""1s2.4d""","=""2D""","=""3/2""","=""[1822.666]""","=""""","="""""
"=""1s2.4d""","=""2D""","=""5/2""","=""[1823.535]""","=""""","="""""
"=""1s2.5s""","=""2S""","=""1/2""","=""[2024.609]""","=""""","="""""
"=""1s2.5p""","=""2P*""","=""1/2""","=""[2027.754]""","=""""","="""""
"=""1s2.5p""","=""2P*""","=""3/2""","=""[2029.160]""","=""""","="""""
"=""1s2.5d""","=""2D""","=""3/2""","=""[2030.355]""","=""""","="""""
"=""1s2.5d""","=""2D""","=""5/2""","=""[2030.800]""","=""""","="""""
"=""Ni XXVII (1s2 1S<0>)""","=""Limit""","=""---""","=""(2399.259)""","=""0.007""","=""L16264c99"""
"=""1s.2s2""","=""2S""","=""1/2""","=""[7693.3]""","=""""","="""""
"=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""","=""[7707.1]""","=""""","="""""
"=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""","=""[7711.9]""","=""""","="""""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""","=""[7750.5]""","=""""","="""""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""","=""[7763.5]""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""4P""","=""1/2""","=""[7771.8]""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""4P""","=""3/2""","=""[7783.6]""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""4P""","=""5/2""","=""[7790.8]""","=""""","="""""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""","=""[7779.1]""","=""""","="""""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""","=""[7782.6]""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""2P""","=""1/2""","=""[7809.9]""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""2P""","=""3/2""","=""[7834.8]""","=""""","="""""
"=""1s.(2S).2p2.(1D)""","=""2D""","=""3/2""","=""[7809.9]""","=""""","="""""
"=""1s.(2S).2p2.(1D)""","=""2D""","=""5/2""","=""[7819.3]""","=""""","="""""
"=""1s.(2S).2p2.(1S)""","=""2S""","=""1/2""","=""[7854.9]""","=""""","="""""
"=""1s.2p.3p""","=""2D""","=""5/2""","="" 9145.1""","=""""","="""""
"=""1s.2p.4p""","=""2D""","=""5/2""","="" 9590.2""","=""""","="""""
