Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""1s2""","=""1S""","=""0""","="" 0.0000""","=""0.0012""","=""                                 ""","=""L7185"""
"=""1s.2s""","=""3S""","=""1""","=""[7731.614]""","=""""","=""                                 ""","="""""
"=""1s.2p""","=""3P*""","=""0""","=""[7763.369]""","=""""","=""                                 ""","="""""
"=""1s.2p""","=""3P*""","=""1""","=""[7765.696]""","=""""","=""  89         :    11  1s.2p 1P*  ""","="""""
"=""1s.2p""","=""3P*""","=""2""","=""[7786.417]""","=""""","=""                                 ""","="""""
"=""1s.2s""","=""1S""","=""0""","=""[7766.002]""","=""""","=""                                 ""","="""""
"=""1s.2p""","=""1P*""","=""1""","=""[7805.585]""","=""""","=""  89         :    11  1s.2p 3P*  ""","="""""
"=""1s.3s""","=""3S""","=""1""","=""[9162.80]""","=""""","=""                                 ""","="""""
"=""1s.3p""","=""3P*""","=""0""","=""[9171.56]""","=""""","=""                                 ""","="""""
"=""1s.3p""","=""3P*""","=""1""","=""[9172.21]""","=""""","=""  88         :    12  1s.3p 1P*  ""","="""""
"=""1s.3p""","=""3P*""","=""2""","=""[9178.40]""","=""""","=""                                 ""","="""""
"=""1s.3s""","=""1S""","=""0""","=""[9171.95]""","=""""","=""                                 ""","="""""
"=""1s.3d""","=""3D""","=""2""","=""[9183.01]""","=""""","=""                                 ""","="""""
"=""1s.3d""","=""3D""","=""1""","=""[9183.13]""","=""""","=""                                 ""","="""""
"=""1s.3d""","=""3D""","=""3""","=""[9185.32]""","=""""","=""                                 ""","="""""
"=""1s.3p""","=""1P*""","=""1""","=""[9183.60]""","=""""","=""  88         :    12  1s.3p 3P*  ""","="""""
"=""1s.3d""","=""1D""","=""2""","=""[9185.64]""","=""""","=""                                 ""","="""""
"=""1s.4s""","=""3S""","=""1""","=""[9658.46]""","=""""","=""                                 ""","="""""
"=""1s.4p""","=""3P*""","=""0""","=""[9662.11]""","=""""","=""                                 ""","="""""
"=""1s.4p""","=""3P*""","=""1""","=""[9662.40]""","=""""","=""  88         :    12  1s.4p 1P*  ""","="""""
"=""1s.4p""","=""3P*""","=""2""","=""[9665.00]""","=""""","=""                                 ""","="""""
"=""1s.4s""","=""1S""","=""0""","=""[9662.26]""","=""""","=""                                 ""","="""""
"=""1s.4d""","=""3D""","=""2""","=""[9666.95]""","=""""","=""                                 ""","="""""
"=""1s.4d""","=""3D""","=""1""","=""[9667.00]""","=""""","=""                                 ""","="""""
"=""1s.4d""","=""3D""","=""3""","=""[9667.93]""","=""""","=""                                 ""","="""""
"=""1s.4p""","=""1P*""","=""1""","=""[9667.20]""","=""""","=""  88         :    12  1s.4p 3P*  ""","="""""
"=""1s.4d""","=""1D""","=""2""","=""[9668.06]""","=""""","=""                                 ""","="""""
"=""1s.5s""","=""3S""","=""1""","=""[9886.62]""","=""""","=""                                 ""","="""""
"=""1s.5p""","=""3P*""","=""0""","=""[9888.473]""","=""""","=""                                 ""","="""""
"=""1s.5p""","=""3P*""","=""1""","=""[9888.64]""","=""""","=""  87         :    13  1s.5p 1P*  ""","="""""
"=""1s.5p""","=""3P*""","=""2""","=""[9889.98]""","=""""","=""                                 ""","="""""
"=""1s.5s""","=""1S""","=""0""","=""[9888.57]""","=""""","=""                                 ""","="""""
"=""1s.5p""","=""1P*""","=""1""","=""[9891.10]""","=""""","=""  87         :    13  1s.5p 3P*  ""","="""""
"=""Ni XXVIII (1s 2S<1/2>)""","=""Limit""","=""---""","=""(10288.8862)""","=""0.0014""","=""                                 ""","=""L12128"""
"=""2s2""","=""1S""","=""0""","=""[15759.8]""","=""""","=""                                 ""","="""""
"=""2s.2p""","=""3P*""","=""0""","=""[15763.7]""","=""""","=""                                 ""","="""""
"=""2s.2p""","=""3P*""","=""1""","=""[15769.6]""","=""""","=""                                 ""","="""""
"=""2s.2p""","=""3P*""","=""2""","=""[15790.9]""","=""""","=""                                 ""","="""""
"=""2p2""","=""3P""","=""0""","=""[15800.2]""","=""""","=""                                 ""","="""""
"=""2p2""","=""3P""","=""1""","=""[15814.7]""","=""""","=""                                 ""","="""""
"=""2p2""","=""3P""","=""2""","=""[15822.1]""","=""""","=""                                 ""","="""""
"=""2s.2p""","=""1P*""","=""1""","=""[15828.1]""","=""""","=""                                 ""","="""""
"=""2p2""","=""1D""","=""2""","=""[15848.5]""","=""""","=""                                 ""","="""""
"=""2p2""","=""1S""","=""0""","=""[15884.5]""","=""""","=""                                 ""","="""""
